OK prod-naked-running-band 85320 https://img.runningwarehouse.com/watermark/rs.php?path=NKBND3-BK-1.jpg&nw=1000
OK prod-ud-ultra-belt 62831 https://img.runningwarehouse.com/watermark/rs.php?path=UDULTB6-BK-1.jpg&nw=1000
OK prod-nathan-speeddraw-insulated 171105 https://img.runningwarehouse.com/watermark/rs.php?path=NSDI212-BK-1.jpg&nw=1000
OK prod-hydrapak-softflask-500 81134 https://img.runningwarehouse.com/watermark/rs.php?path=HPSFS50-BL-1.jpg&nw=1000
PAGE FAIL prod-osprey-duro-lt 404 https://www.bergfreunde.eu/osprey-duro-lt/
PAGE FAIL prod-osprey-duro-lt 404 https://www.sportsshoes.com/product/osprey/duro-lt-hydration-vest/
PAGE FAIL prod-osprey-duro-lt 404 https://www.basecampgear.co.uk/duro-lt-vest-pack-with-flasks/
PAGE FAIL prod-osprey-duro-lt 403 https://www.rei.com/product/235148/osprey-duro-lt-hydration-vest-mens
PAGE FAIL prod-osprey-dyna-lt 404 https://www.bergfreunde.eu/osprey-dyna-lt/
PAGE FAIL prod-osprey-dyna-lt 404 https://www.sportsshoes.com/product/osprey/dyna-lt-hydration-vest/
PAGE FAIL prod-osprey-dyna-lt 403 https://www.rei.com/product/235149/osprey-dyna-lt-hydration-vest-women
PAGE FAIL prod-osprey-duro-15 404 https://www.bergfreunde.eu/osprey-duro-15/
PAGE FAIL prod-osprey-duro-15 404 https://www.sportsshoes.com/product/osprey/duro-15/
PAGE FAIL prod-osprey-duro-15 403 https://www.rei.com/search?q=osprey%20duro%2015
PAGE prod-on-ultra-vest-pro 200 29 https://www.on.com/en-us/products/ultra-vest-pro-u-2uf3013/unisex
PAGE FAIL prod-on-ultra-vest-pro 404 https://www.sportsshoes.com/product/on/ultra-vest-pro/
PAGE FAIL prod-on-ultra-vest-pro 404 https://www.bergfreunde.eu/on-ultra-vest-pro/
OK prod-on-ultra-vest-pro 8751188 https://images.ctfassets.net/hnk2vsx53n6l/4i4taGom3YOHVS9TDolp3N/7da61b1d15b5bb1104fbf6c50ea5dcc7/ee
PAGE FAIL prod-patagonia-slope-runner 404 https://www.patagonia.com/product/slope-runner-exploration-vest/49050.
PAGE FAIL prod-patagonia-slope-runner 403 https://www.rei.com/search?q=patagonia%20slope%20runner%20vest
PAGE FAIL prod-patagonia-slope-runner 404 https://www.bergfreunde.eu/patagonia-slope-runner-vest/
PAGE FAIL prod-camelbak-zephyr-pro 404 https://www.camelbak.com/zephyr-pro
PAGE FAIL prod-camelbak-zephyr-pro 404 https://www.bergfreunde.eu/camelbak-zephyr-pro/
PAGE FAIL prod-camelbak-zephyr-pro 403 https://www.rei.com/search?q=camelbak%20zephyr%20pro
PAGE FAIL prod-nathan-peak 404 https://www.nathansports.com/products/peak
PAGE FAIL prod-nathan-peak 404 https://www.bergfreunde.eu/nathan-peak/
PAGE FAIL prod-nathan-peak 404 https://www.sportsshoes.com/search/?q=nathan+peak
PAGE FAIL prod-nathan-exoshot 404 https://www.nathansports.com/products/exoshot-2
PAGE FAIL prod-nathan-exoshot 404 https://www.bergfreunde.eu/nathan-exoshot/
PAGE FAIL prod-nathan-exoshot 404 https://www.sportsshoes.com/search/?q=nathan+exoshot
PAGE FAIL prod-black-diamond-distance-8 404 https://www.blackdiamondequipment.com/en_US/product/distance-8-pack/
PAGE FAIL prod-black-diamond-distance-8 404 https://www.bergfreunde.eu/black-diamond-distance-8/
PAGE FAIL prod-black-diamond-distance-8 403 https://www.rei.com/search?q=black%20diamond%20distance%208
PAGE FAIL prod-compressport-ultrun-s-pack 403 https://www.compressport.com/eu/ultrun-s-pack.html
PAGE FAIL prod-compressport-ultrun-s-pack 404 https://www.bergfreunde.eu/compressport-ultrun-s-pack/
PAGE FAIL prod-compressport-ultrun-s-pack 404 https://www.sportsshoes.com/search/?q=compressport+ultrun
PAGE FAIL prod-raidlight-responsiv-12 404 https://www.raidlight.com/en/responsiv-12l.html
PAGE FAIL prod-raidlight-responsiv-12 404 https://www.bergfreunde.eu/raidlight-responsiv-12/
PAGE FAIL prod-raidlight-responsiv-12 404 https://www.sportsshoes.com/search/?q=raidlight+responsiv+12
PAGE FAIL prod-kiprun-trail-10 403 https://www.decathlon.nl/p/kiprun-trail-10/_/R-p-X
PAGE prod-kiprun-trail-10 200 321 https://www.decathlon.com/search?Ntt=kiprun%20trail%2010
