category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status
balls,competition,HEAD,HEAD Padel Pro+,Pro+,current (+),unisex,standard/control,https://www.head.com/en_US/rs/stories/head-exclusive-ball-valencia-premier-padel,current,https://www.tenniswarehouse-europe.com/catpage-HEADPADEL-EN.html | https://padelshop.com/collections/head-padel-balls,yes,yes,CURRENT,yes,prod-head-padel-pro-plus,Official Valencia Premier Padel P1 2026 men's ball; control/thinner-wall sibling of Pro S+; NL stock via Padelshop/TWE,verified
balls,fast,HEAD,HEAD Padel Pro S+,Pro S+,current (+),unisex,speed/fast,https://www.head.com/en_US/rs/stories/head-exclusive-ball-valencia-premier-padel,current,https://www.tenniswarehouse-europe.com/catpage-HEADPADEL-EN.html | https://padelshop.com/collections/head-padel-balls,yes,yes,CURRENT,yes,prod-head-padel-pro-s-plus,Official Valencia P1 2026 women's ball; faster/firmer vs Pro+; widely stocked NL/EU,verified
balls,club,HEAD,HEAD Padel Team,Team,current,unisex,training/club,https://www.tenniswarehouse-europe.com/Head_Padel_Team_Ball_3-Ball_Tri-Pack/descpageHEADPA-HPB3CANS-EN.html,current,https://padelmarket.com/en-eu/products/head-padel-team-3-tubes-of-3-balls | https://www.tenniswarehouse-europe.com/catpage-HEADPADEL-EN.html,yes,yes,CURRENT,yes,prod-head-padel-team,Still sold EU 2026 as slower progression/club can; Spanish federation positioning on retailer copy,verified
balls,club,HEAD,HEAD Padel One,One,current,unisex,intermediate,https://padelmarket.com/en-eu/products/head-padel-one-tube-of-3-balls,current,https://pace-shop.be/en/products/padel-ballen-head-one | https://www.tenniswarehouse-europe.com/catpage-HEADPADEL-EN.html,limited,yes,CURRENT,yes,prod-head-padel-one,Active EU listings (TWE/Padel Market/BE); mid-tier between Team and Pro,verified
balls,fast,Bullpadel,Bullpadel FIP Next Pro,FIP Next Pro,current (Next gen),unisex,speed/competition,https://www.bullpadel.com/gb/1705-balls-pot-bullpadel-bp-fip-next-pro.html,current,https://padelshop.com/nl/collections/padelballen | https://padelmarket.com/en-gb/products/bullpadel-next-pro-tube-of-3-balls,yes,yes,CURRENT,no,,Official Bullpadel store + NL Padelshop; FIP/Premier Padel event ball; max-speed Next line,verified
balls,competition,Bullpadel,Bullpadel FIP Next,FIP Next,current (Next gen),unisex,standard,https://www.bullpadel.com/gb/77-balls,current,https://www.bullpadel.com/gb/77-balls | https://padel-magazine.co.uk/stephane-penso-tests-the-ball-bullpadel-next-pro/,yes,yes,CURRENT,no,,Official balls category lists Next alongside Next Pro; slightly less pressurized / more control vs Next Pro,verified
balls,competition,Bullpadel,Bullpadel Premium Pro,Premium Pro,current,unisex,all-round/premium,https://www.bullpadel.com/gb/517-pelotas-bullpadel-premium-pro.html,current,https://www.bullpadel.com/gb/77-balls | https://padelshop.com/nl/collections/padelballen,yes,yes,CURRENT,yes,prod-bullpadel-premium-pro,Still on official Bullpadel balls page as high-speed durable can,verified
balls,fast,Bullpadel,Bullpadel Premium Gold,Premium Gold,previous,unisex,speed,https://www.bullpadel.com/gb/77-balls,discontinued,https://www.zonadepadel.com/bullpadel/5931-bote-pelotas-bullpadel-premium-gold.html | https://funpadel.pt/bullpadel-premium-gold-padel-balls-box-of-24-tubes-72-balls,limited,limited,PREVIOUS_GENERATION,yes,prod-bullpadel-premium-gold,Deprecated/clearance on major EU shops; superseded by Premium Pro / Next line on official catalog,verified
balls,fast,Nox,NOX Nerbo+ Speed,Nerbo+ Speed,current,unisex,speed,https://noxsport.com/en/products/nerbo-balls-3,current,https://padelshop.com/nl/collections/nox-padel-balls | https://funpadel.pt/nox-nerbo-speed-balls-tube,yes,yes,CURRENT,no,,NL Padelshop stocks Nerbo+ Speed; A1 Padel / FIP positioning on retailer pages,verified
balls,competition,Nox,NOX Nerbo,Nerbo,current,unisex,standard/competition,https://noxsport.com/en/products/nerbo-balls-3,current,https://padelshop.com/nl/collections/nox-padel-balls | https://www.padelnuestro.com/int/padel-balls/nox,yes,yes,CURRENT,no,,Official A1 Padel circuit ball (FIP); distinct from Pro Titanium club/competition line,verified
balls,competition,Nox,NOX Pro Titanium,Pro Titanium,current,unisex,competition (3 or 4-ball packs same SKU family),https://noxsport.com/en/collections/padel-balls-pro-titanium,current,https://padelshop.com/nl/collections/nox-padel-balls | https://funpadel.pt/nox-pro-titanium-box-of-24-cans-x-4-balls,yes,yes,CURRENT,no,,Official NOX collection; FFT-approved; 3-ball and 4-ball are pack formats not distinct products,verified
balls,fast,Adidas,Adidas Speed RX,Speed RX,current,unisex,speed,https://allforpadel.com/en/143-balls,current,https://padelshop.com/nl/collections/padelballen | https://www.cricket-hockey.com/en/adidas-speed-rx-padel-balls-tube-of-3-2026,yes,yes,CURRENT,yes,prod-adidas-speed-rx-padel-balls,All For Padel official licensee; FIP; WC2026 packaging is special edition of same Speed RX model,verified
balls,competition,Adidas,Adidas / AFP Pro Bounce,Pro Bounce,current,unisex,competition/club,https://allforpadel.com/en/balls/6676-adidas-pro-bounce-balls-8436548247515.html,current,https://www.time2padel.com/en/padel-balls/12157-can-of-balls-all-for-padel-pro-bounce-adidas-8436548247515.html | https://allforpadel.com/en/143-balls,limited,yes,CURRENT,no,,Sold via All For Padel as Adidas/AFP Pro Bounce; distinct from Speed RX,verified
balls,control,Adidas,Adidas Aditour / adiTour XP,Aditour XP,previous,unisex,control,https://todopadel.online/gb/adidas/1258-aditour-8436548248284.html,discontinued,https://www.zonadepadel.com/adidas-padel/3154-pellets-aditour-xp.html | https://www.streetpadel.com/fr/pack-3-boites-de-balles-adidas-aditour-xp-p-10594.html,no,limited,DISCONTINUED,yes,prod-adidas-aditour-padel-balls,Older Adidas control line; mostly OOS/historical listings; Speed RX is current Adidas flagship,verified
balls,competition,Wilson,Wilson Premier Padel,Premier Padel,current,unisex,standard/control,https://www.wilson.com/en-us/product/premier-padel-speed-3-ball-can-wr8908500,current,https://padelshop.com/nl/products/wilson-premier-padel-balls-1-can | https://www.padelmq.com/en-eu/products/wilson-premier-padel-speed-box-24,yes,yes,CURRENT,yes,prod-wilson-padel-premier,Official Premier Padel standard can; control sibling of Premier Speed; strong NL stock,verified
balls,fast,Wilson,Wilson Premier Padel Speed,Premier Padel Speed,current,unisex,speed,https://www.wilson.com/en-us/product/premier-padel-speed-3-ball-can-wr8908500,current,https://www.tenniswarehouse-europe.com/Wilson_Premier_Padel_Speed_3_Ball_Bi-Pack_/descpageWILPADS-WPBPREPADBP-EN.html | https://padelshop.com/nl/collections/padelballen,yes,yes,CURRENT,yes,prod-wilson-padel-premier-speed,Official Premier Padel Speed can; New Dura-Weave; cold/slow-court positioning,verified
balls,club,Wilson,Wilson Rush 100,Rush 100,current,unisex,value/club,https://www.newitts.com/wilson-padel-rush-100-padel-balls,current,https://www.newitts.com/wilson-padel-rush-100-padel-balls | https://padel-magazine.co.uk/Guide-and-comparison-2025%3A-How-to-choose-your-padel-ball-from-32-options/,limited,yes,CURRENT,no,,Still in 2026 market comparisons and EU retail; value/faster general-purpose vs Premier pair,verified
balls,fast,Wilson,Wilson X3 / Performance Speed,X3 Performance Speed,previous,unisex,speed,https://mas.wilson.com/products/wilson-padel-x3-performance-balls-3-balls-per-can-wr8900801001,limited,https://www.testfakta.com/sites/default/files/2023-08/Padel%20balls%20%28ENG%29%5B21%5D.pdf,unknown,limited,PREVIOUS_GENERATION,no,,Pre-Premier X3 Performance Speed line; largely replaced by Premier Padel / Speed naming in EU,likely
balls,competition,Babolat,Babolat Court,Court,current,unisex,competition,https://www.babolat.com/gb/court-x3/501098.html,current,https://www.babolat.com/gb/court-x3/501098.html | https://padelshop.com/nl/collections/padelballen,yes,yes,CURRENT,yes,prod-babolat-court-padel-balls,Official Babolat Court x3; FIP/FFT homologation,verified
balls,competition,Babolat,Babolat Ace,Ace,current,unisex,premium/all-round,https://www.tiendapadelpoint.com/en/3-ball-pot-babolat-ace-padel-en,current,https://padelave.com/collections/padel-balls | https://padel-magazine.co.uk/Guide-and-comparison-2025%3A-How-to-choose-your-padel-ball-from-32-options/,limited,yes,CURRENT,no,,Listed in 2026 32-ball comparison and EU shops; Ace is distinct from Court,verified
balls,competition,Dunlop,Dunlop Pro Padel,Pro,current,unisex,competition,https://www.padelmq.com/en/products/dunlop-pro-padel-ball-tube,current,https://www.padelmq.com/en-nl/products/dunlop-pro-padel-ball-tube | https://padelshop.com/nl/collections/padelballen,yes,yes,CURRENT,yes,prod-dunlop-pro-padel,FIP match ball; strong BE/NL warehouse stock (PadeLMQ); distinct from Team/Fort/Eco,verified
balls,fast,Dunlop,Dunlop Fort Padel,Fort,current,unisex,fast/punchy,https://www.zonadepadel.uk/dunlop-padel/11377-bottle-balls-dunlop-fort-padel.html,current,https://padel-magazine.co.uk/Guide-and-comparison-2025%3A-How-to-choose-your-padel-ball-from-32-options/ | https://thepadelgang.co.uk/dunlop-pro-padel-balls/,limited,yes,CURRENT,no,,2026 comparison lists Fort separately from Pro; Fort Core punchy bounce positioning,verified
balls,club,Dunlop,Dunlop Team Padel,Team,current,unisex,recreational/club,https://thepadelgang.co.uk/dunlop-pro-padel-balls/,current,https://padelshop.com/nl/collections/padelballen,yes,yes,CURRENT,no,,NL Padelshop lists Dunlop Team; slower forgiving club/coaching can vs Pro,verified
balls,training,Dunlop,Dunlop Eco Padel,Eco,current,unisex,pressureless training/bulk,https://padelgearpro.nl/dunlop-eco-padel-24x3-review/,current,https://padelshop.com/nl/collections/padelballen | https://padelgearpro.nl/dunlop-eco-padel-24x3-review/,yes,yes,CURRENT,no,,Pressureless durable training ball; NL reviews and Padelshop listings; bulk club use,verified
balls,fast,Kuikma,Kuikma PB Speed,PB Speed,current,unisex,speed,https://www.decathlon.ca/en/p/8788980/pressurized-padel-balls-x3-pb-speed,current,https://padelracketkopen.nl/padel-ballen/kuikma-pb-speed-doos-24x-3st/ | https://www.decathlon.nl/search?Ntt=kuikma%20pb%20speed,yes,yes,CURRENT,yes,prod-kuikma-pb-speed,FIP; Decathlon exclusive; for cool/humid/sea-level; NL specialty + Decathlon channel,verified
balls,control,Kuikma,Kuikma PB Control,PB Control,current,unisex,control,https://www.decathlon.com.gr/en/p/342362-216782-pressurised-padel-balls-kuikma-pb-control-pack-of-3.html,current,https://padelracketkopen.nl/padel-ballen/kuikma-pb-control-3st/ | https://www.decathlon.nl/search?Ntt=kuikma%20pb%20control,yes,yes,CURRENT,yes,prod-kuikma-pb-control,FIP; warm/altitude control can; NL reseller stock,verified
balls,club,Kuikma,Kuikma PB Club,PB Club,current,unisex,club/training,https://www.decathlon.com.gr/en/p/347532-441291-pressurised-padel-balls-kuikma-pb-club-case-of-18-tubes-of-4-balls.html,current,https://padelracketkopen.nl/padel-ballen/kuikma-pb-club-18x-4st/ | https://www.decathlon.nl/search?Ntt=kuikma%20pb%20club,yes,yes,CURRENT,yes,prod-kuikma-pb-club,Club durability/fast-in-slow-conditions; bulk cases common; Decathlon channel,verified
balls,training,Tecnifibre,Tecnifibre Padel Team,Padel Team,current,unisex,training,https://www.tecnifibre.com/en/collections/balles-de-padel,current,https://www.padelmq.com/en-nl/products/tube-van-3-tecnifibre-padel-team-ballen | https://www.tecnifibre.com/en/collections/balles-de-padel,yes,yes,CURRENT,yes,prod-tecnifibre-padel-team,On official Tecnifibre padel balls collection as lively training can,verified
balls,premium,Tecnifibre,Tecnifibre X-One Padel,X-One,current,unisex,premium,https://www.tecnifibre.com/en/collections/balles-de-padel,current,https://www.extreme-tennis.eu/tecnifibre-padel-balls/22294-tecnifibre-x-one-padel-3-balls-can.html | https://www.padelnuestro.com/uk/padel-balls-uk,limited,yes,CURRENT,no,,Official Tecnifibre site lists X-One as comfortable/durable premium; EU specialist stock,verified
balls,competition,Tecnifibre,Tecnifibre Padel Tour,Padel Tour,current/limited,unisex,competition,https://www.squashgearpro.com/shop/140-padel-tennis-balls/1907-tecnifibre-padel-tour-padel-balls---1-tube/,unknown,https://padel-magazine.co.uk/Guide-and-comparison-2025%3A-How-to-choose-your-padel-ball-from-32-options/ | https://www.squashgearpro.com/shop/140-padel-tennis-balls/1907-tecnifibre-padel-tour-padel-balls---1-tube/,unknown,limited,CURRENT_LIMITED,no,,Appears in 2026 comparisons; not clearly on current Tecnifibre collection page (Team/X-One are),needs_verify
balls,fast,Tretorn,Tretorn Serie+ Padel Tour,Serie+ Padel Tour,current,unisex,speed,https://www.tretorn.eu/gb/serie-padel-tour-padel-ball-men-women-474470070,current,https://padelshop.com/nl/collections/padelballen | https://www.tretorn.eu/gb/serie-padel-tour-padel-ball-men-women-474470070,yes,yes,CURRENT,no,,Official Tretorn TRI-TEC high-speed ball; NL Padelshop stock,verified
balls,control,Tretorn,Tretorn Serie+ Padel Control,Serie+ Padel Control,current,unisex,control,https://www.tretorn.eu/gb/serie-padel-control-padel-ball-men-women-474481070,limited,https://www.tretorn.eu/gb/serie-padel-control-padel-ball-men-women-474481070,unknown,limited,CURRENT_LIMITED,no,,Official Tretorn soft-core control model; official page often OOS,verified
balls,control,Siux,Siux Neo,Neo,current,unisex,standard/control,https://www.siuxpadel.com/en/blogs/press/nace-siux-neo-las-nuevas-pelotas-de-padel-disenadas-para-cada-tipo-de-jugador,current,https://www.padelnuestro.com/uk/padel-balls-uk | https://padelave.com/collections/padel-balls,limited,yes,CURRENT,no,,FIP-approved Neo for heat/altitude/control; Neo 26 listings on Padel Nuestro,verified
