category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status
accessories,protector,Bullpadel,Frame Protector,Frame Protector Uni,current,unisex,"black/transparent/white; 1-unit and 3-pack",https://www.bullpadel.com,current,"https://www.padelnuestro.com/protector-bullpadel-frame-uni-820-494320-smu",yes,yes,current,yes,prod-bullpadel-frame-protector-uni,"Single-unit Frame Protector Uni / Frame Protector TR (EAN 8445402973828). Distinct from prod-bullpadel-frame-protector multi-pack.",confirmed
accessories,protector,Nox,Transparent Frame Protector,Transparent / Protection Tape,current,unisex,"transparent + colored (blue etc)",https://noxsport.com,current,"https://www.padelmq.com/en-nl/products/nox-protection-tape-transparant-framebeschermer|https://www.racketworld.co.uk/products/nox-padel-protector-tape-blue",yes,yes,current,yes,prod-nox-frame-protector,"3M-adhesive style Nox frame tape; Kitletics transparent SKU seeded; colors are variants.",confirmed
accessories,protector,HEAD,Antishock Skin Padel,Antishock Skin,current,unisex,"transparent; ~6 g",https://www.head.com/product/protector-antishock-skin,current,"https://www.head.com/product/protector-antishock-skin|https://www.time2padel.com/en/paddle-accessories/31538-head-antishock-skin-padel-288503-head-726423569015.html|https://www.padelmq.com/en-eu/collections/%F0%9F%8E%BE-racket-accessoires",yes,yes,current,no,,"Lightweight ~6 g HEAD skin protector; priority protector gap vs Bullpadel/Nox only.",confirmed
accessories,protector,ShockOut,Protection Tape (standard),ShockOut Protector,current,unisex,"transparent/colored PVC micro-grid",https://www.shockout.es,current,"https://www.time2padel.com/en/padel-accessories/25826-protection-tape-and-overgrip-shockout-100-0062-shockout-padel-765066747190.html",yes,yes,current,no,,"ShockOut PVC protection tape with NT adhesive; also sold in combo with overgrip.",confirmed
accessories,protector,ShockOut,Protection Tape Padel Balls,Padel Balls design,current,unisex,"transparent padel-ball pattern; ~6 g",https://www.shockout.es,current,"https://www.padelmq.com/en-eu/products/protection-tape-padel-bal",yes,yes,current,no,,"Design variant of ShockOut protector with padel-ball print; NL PadeLMQ stock.",confirmed
accessories,protector,Siux,Transparent Protector Black Logo,Siux Logo Transparent,current,unisex,"transparent + black logo",https://siuxpadel.com,current,"https://www.time2padel.com/en/protectors/7775-protection-tape-transparent-siux-black-logo-siux-8435536711069.html",yes,yes,current,no,,"Siux branded transparent frame tape.",confirmed
accessories,protector,Enebe,Aerox / Response / Spitfire Protectors,Enebe Protector line,current,unisex,"colored PP ~37×3.5 cm; model graphics vary",https://enebepadel.com,current,"https://enebepadel.com/en/catalogo/protector-padel-enebe-aerox-azul/|https://enebepadel.com/en/catalogo/protector-padel-enebe-response-oro/",yes,yes,current,no,,"Enebe PP protectors; Aerox/Response/Spitfire are design variants of same protector job — collapse graphics unless distinct materials.",confirmed
accessories,protector,Adidas,Frame Protector / Protection Tape,Adidas Protector,current,unisex,"transparent/branded",https://www.adidas.com,current_retail,"https://www.padelmq.com/|https://www.time2padel.com/",likely,yes,current,no,,"Adidas padel protectors appear on EU specialist shelves — confirm current model code.",probable
accessories,protector,Wilson,Padel Frame Protector,Wilson Protector,current,unisex,"transparent/black",https://www.wilson.com,current_retail,"https://www.tradeinn.com/",likely,yes,current,no,,"Wilson padel protectors stocked on Tradeinn-class retailers — verify exact current SKU.",probable
accessories,protector,Babolat,Frame Protector,Babolat Protector,current,unisex,"transparent",https://www.babolat.com,current_retail,"https://www.padelnuestro.com/",likely,yes,current,no,,"Babolat frame protectors exist in ES specialists; confirm NL listing.",probable
