category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status
bags,PADEL_RACKET_BAG,Adidas,ProTour Padel Bag,ProTour,2026 / 3.5,unisex,colorways collapsed (Blue/Bronze; Pink; Black etc),https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://padellife.nl/products/adidas-pro-tour-padel-bag-2026-blue-bronze|https://www.zonadepadel.nl/adidas-padel/14454-adidas-padeltas-protour-blauw-brons-2026.html|https://padelshop.com/collections/adidas-padel-bags",yes,yes,current,yes,prod-adidas-protour-padel,"70 L tournament paletero; dual thermo side compartments; ventilated shoe/wet area; ProTour / Martita Ortega competition tier. Kitletics seeded as ProTour 3.4/3.5 — treat 2026 ProTour racketbag as same product family unless capacity layout changes.",confirmed
bags,BACKPACK,Adidas,ProTour Padel Backpack,ProTour Backpack,2026 / 3.5,unisex,colorways collapsed (Blue; Pink; White; Black),https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://www.padelmq.com/en/products/adidas-protour-3-5-blue-backpack-2026|https://padelshop.com/products/adidas-pro-tour-backpack-2026",yes,yes,current,no,,"Distinct from ProTour racketbag: backpack form; thermal racket pocket; ventilated shoe well; ~50×32×23 cm. ProTour collection.",confirmed
bags,PADEL_RACKET_BAG,Adidas,Multigame Padel Bag,Multigame,2026 / 3.4,unisex,colorways collapsed (Black; Black/Red Ale Galán),https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://padellife.nl/products/adidas-multigame-padel-bag-2026-black-red|https://padellife.nl/products/adidas-multigame-padel-bag-2026-black|https://www.zonadepadel.nl/adidas-padel/14457-adidas-padeltas-multigame-zwart-2026.html",yes,yes,current,no,,"58 L mid-tier thermo paletero; dual thermo sides; ventilated shoe compartment; Ale Galán Multigame signature colorway is variant not separate SKU.",confirmed
bags,BACKPACK,Adidas,Multigame Padel Backpack,Multigame Backpack,2026,unisex,colorways collapsed (Black/Red Galán; Tonal Black; White/Orange),https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://padelshop.com/products/adidas-multigame-backpack-2026",yes,yes,current,no,,"Backpack form with external thermal racket compartment (~1 racket); no dedicated shoe compartment on many listings; Galán Multigame collection.",confirmed
bags,COURT_BAG,Adidas,Control Padel Bag,Control,2026 / 3.4,unisex,colorways collapsed (Black/Blue; Green),https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://www.zonadepadel.nl/adidas-padel/14461-adidas-padeltas-control-zwart-blauw-2026.html|https://www.tennispro.eu/adidas-control-3-4-padel-bag-898059.html|https://padelshop.com/collections/adidas-padel-bags",yes,yes,current,no,,"Entry ~35 L / 2-racket side sleeve; no thermo on typical listings; Control entry tier distinct from Multigame/ProTour.",confirmed
bags,BACKPACK,Adidas,Weekend Backpack,Weekend,3.4,unisex,Black,https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://padelshop.com/collections/adidas-padel-bags",yes,yes,current,no,,"Weekend 3.4 Black backpack listed on NL PadelShop; softer/lifestyle carry vs ProTour/Multigame technical packs.",confirmed
bags,PADEL_RACKET_BAG,Adidas,Tour Padel Bag,Tour,current,unisex,Bronze/Orange,https://padelshop.com/collections/adidas-padel-bags,current_retail,"https://padelshop.com/collections/adidas-padel-bags",yes,yes,current,no,,"Adidas Tour Bronze/Orange racketbag on PadelShop NL — mid line between Control and Multigame; confirm exact L vs Multigame before PDP merge.",probable
bags,TOURNAMENT_BAG,Babolat,RH Pro Padel,RH Pro Padel,2025-2026,unisex,colorways collapsed (Black; Technical White/Black/Red; Juan Lebrón),https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html|https://padelproshop.com/en/products/padel-bag-babolat-rh-pro-padel-technical-2026|https://www.zonadepadel.com/babolat/11930-babolat-rh-pro-padel-black-2025-padel-bag.html",yes,yes,current,yes,prod-babolat-rh-pro-padel,"62 L / 4 rackets / 3 main compartments; Technical & Lebrón editions are color/finish variants of same RH Pro architecture (confirm insulated count: some Technical listings show 0 isothermal vs classic 1).",confirmed
bags,TOURNAMENT_BAG,Babolat,RH Perf Padel,RH Perf,2nd gen / current,unisex,Silver/Black,https://www.babolat.com/us/rh-perf/759021.html,current,"https://www.babolat.com/us/rh-perf/759021.html|https://www.babolat.com/us/padel/bags.html",yes,yes,current,no,,"52 L / 4 rackets; backpack carry; fence carabiner; water-repellent recycled polyester — distinct smaller tournament bag vs RH Pro 62 L.",confirmed
bags,COURT_BAG,Babolat,Court S Padel,Court S,current,unisex,colorways collapsed,https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html",yes,yes,current,no,,"~32–35 L / 2 rackets day bag; divided main; outer zip. Distinct from Court Backpack.",confirmed
bags,BACKPACK,Babolat,Court Backpack / Court Backpack Hero,Court Backpack,current,unisex,colorways collapsed (incl. Hero),https://www.babolat.com/gb/court-backpack-hero/100-753116.html,current,"https://www.babolat.com/us/padel/bags.html|https://www.babolat.com/gb/court-backpack-hero/100-753116.html",yes,yes,current,yes,prod-babolat-court-backpack,"~30 L backpack; 2 racket compartment + laptop; Kitletics Court Backpack maps here (Court S is separate product).",confirmed
bags,BACKPACK,Babolat,Court Backpack Lite,Court Backpack Lite,current,unisex,,https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html",yes,yes,current,no,,"25 L lighter Court backpack; 1 racket compartment — distinct from Court Backpack Hero 30 L.",confirmed
bags,BACKPACK,Babolat,Backpack Kids,Backpack Kids,current,kids,,https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html",yes,yes,current,no,,"14–15 L kids backpack; 1 racket — junior SKU.",confirmed
bags,PADEL_RACKET_BAG,Bullpadel,Vertex Padel Bag,BPP26001 Vertex,2026,unisex,Black (Juan Tello),,current_retail,"https://www.zonadepadel.com/bullpadel/13827-bullpadel-bpp26001-vertex-black-2026-padel-bag.html|https://padelmarket.com/en-eu/products/bullpadel-bpp-26001-vertex-black-2026-juan-tello-racket-bag",yes,yes,current,no,,"Vertex 2026 Juan Tello paletero; 2 thermo comps / up to 4 rackets; ventilated shoes; ~60×28.5×40 cm. Vertex collection signature.",confirmed
bags,BACKPACK,Bullpadel,Vertex Backpack / Vertex Geo Backpack,BPM26007 / BPM26008 Vertex,2026,unisex,colorways collapsed (Black; Black/Red),,current_retail,"https://www.padelmq.com/en-eu/products/bullpadel-vertex-backpack-black-2026-juan-tello|https://padelshop.com/products/bullpadel-bpm26008-vertex-backpack|https://decathlon.com.cy/products/padel-backpack-bullpadel-vertex-2026-black-red",yes,yes,current,yes,prod-bullpadel-vertex-backpack,"Vertex 2026 thermo backpack 2 rackets + laptop + ventilated shoes; Kitletics Vertex Geo maps to this 2026 Vertex backpack family.",confirmed
