category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status
bags,PADEL_RACKET_BAG,Adidas,Adidas Multigame Padel Bag,Multigame,2026,unisex,colorways collapsed (Tonal Black; Black/Red Galán; Off White),https://allforpadel.com/en/138-new-bag-collection,current,"https://padelmarket.com/en/products/adidas-multigame-tonal-black-2026-racket-bag|https://www.zonadepadel.uk/adidas-padel/14457-adidas-multigame-black-2026-padel-bag.html|https://padelshop.com/collections/adidas-padel-bags",yes,yes,CURRENT,no,,"58 L Multigame 2026 paletero; dual thermo side compartments; ventilated shoe/wet area; Ale Galán Multigame colorways are variants. Mid tier between Control and ProTour.",verified
bags,BACKPACK,Adidas,Adidas Multigame Padel Backpack,Multigame Backpack,2026,unisex,colorways collapsed (Black/Red Galán; Black; White/Sand),https://allforpadel.com/en/138-new-bag-collection,current,"https://padelshop.com/products/adidas-multigame-backpack-2026|https://padelshop.com/collections/adidas-padel-bags",yes,yes,CURRENT,no,,"Multigame backpack with external thermal racket compartment (~1 racket); no dedicated shoe compartment on typical listings; distinct from Multigame racketbag.",verified
bags,BACKPACK,Adidas,Adidas ProTour Padel Backpack,ProTour Backpack,2026,unisex,colorways collapsed (Blue; Pink Martita; White; Black),https://allforpadel.com/en/138-new-bag-collection,current,"https://padelproshop.com/en-gb/products/backpack-adidas-pro-tour-blue-2026|https://padelshop.com/collections/adidas-padel-bags|https://allforpadel.com/en/138-new-bag-collection",yes,yes,CURRENT,no,,"ProTour 2026 backpack sibling to existing ProTour racketbag; U-opening; insulated racket pocket; ventilated bottom shoe well; ~32×50×23 cm class. Martita Ortega pink is colorway.",verified
bags,PADEL_RACKET_BAG,Adidas,Adidas Tour Padel Bag,Tour,2026,unisex,Bronze/Orange,https://padelshop.com/collections/adidas-padel-bags,current,"https://padelshop.com/collections/adidas-padel-bags",yes,yes,CURRENT,no,,"Adidas Tour Bronze/Orange racketbag on NL PadelShop — distinct mid line from Multigame/ProTour/Control.",verified
bags,BACKPACK,Adidas,Adidas Weekend 3.4 Backpack,Weekend Backpack,3.4 / 2026,unisex,Black,https://padelshop.com/collections/adidas-padel-bags,current,"https://padelshop.com/collections/adidas-padel-bags",yes,yes,CURRENT,no,,"Weekend 3.4 Black backpack on PadelShop NL; lifestyle/day pack distinct from ProTour/Multigame technical packs.",verified
bags,COURT_BAG,Adidas,Adidas Weekend Bag Martita Ortega,Weekend Bag Martita Ortega,2026,unisex,Orange Pink,https://allforpadel.com/en/138-new-bag-collection,current,"https://allracquetsports.com/bags/7046-adidas-weekend-bag-martita-ortega-2026-8435739406342.html|https://allforpadel.com/en/138-new-bag-collection",yes,yes,CURRENT,no,,"Martita Ortega Weekend tote/roll-top ~30–35 L; expandable; side zips; not a thermo paletero. Family: Martita Ortega / Weekend.",verified
bags,TOURNAMENT_BAG,Babolat,Babolat RH Perf Padel,RH Perf,2nd gen,unisex,Silver/Black,https://www.babolat.com/us/rh-perf/759021.html,current,"https://www.babolat.com/us/padel/bags.html|https://www.babolat.com/us/rh-perf/759021.html",yes,yes,CURRENT,no,,"52 L / 4 rackets; backpack carry; fence carabiner; water-repellent recycled polyester — distinct smaller tournament bag vs RH Pro 62 L.",verified
bags,COURT_BAG,Babolat,Babolat Court S,Court S,current,unisex,colorways collapsed,https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html",yes,yes,CURRENT,no,,"~32–35 L / 2 rackets day bag; divided main; outer zip. Distinct from Court Backpack (existing).",verified
bags,BACKPACK,Babolat,Babolat Court Backpack Lite,Court Backpack Lite,current,unisex,,https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html",yes,yes,CURRENT,no,,"25 L lighter Court backpack; 1 racket compartment — distinct from Court Backpack ~30 L.",verified
bags,BACKPACK,Babolat,Babolat Backpack Kids,Backpack Kids,current,kids,,https://www.babolat.com/us/padel/bags.html,current,"https://www.babolat.com/us/padel/bags.html",yes,yes,CURRENT,no,,"14–15 L junior backpack; 1 racket.",verified
