productId,categoryId,brandId,name,lifecycleStatus,publicationStatus,availabilityClass,offerPresence,researchState,nlOfferCount,euOfferCount,affiliateMapped,freshOfferCount,staleOfferCount,anyOffer,evidenceUrlCount,packUnitLabel,notes
prod-nox-at10-18k-2026,cat-padel-rackets,brand-nox,AT10 Genius 18K Alum 2026,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,2,0,true,2,0,true,0,,
prod-bullpadel-vertex-04,cat-padel-rackets,brand-bullpadel,Vertex 04,previous-generation,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-babolat-technical-viper,cat-padel-rackets,brand-babolat-padel,Technical Viper 3.0,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-head-coello-pro,cat-padel-rackets,brand-head-padel,Coello Pro,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-siux-diablo,cat-padel-rackets,brand-siux,Diablo Pro,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-adidas-courtstabil,cat-padel-shoes,brand-adidas-padel,Courtquick Padel,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-head-padel-pro-s,cat-padel-balls,brand-head-padel,Padel Pro S+,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,2,0,true,2,0,true,0,€6.95 / 24 cans · €0.29 / can · €0.10 / ball,
prod-wilson-overgrip,cat-padel-grips,brand-wilson-padel,Pro Padel Overgrip,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,1,€9.95 / 3-pack · €3.32 / grip,
prod-nox-bag-10,cat-padel-bags,brand-nox,Thermo Bag 10,current,draft,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-wilson-bela-pro,cat-padel-rackets,brand-wilson-padel,Bela Pro V3,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,0,true,1,0,true,0,,
prod-starvie-titania-kepler,cat-padel-rackets,brand-starvie,Titania Kepler,previous-generation,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-adidas-metalbone-hrd,cat-padel-rackets,brand-adidas-padel,Metalbone HRD+,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-kuikma-pr-soft-500,cat-padel-rackets,brand-kuikma,PR Soft 500,current,draft,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-drop-shot-canyon-pro,cat-padel-rackets,brand-drop-shot,Canyon Pro,current,draft,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-varlion-lw-carbon-difusor,cat-padel-rackets,brand-varlion,LW Carbon Difusor,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-nox-ml10-pro-cup,cat-padel-rackets,brand-nox,ML10 Pro Cup,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-bullpadel-hack-03,cat-padel-rackets,brand-bullpadel,Hack 03,previous-generation,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
prod-babolat-counter-viper,cat-padel-rackets,brand-babolat-padel,Counter Viper,current,published,NL_AVAILABLE,NL_OFFER,RESEARCHED,1,1,true,3,0,true,0,,
