productId,slug,name,categoryId,brandId,reviewCount,bestGuideCount,buyingGuideCount,comparisonCount,alternativeCount,gearSetupCount,compatibleAccessoryCount,relationshipKinds,relationshipCount,coverageBand
prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,AT10 Genius 18K Alum 2026,cat-padel-rackets,brand-nox,1,3,0,1,5,0,0,alternative|best-guide|comparison|review,4,strong
prod-bullpadel-vertex-04,bullpadel-vertex-04,Vertex 04,cat-padel-rackets,brand-bullpadel,0,2,0,1,2,0,0,alternative|best-guide|comparison,3,moderate
prod-babolat-technical-viper,babolat-technical-viper-3-0,Technical Viper 3.0,cat-padel-rackets,brand-babolat-padel,1,3,1,4,4,0,0,alternative|best-guide|buying-guide|comparison|review,5,strong
prod-head-coello-pro,head-coello-pro-2026,Coello Pro,cat-padel-rackets,brand-head-padel,1,7,0,1,4,0,0,alternative|best-guide|comparison|review,4,strong
prod-siux-diablo,siux-diablo-pro-2026,Diablo Pro,cat-padel-rackets,brand-siux,0,6,0,0,2,0,0,alternative|best-guide,2,moderate
prod-adidas-courtstabil,adidas-courtstabil-padel,Courtquick Padel,cat-padel-shoes,brand-adidas-padel,1,6,4,0,4,3,0,alternative|best-guide|buying-guide|gear-setup|review,5,strong
prod-head-padel-pro-s,head-padel-pro-s-balls,Padel Pro S+,cat-padel-balls,brand-head-padel,1,5,5,2,7,6,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup|review,7,strong
prod-wilson-overgrip,wilson-padel-overgrip-pack,Pro Padel Overgrip,cat-padel-grips,brand-wilson-padel,1,6,9,1,6,6,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup|review,7,strong
prod-nox-bag-10,nox-thermo-bag-10,Thermo Bag 10,cat-padel-bags,brand-nox,0,3,0,0,0,0,0,best-guide|compatible-accessory,2,moderate
prod-wilson-bela-pro,wilson-bela-pro-v3,Bela Pro V3,cat-padel-rackets,brand-wilson-padel,0,0,0,1,2,0,0,alternative|comparison,2,moderate
prod-starvie-titania-kepler,starvie-titania-kepler,Titania Kepler,cat-padel-rackets,brand-starvie,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,Metalbone HRD+,cat-padel-rackets,brand-adidas-padel,0,2,0,0,3,0,0,alternative|best-guide,2,moderate
prod-kuikma-pr-soft-500,kuikma-pr-soft-500,PR Soft 500,cat-padel-rackets,brand-kuikma,0,3,0,0,3,0,0,alternative|best-guide,2,moderate
prod-drop-shot-canyon-pro,drop-shot-canyon-pro,Canyon Pro,cat-padel-rackets,brand-drop-shot,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
