kind,id,slug,vertical,heroPresent,sectionFileCount,resolvedInlineImages,words,imagesPer1000Words,gap
review,review-bullpadel-vertex-05,bullpadel-vertex-05-2026,padel,true,24,18,3728,4.83,OK
review,review-bullpadel-hack-04,bullpadel-hack-04-2026,padel,true,24,18,3752,4.8,OK
review,review-bullpadel-vertex-05-hybrid,bullpadel-vertex-05-hybrid-2026,padel,true,20,18,3755,4.79,OK
review,review-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,padel,true,20,18,3768,4.78,OK
review,review-nox-at10-18k-2026,nox-at10-genius-18k-2026,padel,true,24,18,3764,4.78,OK
review,review-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,padel,true,24,18,3783,4.76,OK
review,review-nox-ml10-pro-cup,nox-ml10-pro-cup,padel,true,20,18,3820,4.71,OK
review,review-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,padel,true,20,18,3783,4.76,OK
review,review-head-coello-pro,head-coello-pro-2026,padel,true,24,18,3749,4.8,OK
review,review-head-gravity-pro,head-gravity-pro,padel,true,20,18,3737,4.82,OK
review,review-babolat-technical-viper,babolat-technical-viper-3-0,padel,true,20,18,3735,4.82,OK
review,review-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,padel,true,20,18,3805,4.73,OK
review,review-asics-gel-resolution-padel,asics-gel-resolution-padel,padel,true,22,14,3774,3.71,OK
review,review-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,padel,false,22,14,3785,3.7,OK
review,review-adidas-courtquick,adidas-courtquick-padel,padel,true,0,0,3741,0,NO_SECTION_FILES
review,review-joma-t-slam,joma-t-slam,padel,false,18,14,3660,3.83,OK
review,review-babolat-jet-premura,babolat-jet-premura,padel,true,18,14,3748,3.74,OK
review,review-nox-at10-lux,nox-at10-lux,padel,false,22,14,3750,3.73,OK
review,review-head-sprint-pro-4-padel,head-sprint-pro-4-padel,padel,false,22,14,3781,3.7,OK
review,review-kuikma-ps-990,kuikma-ps-990,padel,true,22,14,3791,3.69,OK
review,review-wilson-overgrip,wilson-padel-overgrip-pack,padel,true,13,9,2707,3.32,OK
review,review-hesacore-padel,hesacore-padel-grip,padel,true,0,0,2656,0,NO_SECTION_FILES
review,review-bullpadel-hac-overgrip,bullpadel-hac-overgrip,padel,true,0,0,2796,0,NO_SECTION_FILES
