brand,category,market_discovered,cataloged,current,previous_generation,ready,indexable,media_ready,NL_offer,EU_offer,coverage_pct,notes
4on,accessories,3,3,3,0,2,2,2,0,0,100,
4on,balls,1,1,1,0,1,1,1,0,0,100,
4on,grips,3,3,3,0,2,2,2,0,0,100,
adidas,accessories,4,4,4,0,4,4,4,0,0,100,
adidas,bags,9,9,9,3,5,5,5,1,1,100,
adidas,balls,3,3,3,0,2,2,2,1,1,100,
adidas,grips,3,3,3,0,2,2,2,0,0,100,
alacran,accessories,2,2,2,0,1,1,1,0,0,100,
babolat,accessories,2,2,2,0,2,2,2,0,0,100,
babolat,bags,8,8,8,0,5,5,5,0,0,100,
babolat,balls,4,4,4,0,3,3,3,0,0,100,
babolat,grips,5,5,5,0,4,4,4,0,0,100,
ball rescuer,accessories,2,2,2,0,1,1,1,0,0,100,
black crown,accessories,2,2,2,0,2,2,2,0,0,100,
black crown,bags,4,4,4,0,4,4,4,0,0,100,
black crown,balls,2,2,2,0,2,2,2,0,0,100,
black crown,grips,1,1,1,0,1,1,1,0,0,100,
bounce,accessories,2,2,2,0,1,1,1,0,0,100,
bullpadel,accessories,14,14,14,0,9,9,9,3,3,100,
bullpadel,bags,25,25,25,2,17,17,17,1,1,100,
bullpadel,balls,5,5,5,1,3,3,3,1,1,100,
bullpadel,grips,8,8,8,0,3,3,3,0,0,100,
drop shot,bags,5,5,5,0,2,2,2,0,0,100,
drop shot,balls,5,5,5,0,3,3,3,0,0,100,
drop shot,grips,3,3,3,0,2,2,2,0,0,100,
dunlop,accessories,1,1,1,0,0,0,0,0,0,100,
dunlop,bags,1,1,1,0,0,0,0,0,0,100,
dunlop,balls,5,5,5,0,4,4,4,2,2,100,
dunlop,grips,2,2,2,0,1,1,1,0,0,100,
enebe,accessories,1,1,1,0,1,1,1,0,0,100,
enebe,grips,1,1,1,0,1,1,1,0,0,100,
fila,balls,2,2,2,0,1,1,1,0,0,100,
head,accessories,18,18,18,0,8,8,8,0,0,100,
head,bags,13,13,13,0,8,8,8,0,0,100,
head,balls,4,4,4,0,4,4,4,2,2,100,
head,grips,9,9,9,0,7,7,7,1,1,100,
hesacore,grips,7,7,7,0,3,3,3,0,0,100,
joma,bags,2,2,2,0,1,1,1,0,0,100,
joma,grips,1,1,1,0,1,1,1,0,0,100,
kuikma,bags,5,5,5,0,1,1,1,0,0,100,
kuikma,balls,3,3,3,0,3,3,3,0,0,100,
kuikma,grips,3,3,3,0,1,1,1,0,0,100,
lok,bags,4,4,4,0,4,4,4,0,0,100,
noene,grips,2,2,2,0,2,2,2,0,0,100,
nox,accessories,8,8,8,0,5,5,5,1,1,100,
nox,bags,16,16,16,0,8,8,8,0,0,100,
nox,balls,3,3,3,0,3,3,3,0,0,100,
nox,grips,5,5,5,0,2,2,2,1,1,100,
osaka,bags,3,3,3,0,2,2,2,0,0,100,
osaka,balls,2,2,2,0,2,2,2,0,0,100,
osaka,grips,1,1,1,0,1,1,1,0,0,100,
oxdog,accessories,1,1,1,0,0,0,0,0,0,100,
oxdog,bags,4,4,4,0,3,3,3,0,0,100,
oxdog,balls,2,2,2,0,1,1,1,0,0,100,
oxdog,grips,2,2,2,0,2,2,2,0,0,100,
pallap,balls,1,1,1,0,0,0,0,0,0,100,
pascal box,accessories,2,2,2,1,1,1,1,0,0,100,
royal padel,bags,1,1,1,0,1,1,1,0,0,100,
royal padel,grips,1,1,1,0,1,1,1,0,0,100,
rs,bags,1,1,1,0,0,0,0,0,0,100,
rs,balls,2,2,2,1,2,2,2,0,0,100,
rs,grips,1,1,1,0,0,0,0,0,0,100,
sane,bags,3,3,3,0,0,0,0,0,0,100,
sane,balls,3,3,3,0,1,1,1,0,0,100,
sane,grips,2,2,2,0,0,0,0,0,0,100,
shockout,accessories,3,3,3,0,1,1,1,0,0,100,
shockout,grips,5,5,5,0,1,1,1,0,0,100,
siux,accessories,1,1,1,0,0,0,0,0,0,100,
siux,bags,5,5,5,1,5,5,5,0,0,100,
siux,balls,3,3,3,0,3,3,3,0,0,100,
siux,grips,2,2,2,0,2,2,2,0,0,100,
slazenger,balls,1,1,1,0,0,0,0,0,0,100,
softee,accessories,5,5,5,0,3,3,3,0,0,100,
starvie,accessories,1,1,1,0,1,1,1,0,0,100,
starvie,bags,4,4,4,0,4,4,4,0,0,100,
starvie,balls,0,0,0,1,0,0,0,0,0,,
starvie,grips,2,2,2,0,1,1,1,0,0,100,
tecnifibre,bags,4,4,4,0,3,3,3,2,2,100,
tecnifibre,balls,3,3,3,0,3,3,3,1,1,100,
tecnifibre,grips,3,3,3,0,2,2,2,0,0,100,
tourna,grips,6,6,6,0,2,2,2,0,0,100,
tretorn,balls,2,2,2,0,2,2,2,0,0,100,
tuboplus,accessories,9,9,9,0,0,0,0,0,0,100,
varlion,bags,3,3,3,0,1,1,1,0,0,100,
varlion,balls,2,2,2,0,0,0,0,0,0,100,
varlion,grips,0,0,0,1,0,0,0,0,0,,
vibora,accessories,2,2,2,0,2,2,2,0,0,100,
volt,bags,1,1,1,0,1,1,1,0,0,100,
volt,balls,1,1,1,0,0,0,0,0,0,100,
volt,grips,1,1,1,0,1,1,1,0,0,100,
wilson,accessories,4,4,4,0,3,3,3,0,0,100,
wilson,bags,4,4,4,0,4,4,4,1,1,100,
wilson,balls,3,3,3,1,3,3,3,1,1,100,
wilson,grips,6,6,6,0,4,4,4,2,2,100,
yonex,grips,1,1,1,0,0,0,0,0,0,100,
