product_slug,status,retailer,url,price,currency,ships_nl,checked_at,notes
nox-at10-genius-18k-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gNer6T,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-vertex-04,NL_DIRECT,ret-amazon-nl,https://amzn.to/4x5gTvG,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
babolat-technical-viper-3-0,NL_DIRECT,ret-amazon-nl,https://amzn.to/46DB9d1,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
head-coello-pro-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/3UVVLuq,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
siux-diablo-pro-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/4x9f2WC,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
adidas-courtquick-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4x84kzW,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
head-padel-pro-s-balls,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/head-pro-s,5.79,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
wilson-padel-overgrip-pack,NL_DIRECT,ret-amazon-nl,https://amzn.to/3SzpKb2,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
wilson-bela-pro-v3,NL_DIRECT,ret-amazon-nl,https://amzn.to/3UOn2Pu,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
starvie-titania-kepler,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xHMQeA,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
adidas-metalbone-hrd-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/4ylsRm0,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
