product_slug,unique_before,unique_after,roles_added,source_urls,status,evidence
adidas-match-light-2026,1,6,PRODUCT_PROFILE;PRODUCT_TECHNOLOGY;PRODUCT_ANGLE;PRODUCT_DETAIL;PRODUCT_ANGLE,https://allforpadel.com/en/padel-rackets/7495-padel-racket-adidas-match-light-2026-8435739406076.html | https://allforpadel.com/9067-thickbox_default/padel-racket-adidas-match-light-2026.jpg | https://allforpadel.com/9068-thickbox_default/padel-racket-adidas-match-light-2026.jpg | https://allforpadel.com/9070-thickbox_default/padel-racket-adidas-match-light-2026.jpg | https://allforpadel.com/9071-thickbox_default/padel-racket-adidas-match-light-2026.jpg | https://allforpadel.com/9073-thickbox_default/padel-racket-adidas-match-light-2026.jpg,ENRICHED,adidas official store (allforpadel.com) exposes thickbox IDs 9067-9073. 5 unique packshots hash-deduped vs hero. Wired via PRODUCT_GALLERY_MEDIA prod-adidas-match-light.
bullpadel-frame-protector-uni,1,2,PRODUCT_REAR,https://www.padelnuestro.com/protector-bullpadel-frame-uni-820-494320-smu | vista1+vista2,ENRICHED,Identity fix: replaced X3 hero with Uni single packshot; reverse gallery added.
bullpadel-indiga-ctr-2026,1,6,PRODUCT_ANGLE;PRODUCT_PROFILE;PRODUCT_ANGLE;PRODUCT_DETAIL;PRODUCT_DETAIL,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22368-bullpadel-indiga-ctr-26-racket.html | https://www.extreme-tennis.eu/53610-zoom_default/bullpadel-indiga-ctr-26-racket.jpg | https://www.extreme-tennis.eu/53611-zoom_default/bullpadel-indiga-ctr-26-racket.jpg | https://www.extreme-tennis.eu/53612-zoom_default/bullpadel-indiga-ctr-26-racket.jpg | https://www.extreme-tennis.eu/53613-zoom_default/bullpadel-indiga-ctr-26-racket.jpg | https://www.extreme-tennis.eu/53614-zoom_default/bullpadel-indiga-ctr-26-racket.jpg,ENRICHED,Extreme Tennis authorized PDP lists 9 zoom assets for Indiga CTR 26; selected 5 hash-unique angles (skipped near-hero front 53609). Bullpadel.com blocked by Cloudflare. Wired via PRODUCT_GALLERY_MEDIA prod-bullpadel-indiga-ctr.
bullpadel-ionic-light-2026,1,6,PRODUCT_ANGLE;PRODUCT_PROFILE;PRODUCT_ANGLE;PRODUCT_DETAIL;PRODUCT_DETAIL,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22367-bullpadel-ionic-light-26-racket.html | https://www.extreme-tennis.eu/53664-zoom_default/bullpadel-ionic-light-26-racket.jpg | https://www.extreme-tennis.eu/53665-zoom_default/bullpadel-ionic-light-26-racket.jpg | https://www.extreme-tennis.eu/53666-zoom_default/bullpadel-ionic-light-26-racket.jpg | https://www.extreme-tennis.eu/53667-zoom_default/bullpadel-ionic-light-26-racket.jpg | https://www.extreme-tennis.eu/53668-zoom_default/bullpadel-ionic-light-26-racket.jpg | https://www.zonadepadel.com/bullpadel/13575-bullpadel-ionic-light-2026.html,ENRICHED,Extreme Tennis PDP schema lists 5 zoom assets; Zona de Padel lists IDs 28634-28636 but CDN returned Cloudflare HTML. Wired via PRODUCT_GALLERY_MEDIA prod-bullpadel-ionic-light.
bullpadel-neuron-02-2026,1,6,PRODUCT_ANGLE;PRODUCT_PROFILE;PRODUCT_ANGLE;PRODUCT_DETAIL;PRODUCT_DETAIL,https://padelusa.com/products/bullpadel-neuron-02-2026-padel-racket | https://cdn.shopify.com/s/files/1/0531/2013/9427/files/Bullpadel-Neuron_2_2026_Padel_Racket_PadelUSA_store_2.webp | https://cdn.shopify.com/s/files/1/0531/2013/9427/files/Bullpadel-Neuron_2_2026_Padel_Racket_PadelUSA_store_3.webp | https://cdn.shopify.com/s/files/1/0531/2013/9427/files/Bullpadel-Neuron_2_2026_Padel_Racket_PadelUSA_store_4.webp | https://cdn.shopify.com/s/files/1/0531/2013/9427/files/Bullpadel-Neuron_2_2026_Padel_Racket_PadelUSA_store_5.webp | https://cdn.shopify.com/s/files/1/0531/2013/9427/files/Bullpadel-Neuron_2_2026_Padel_Racket_PadelUSA_store_6.webp,ENRICHED,PadelUSA Shopify CDN store_1..6 exist; store_1 near-front skipped as hero-adjacent; store_2..6 saved. Wired via PRODUCT_GALLERY_MEDIA prod-bullpadel-neuron-02.
head-padel-pro-s-balls,1,3,PRODUCT_DETAIL;PRODUCT_PACKAGING,https://www.extreme-tennis.eu/head-padel-balls/19924-head-padel-pro-s-3-balls-can.html | https://www.extreme-tennis.eu/37045-zoom_default/head-padel-pro-s-3-balls-can.jpg | https://www.extreme-tennis.eu/37046-zoom_default/head-padel-pro-s-3-balls-can.jpg | https://www.padelmq.com/en-nl/products/head-pro-s | https://www.head.com/en_EU/padel-balls-pro-s.html,ENRICHED,Hero is Valencia P1 box; Extreme Tennis adds unique single-ball detail + pressurized tube packaging. HEAD.com rate-limited (429). Wired via PRODUCT_GALLERY_MEDIA prod-head-padel-pro-s.
joma-t-slam,1,3,PRODUCT_SIDE;PRODUCT_PAIR,https://www.zonadepadel.es/31820-large_default/zapatillas-joma-slam-men-2602-white-royal-2026.jpg | https://www.zonadepadel.es/31821-large_default/zapatillas-joma-slam-men-2602-white-royal-2026.jpg,ENRICHED,Zona de Padel Slam Men 2602 white/royal gallery; wired via PRODUCT_GALLERY_MEDIA prod-joma-t-slam.
kuikma-pr-comfort-soft,1,6,PRODUCT_ANGLE;PRODUCT_PROFILE;PRODUCT_DETAIL;PRODUCT_HEAD;PRODUCT_SIDE,https://en.decathlon.com.sa/products/padel-racket-pr-comfort-soft | coral IMG_8928692 CDN angles,ENRICHED,Overturned prior MEDIA_SOURCE_LIMITED — Decathlon SA multi-angle coral packshots wired via PRODUCT_GALLERY_MEDIA prod-kuikma-pr-comfort-soft.
nox-at10-team-paletero,1,6,PRODUCT_ANGLE;PRODUCT_DETAIL;PRODUCT_PROFILE;PRODUCT_ANGLE;PRODUCT_IN_USE,https://noxsport.com/en/products/paletero-at10-team-grey-black | https://www.onlytenis.com/en/paddle-bags-and-backpacks/11713-padel-bag-nox-at10-team-grey-black-8436603198127.html | https://www.onlytenis.com/35600-thickbox_default/padel-bag-nox-at10-team-grey-black.jpg | https://www.onlytenis.com/35601-thickbox_default/padel-bag-nox-at10-team-grey-black.jpg | https://www.onlytenis.com/35602-thickbox_default/padel-bag-nox-at10-team-grey-black.jpg | https://www.onlytenis.com/35603-thickbox_default/padel-bag-nox-at10-team-grey-black.jpg | https://www.onlytenis.com/35605-thickbox_default/padel-bag-nox-at10-team-grey-black.jpg,ENRICHED,NOX official page had single packshot; OnlyTenis authorized retailer exposes thickbox IDs 35600-35609 for grey/black. Selected 5 unique views including shoe-compartment in-use. Wired via PRODUCT_GALLERY_MEDIA prod-nox-at10-team-bag.
wilson-padel-overgrip-pack,1,2,PRODUCT_MATERIAL,https://au.wilson.com/products/pro-padel-overgrip | https://au.wilson.com/cdn/shop/files/WR8416301_0_PRO_OVERGRIP_PADEL_3PK_WH.png.cq5dam.web.1200.1200_1024x1024.jpg?v=1714971011 | https://au.wilson.com/cdn/shop/files/WR8416301_2_PRO_OVERGRIP_PADEL_3PK_WH.png.cq5dam.web.1200.1200_1024x1024.jpg?v=1714971011,ENRICHED,Wilson official AU store exposes only 2 packshots (_0 packaging ≈ existing hero; _2 unpackaged rolls unique). Wired via PRODUCT_GALLERY_MEDIA prod-wilson-overgrip.
