issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status
PADEL-00001,HIGH,http://127.0.0.1:3011/best/padel-shoes,/best/padel-shoes,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Best Padel…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00002,HIGH,http://127.0.0.1:3011/best/padel-shoes-comfort,/best/padel-shoes-comfort,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00003,HIGH,http://127.0.0.1:3011/best/padel-shoes-lightweight,/best/padel-shoes-lightweight,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00004,HIGH,http://127.0.0.1:3011/best/padel-shoes-men,/best/padel-shoes-men,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00005,HIGH,http://127.0.0.1:3011/best/padel-shoes-stability,/best/padel-shoes-stability,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00006,HIGH,http://127.0.0.1:3011/best/padel-shoes-value,/best/padel-shoes-value,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00007,HIGH,http://127.0.0.1:3011/best/padel-shoes-women,/best/padel-shoes-women,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00008,BLOCKER,http://127.0.0.1:3011/brands/bullpadel,/brands/bullpadel,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,OPEN
PADEL-00009,HIGH,http://127.0.0.1:3011/padel/shoes,/padel/shoes,category,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00010,BLOCKER,http://127.0.0.1:3011/products/4on-pro-t1,/products/4on-pro-t1,product,IMAGE_WRONG_BRAND,adidas-padel,"Pro T1 Padel Balls: Specs, Performance & Best Uses · Kitletics",/images/padel/products/head-padel-pro-s-hero.jpg,"Primary image path signals adidas-padel, expected 4on",OPEN
