"review_slug","product_slug","unique_section_media","generator_residue","decision_copy_valid","commerce_visible","status"
"bullpadel-vertex-05-2026","bullpadel-vertex-05-2026","4","CLEAN","OK","no","OK"
"bullpadel-hack-04-2026","bullpadel-hack-04-2026","4","CLEAN","OK","no","OK"
"bullpadel-vertex-05-hybrid-2026","bullpadel-vertex-05-hybrid-2026","4","CLEAN","OK","no","OK"
"bullpadel-indiga-ctr-2026","bullpadel-indiga-ctr-2026","1","CLEAN","OK","no","OK"
"nox-at10-genius-18k-2026","nox-at10-genius-18k-2026","0","CLEAN","OK","no","OK"
"nox-at10-genius-12k-alum-xtrem-2026","nox-at10-genius-12k-alum-xtrem-2026","4","CLEAN","OK","no","OK"
"nox-ml10-pro-cup","nox-ml10-pro-cup","0","CLEAN","OK","no","OK"
"adidas-metalbone-3-5-2026","adidas-metalbone-3-5-2026","0","CLEAN","OK","no","OK"
"head-coello-pro-2026","head-coello-pro-2026","4","CLEAN","OK","no","OK"
"head-gravity-pro","head-gravity-pro","0","CLEAN","OK","no","OK"
"babolat-technical-viper-3-0","babolat-technical-viper-3-0","3","CLEAN","OK","no","OK"
"kuikma-pr-comfort-soft","kuikma-pr-comfort-soft","0","CLEAN","OK","no","OK"
"asics-gel-resolution-padel","asics-gel-resolution-padel","0","CLEAN","OK","no","OK"
"adidas-crazyquick-boost-padel","adidas-crazyquick-boost-padel","0","CLEAN","OK","no","OK"
"adidas-courtquick-padel","adidas-courtquick-padel","0","CLEAN","OK","no","OK"
"joma-t-slam","joma-t-slam","0","CLEAN","OK","no","OK"
"babolat-jet-premura","babolat-jet-premura","0","CLEAN","OK","no","OK"
"nox-at10-lux","nox-at10-lux","0","CLEAN","OK","no","OK"
"head-sprint-pro-4-padel","head-sprint-pro-4-padel","0","CLEAN","OK","no","OK"
"kuikma-ps-990","kuikma-ps-990","0","CLEAN","OK","no","OK"
"wilson-padel-overgrip-pack","wilson-padel-overgrip-pack","0","CLEAN","OK","no","OK"
"hesacore-padel-grip","hesacore-padel-grip","0","CLEAN","OK","no","OK"
"bullpadel-hac-overgrip","bullpadel-hac-overgrip","0","CLEAN","OK","no","OK"
"head-padel-pro-s","head-padel-pro-s-balls","0","CLEAN","OK","no","OK"
"nox-at10-team-bag","nox-at10-team-paletero","0","CLEAN","OK","no","OK"
"bullpadel-pascal-box-3b","bullpadel-pascal-box-3b","0","CLEAN","OK","no","OK"
