product,registeredGallery,verifiedExtras,result
bullpadel-vertex-04,5,5,OK
babolat-technical-viper-3-0,3,3,OK
head-coello-pro-2026,5,5,OK
head-padel-pro-s-balls,2,2,OK
wilson-padel-overgrip-pack,1,1,OK
wilson-bela-pro-v3,3,3,OK
adidas-metalbone-hrd-2026,3,3,OK
babolat-counter-viper,3,3,OK
bullpadel-vertex-05-2026,5,5,OK
bullpadel-hack-04-2026,5,5,OK
nox-at10-genius-12k-alum-xtrem-2026,5,5,OK
joma-t-slam,2,2,OK
bullpadel-vertex-05-hybrid-2026,5,5,OK
bullpadel-neuron-02-2026,5,5,OK
bullpadel-ionic-light-2026,5,5,OK
bullpadel-indiga-ctr-2026,5,5,OK
adidas-match-light-2026,5,5,OK
head-coello-motion-2026,4,4,OK
kuikma-pr-comfort-soft,5,5,OK
nox-at10-team-paletero,5,5,OK
bullpadel-frame-protector-uni,1,1,OK
