slug,before_hero,after_hero,hubImageSrc,changed,collision_before,collision_after
"padel-rackets","/images/padel/hero.jpg","/images/padel/products/bullpadel-vertex-05-hero.png","/images/padel/products/bullpadel-vertex-05-hero.png","yes","yes","no"
"padel-rackets-beginners","/images/padel/products/bullpadel-indiga-ctr-hero.jpg","/images/padel/products/bullpadel-indiga-ctr-hero.jpg","/images/padel/products/bullpadel-indiga-ctr-hero.jpg","no","no","no"
"padel-rackets-intermediate","/images/padel/products/bullpadel-ionic-light-hero.jpg","/images/padel/products/bullpadel-ionic-light-hero.jpg","/images/padel/products/bullpadel-ionic-light-hero.jpg","no","no","no"
"padel-rackets-advanced","/images/padel/products/bullpadel-vertex-05-hero.png","/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg","/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg","yes","no","no"
"padel-rackets-control","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","no","no","no"
"padel-rackets-power","/images/padel/products/bullpadel-hack-04-hero.png","/images/padel/products/bullpadel-hack-04-hero.png","/images/padel/products/bullpadel-hack-04-hero.png","no","no","no"
"padel-rackets-all-round","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","no","no","no"
"padel-rackets-lightweight","/images/padel/products/head-one-ultralight-hero.jpg","/images/padel/products/head-one-ultralight-hero.jpg","/images/padel/products/head-one-ultralight-hero.jpg","no","no","no"
"padel-rackets-comfort","/images/padel/products/kuikma-pr-comfort-soft-hero.jpg","/images/padel/products/kuikma-pr-comfort-soft-hero.jpg","/images/padel/products/kuikma-pr-comfort-soft-hero.jpg","no","no","no"
"padel-rackets-maneuverability","/images/padel/products/babolat-air-viper-hero.jpg","/images/padel/products/babolat-air-viper-hero.jpg","/images/padel/products/babolat-air-viper-hero.jpg","no","no","no"
"padel-rackets-women","/images/padel/products/bullpadel-vertex-05-w-hero.jpg","/images/padel/products/bullpadel-vertex-05-w-hero.jpg","/images/padel/products/bullpadel-vertex-05-w-hero.jpg","no","no","no"
"padel-rackets-value","/images/padel/hero.jpg","/images/padel/products/kuikma-pr-hybrid-carbon-hero.jpg","/images/padel/products/kuikma-pr-hybrid-carbon-hero.jpg","yes","yes","no"
"padel-shoes","/images/padel/guides/choose-shoes.jpg","/images/padel/products/asics-gel-resolution-padel-hero.jpg","/images/padel/products/asics-gel-resolution-padel-hero.jpg","yes","yes","no"
"padel-shoes-men","/images/padel/products/adidas-courtquick-padel-hero.jpg","/images/padel/products/adidas-courtquick-padel-hero.jpg","/images/padel/products/adidas-courtquick-padel-hero.jpg","no","no","no"
"padel-shoes-women","/images/padel/products/adidas-courtquick-padel-women-hero.jpg","/images/padel/products/adidas-courtquick-padel-women-hero.jpg","/images/padel/products/adidas-courtquick-padel-women-hero.jpg","no","no","no"
