guide,UNIQUE_EDITORIAL_MEDIA,UNIQUE_PRODUCT_CARD_MEDIA,REPEATED_EDITORIAL_MEDIA,REPEATED_PRODUCT_CARD_MEDIA,result
how-to-choose-a-padel-racket,1,4,0,0,OK
padel-racket-shapes-explained,1,4,0,0,OK
round-vs-teardrop-vs-diamond-padel-rackets,1,3,0,0,OK
padel-racket-balance-explained,1,4,0,0,OK
padel-racket-weight-explained,1,4,0,0,OK
padel-racket-materials-explained,1,4,0,0,OK
carbon-vs-fiberglass-padel-rackets,1,4,0,0,OK
padel-racket-cores-eva-foam-explained,1,4,0,0,OK
soft-vs-hard-padel-rackets,1,4,0,0,OK
how-padel-racket-sweet-spots-work,1,4,0,0,OK
how-to-choose-padel-shoes,1,4,0,0,OK
padel-vs-tennis-shoes,1,4,0,0,OK
padel-shoe-outsoles-explained,1,4,0,0,OK
how-long-do-padel-balls-last,1,4,0,0,OK
how-to-choose-padel-balls,1,4,0,0,OK
how-to-choose-a-padel-bag,1,2,0,0,OK
padel-grips-overgrips-explained,1,2,0,0,OK
padel-grip-vs-overgrip,1,2,0,0,OK
how-often-should-you-replace-a-padel-overgrip,1,2,0,0,OK
beginner-padel-gear-guide,1,4,0,0,OK
complete-padel-gear-checklist,1,4,0,0,OK
