kind,id,slug,vertical,wordCount,sectionCount,recommendationCount,recommendationImages,descriptionClass,hasMethodology,readiness
best,best-padel-rackets,padel-rackets,padel,168,0,7,7,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-beginners,padel-rackets-beginners,padel,72,0,4,4,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-intermediate,padel-rackets-intermediate,padel,101,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-advanced,padel-rackets-advanced,padel,112,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-control,padel-rackets-control,padel,98,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-power,padel-rackets-power,padel,90,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-all-round,padel-rackets-all-round,padel,96,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-lightweight,padel-rackets-lightweight,padel,91,0,4,4,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-comfort,padel-rackets-comfort,padel,87,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-maneuverability,padel-rackets-maneuverability,padel,89,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-women,padel-rackets-women,padel,48,0,2,2,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-rackets-value,padel-rackets-value,padel,121,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes,padel-shoes,padel,124,0,6,6,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes-men,padel-shoes-men,padel,87,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes-women,padel-shoes-women,padel,120,0,6,6,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes-stability,padel-shoes-stability,padel,64,0,4,4,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes-comfort,padel-shoes-comfort,padel,56,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes-lightweight,padel-shoes-lightweight,padel,55,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-shoes-value,padel-shoes-value,padel,55,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-balls,padel-balls,padel,90,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-competition-balls,padel-competition-balls,padel,88,0,5,5,GOOD,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-training-balls,padel-training-balls,padel,50,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-fast-balls,padel-fast-balls,padel,60,0,4,4,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-value-balls,padel-value-balls,padel,44,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-overgrips,padel-overgrips,padel,36,0,2,2,THIN,false,CONTENT_BLOCKED
best,best-padel-overgrips-sweaty,padel-overgrips-sweaty-hands,padel,38,0,2,2,THIN,false,CONTENT_BLOCKED
best,best-padel-tacky-overgrips,padel-tacky-overgrips,padel,58,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
best,best-padel-dry-feel-overgrips,padel-dry-feel-overgrips,padel,26,0,2,2,THIN,false,CONTENT_BLOCKED
best,best-padel-value-overgrips,padel-value-overgrips-multipacks,padel,54,0,3,3,UNHELPFUL,false,FUNCTIONALLY_READY_BUT_THIN
