productId,category,brandId,brand,model,generation,variant,identityKey,lifecycleStatus,publicationStatus,currentHero,currentHeroSource,status,candidateSource,candidateImage,identityConfidence,semanticChecks,hasOffer,notes
prod-head-padel-pro-s,balls,brand-head-padel,head,Padel Pro S+,current (+),speed/fast,padel|balls|head|padel-pro-s|current|speed-fast,current,published,/images/padel/products/head-padel-pro-s-hero.jpg,scraped CDN,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-wilson-overgrip,grips,brand-wilson-padel,wilson,Pro Padel Overgrip,current,white; 3-pack standard (also 12/30/60 club packs — do not separate SKUs),padel|grips|wilson|pro-padel-overgrip|current|white-3-pack-standard-also-12-30-60-club-packs-do-not-separate-skus,current,published,/images/padel/products/wilson-padel-overgrip-hero.jpg,scraped CDN,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-nox-bag-10,bags,brand-nox,nox,Thermo Bag 10,unclear,,padel|bags|nox|thermo-bag-10|unclear,current,draft,,,MEDIA_MISSING,,,0,,yes,REJECTED_WRONG_PRODUCT — triage download failed visual identity check; hero revoked. Needs manufacturer PDP packshot. Research hints: https://noxsport.com/en/collections/bags | https://noxsport.com/en/collections/bags
prod-head-padel-pro-plus,balls,brand-head-padel,head,Padel Pro+,current (+),standard/control,padel|balls|head|padel-pro|current|standard-control,current,published,/images/padel/products/head-padel-pro-plus-hero.jpg,PadeLMQ HEAD Pro+ 3-ball tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-head-padel-team,balls,brand-head-padel,head,Padel Team,current,training/club,padel|balls|head|padel-team|current|training-club,current,published,/images/padel/products/head-padel-team-hero.jpg,Padel Market HEAD Team 3-tube pack,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-head-padel-one,balls,brand-head-padel,head,Padel One,current,intermediate,padel|balls|head|padel-one|current|intermediate,current,published,/images/padel/products/head-padel-one-hero.jpg,Padel Market HEAD Padel One,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-kuikma-pb-speed,balls,brand-kuikma,kuikma,Padel Speed,current,speed,padel|balls|kuikma|padel-speed|current|speed,current,published,/images/padel/products/kuikma-pb-speed-hero.jpg,Decathlon Kuikma Padel Speed can,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-kuikma-pb-control,balls,brand-kuikma,kuikma,PB Control,current,control,padel|balls|kuikma|pb-control|current|control,current,published,/images/padel/products/kuikma-pb-control-hero.jpg,Decathlon Kuikma PB Control,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-kuikma-pb-club,balls,brand-kuikma,kuikma,PB Club,current,club/training,padel|balls|kuikma|pb-club|current|club-training,current,published,/images/padel/balls/kuikma-pb-club-hero.jpg,og:image · kuikma PB Club,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-wilson-padel-premier,balls,brand-wilson-padel,wilson,Padel Premier,current,,padel|balls|wilson|padel-premier|current,current,published,/images/padel/products/wilson-padel-premier-hero.jpg,PadeLMQ Wilson Premier padel tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-wilson-padel-premier-speed,balls,brand-wilson-padel,wilson,Premier Padel Speed,current,speed,padel|balls|wilson|premier-padel-speed|current|speed,current,published,/images/padel/products/wilson-padel-premier-speed-hero.jpg,PadeLMQ Wilson Premier Padel Speed tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-bullpadel-premium-pro,balls,brand-bullpadel,bullpadel,Premium Pro,current,all-round/premium,padel|balls|bullpadel|premium-pro|current|all-round-premium,current,published,/images/padel/products/bullpadel-premium-pro-hero.jpg,PadeLMQ Bullpadel Premium Pro tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-bullpadel-premium-gold,balls,brand-bullpadel,bullpadel,Premium Gold,previous,speed,padel|balls|bullpadel|premium-gold|previous|speed,discontinued,draft,,,MEDIA_BLOCKED,,,0,,no,Lifecycle discontinued — media acquisition deferred; not CURRENT market target.
prod-adidas-aditour-padel,balls,brand-adidas-padel,adidas,Aditour,discontinued,,padel|balls|adidas|aditour|discontinued,discontinued,draft,,,MEDIA_BLOCKED,,,0,,no,Lifecycle discontinued — media acquisition deferred; not CURRENT market target.
prod-adidas-speed-rx,balls,brand-adidas-padel,adidas,Speed RX,current,speed,padel|balls|adidas|speed-rx|current|speed,current,published,/images/padel/products/adidas-speed-rx-padel-balls-hero.jpg,PadeLMQ Adidas Speed RX tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-babolat-court-padel-balls,balls,brand-babolat-padel,babolat,Court Padel,current,,padel|balls|babolat|court-padel|current,current,published,/images/padel/products/babolat-court-padel-balls-hero.jpg,PadeLMQ Babolat Court Padel tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-dunlop-pro-padel,balls,brand-dunlop-padel,dunlop,Fort Padel,current,,padel|balls|dunlop|fort-padel|current,current,published,/images/padel/products/dunlop-pro-padel-hero.jpg,Zona de Padel Dunlop Fort Padel,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-tecnifibre-padel-team,balls,brand-tecnifibre-padel,tecnifibre,Padel Team,current,training,padel|balls|tecnifibre|padel-team|current|training,current,published,/images/padel/products/tecnifibre-padel-team-balls-hero.jpg,PadeLMQ Tecnifibre Padel Team tube,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-nox-at10-team-bag,bags,brand-nox,nox,AT10 Team Paletero,current,,padel|bags|nox|at10-team-paletero|current,current,published,/images/padel/products/nox-at10-team-paletero-hero.jpg,NOX AT10 TEAM GREY/BLACK paletero,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-babolat-rh-pro-padel,bags,brand-babolat-padel,babolat,RH Pro Padel,current,,padel|bags|babolat|rh-pro-padel|current,current,published,/images/padel/products/babolat-rh-pro-padel-hero.jpg,Babolat RH Pro Padel bag,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-bullpadel-vertex-backpack,bags,brand-bullpadel,bullpadel,Vertex Geo Backpack,2025,,padel|bags|bullpadel|vertex-geo-backpack|2025,current,published,/images/padel/products/bullpadel-vertex-geo-backpack-hero.jpg,PadeLMQ Bullpadel Vertex Geo backpack 2026,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-tecnifibre-tour-endurance-backpack,bags,brand-tecnifibre-padel,tecnifibre,Tour Endurance Backpack,current,,padel|bags|tecnifibre|tour-endurance-backpack|current,current,published,/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg,PadeLMQ Tecnifibre Tour Endurance backpack khaki,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-babolat-court-backpack,bags,brand-babolat-padel,babolat,Court S,current,colorways collapsed (incl. Hero),padel|bags|babolat|court-s|current|colorways-collapsed-incl-hero,current,published,/images/padel/products/babolat-court-backpack-hero.jpg,Babolat Court S padel bag (Court line),MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-adidas-protour-padel,bags,brand-adidas-padel,adidas,ProTour 3.5,2026 / 3.5,colorways collapsed (Blue/Bronze; Pink; Black etc),padel|bags|adidas|protour-3-5|2026-3-5|colorways-collapsed-blue-bronze-pink-black-etc,current,published,/images/padel/products/adidas-protour-padel-bag-hero.jpg,PadeLMQ Adidas ProTour 3.5 padel bag 2026,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-head-tour-team-padel,bags,brand-head-padel,head,Tour Team Padel,current,,padel|bags|head|tour-team-padel|current,current,published,/images/padel/bags/head-tour-team-padel-hero.jpg,padelmq-suggest · head Tour Team Padel,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-head-elite-backpack,bags,brand-head-padel,head,Elite Backpack,current,,padel|bags|head|elite-backpack|current,current,published,/images/padel/products/head-elite-padel-backpack-hero.jpg,Tennis-Point HEAD Tour Team Elite Backpack,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-wilson-super-tour-padel,bags,brand-wilson-padel,wilson,Bela Super Tour,2025,colorways collapsed (Black; White),padel|bags|wilson|bela-super-tour|2025|colorways-collapsed-black-white,current,published,/images/padel/products/wilson-super-tour-padel-bag-hero.jpg,PadeLMQ Wilson Bela Super Tour padel bag,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-kuikma-paletero,bags,brand-kuikma,kuikma,Kuikma Paletero,current,,padel|bags|kuikma|kuikma-paletero|current,current,published,/images/padel/bags/kuikma-paletero-hero.jpg,padelmq-suggest · kuikma Kuikma Paletero,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-nox-pro-series-bag,bags,brand-nox,nox,Pro Series Bag,current,,padel|bags|nox|pro-series-bag|current,current,draft,,,MEDIA_MISSING,,https://padelmarket.com/cdn/shop/collections/BOLSAS-MARCAS-NOX.png?v=1782894650,24,,no,REJECTED — low_score_24_logo_or_junk. No authentic registered hero; stays draft via media publish gate. Research hints: https://noxsport.com/en/collections/paleteros-padel | https://padelmarket.com/en/collections/bags-nox
prod-nox-at10-xxl-bag,bags,brand-nox,nox,AT10 XXL,2024-2025,colorways collapsed (Black/Red; Black/Orange),padel|bags|nox|at10-xxl|2024-2025|colorways-collapsed-black-red-black-orange,current,published,/images/padel/products/nox-at10-xxl-padel-bag-hero.jpg,PadeLMQ Nox AT10 XXL padel bag,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,yes,Hero registered in catalog/soft-goods media registry.
prod-siux-paletero,bags,brand-siux,siux,Siux Paletero,current,,padel|bags|siux|siux-paletero|current,current,published,/images/padel/bags/siux-paletero-hero.jpg,padelmq-suggest · siux Siux Paletero,MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
prod-bullpadel-gb1200,grips,brand-bullpadel,bullpadel,HaC,current,,padel|grips|bullpadel|hac|current,current,published,/images/padel/products/bullpadel-hac-overgrip-hero.jpg,Bullpadel HaC Comfort overgrip 3-pack (Zona de Padel),MEDIA_VERIFIED,,,95,registered_hero;padel_namespace;authentic_gate,no,Hero registered in catalog/soft-goods media registry.
