productId,slug,category,brand,status,heroSrc,sourceUrl,identityVerified,identityReasons,primaryResolves,primarySrc,action
prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,rackets,nox,published,/images/padel/products/nox-at10-genius-18k-2026-hero.jpg,https://noxsport.com/en/products/pala-at10-genius-18k-alum-2026-by-agustin-tapia,yes,,yes,/images/padel/products/nox-at10-genius-18k-2026-hero.jpg,KEEP
prod-bullpadel-vertex-04,bullpadel-vertex-04,rackets,bullpadel,published,/images/padel/products/bullpadel-vertex-04-hero.png,https://padelusa.com/products/bullpadel-vertex-04-2025-juan-tello-padel-racket,yes,,yes,/images/padel/products/bullpadel-vertex-04-hero.png,KEEP
prod-babolat-technical-viper,babolat-technical-viper-3-0,rackets,babolat,published,/images/padel/products/babolat-technical-viper-hero.png,https://padelusa.com/products/babolat-technical-viper-3-0-padel-racket?variant=46771757383843&_pos=1&_sid=cf28e5b12&_ss=r,yes,,yes,/images/padel/products/babolat-technical-viper-hero.png,KEEP
prod-head-coello-pro,head-coello-pro-2026,rackets,head,published,/images/padel/products/head-coello-pro-2026-hero.png,https://www.paddlepro.com/,yes,,yes,/images/padel/products/head-coello-pro-2026-hero.png,KEEP
prod-siux-diablo,siux-diablo-pro-2026,rackets,siux,published,/images/padel/products/siux-diablo-hero.png,https://siuxusa.com/products/diablo-pro-2026-night-blue,yes,,yes,/images/padel/products/siux-diablo-hero.png,KEEP
prod-adidas-courtstabil,adidas-courtstabil-padel,shoes,adidas-padel,draft,/images/padel/products/shoes.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-head-padel-pro-s,head-padel-pro-s-balls,balls,head,published,/images/padel/products/head-padel-pro-s-hero.jpg,https://www.zonadepadel.es/head-padel/15548-bipack-head-padel-pro-s-valencia.html,yes,,yes,/images/padel/products/head-padel-pro-s-hero.jpg,KEEP
prod-wilson-overgrip,wilson-padel-overgrip-pack,grips,wilson,published,/images/padel/products/wilson-padel-overgrip-hero.jpg,https://www.zonadepadel.es/wilson-padel/8056-overgrip-wilson-pro-padel-3pk-blanco.html,yes,,yes,/images/padel/products/wilson-padel-overgrip-hero.jpg,KEEP
prod-nox-bag-10,nox-thermo-bag-10,bags,nox,draft,/images/padel/products/bag.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-wilson-bela-pro,wilson-bela-pro-v3,rackets,wilson,published,/images/padel/products/wilson-bela-pro-hero.png,https://padelusa.com/products/wilson-bela-pro-v3-padel-racket?variant=45923259515043&_pos=1&_sid=2afcc8216&_ss=r,yes,,yes,/images/padel/products/wilson-bela-pro-hero.png,KEEP
