productId,slug,category,brand,status,revokedWrongMedia,priorHeroSrc,priorSourceUrl,identityReasons,researchPriority,sourcePriority
"prod-nox-bag-10","nox-thermo-bag-10","bags","nox","draft","no","/images/padel/products/bag.svg","","not_authentic_photograph","P1_REGISTER_EXACT","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-bullpadel-premium-gold","bullpadel-premium-gold","balls","bullpadel","draft","no","/images/padel/products/balls.svg","","not_authentic_photograph","P1_REGISTER_EXACT","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-adidas-aditour-padel","adidas-aditour-padel-balls","balls","adidas-padel","draft","no","/images/padel/products/balls.svg","","not_authentic_photograph","P1_REGISTER_EXACT","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-kuikma-paletero","kuikma-padel-paletero","bags","kuikma","draft","yes","/images/padel/products/bag.svg","","not_authentic_photograph","P0_EXACT_MANUFACTURER","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-nox-pro-series-bag","nox-pro-series-padel-bag","bags","nox","draft","no","/images/padel/products/bag.svg","","not_authentic_photograph","P1_REGISTER_EXACT","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-siux-paletero","siux-padel-paletero","bags","siux","draft","yes","/images/padel/products/bag.svg","","not_authentic_photograph","P0_EXACT_MANUFACTURER","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-head-hydrosorb","head-hydrosorb-replacement-grip","grips","head","draft","yes","/images/padel/products/grips.svg","","not_authentic_photograph","P0_EXACT_MANUFACTURER","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-head-wristband","head-padel-wristband","accessories","head","draft","yes","/images/catalog/fallbacks/accessory.svg","","not_authentic_photograph","P0_EXACT_MANUFACTURER","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-wilson-wristband","wilson-padel-wristband","accessories","wilson","draft","yes","/images/catalog/fallbacks/accessory.svg","","not_authentic_photograph","P0_EXACT_MANUFACTURER","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
"prod-nox-wristband","nox-padel-wristband","accessories","nox","draft","yes","/images/catalog/fallbacks/accessory.svg","","not_authentic_photograph","P0_EXACT_MANUFACTURER","1_official_manufacturer|2_official_distributor|3_specialist_retailer|4_major_retailer"
