productId,url,status,indexable,expectedBrand,expectedCategory,heroSrc,mediaIdentity,semanticResult,alternativesHero
"prod-nox-at10-18k-2026","/products/nox-at10-genius-18k-2026","published","yes","nox","rackets","/images/padel/products/nox-at10-genius-18k-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-bullpadel-vertex-04","/products/bullpadel-vertex-04","published","yes","bullpadel","rackets","/images/padel/products/bullpadel-vertex-04-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-babolat-technical-viper","/products/babolat-technical-viper-3-0","published","yes","babolat","rackets","/images/padel/products/babolat-technical-viper-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-head-coello-pro","/products/head-coello-pro-2026","published","yes","head","rackets","/images/padel/products/head-coello-pro-2026-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-siux-diablo","/products/siux-diablo-pro-2026","published","yes","siux","rackets","/images/padel/products/siux-diablo-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-head-padel-pro-s","/products/head-padel-pro-s-balls","published","yes","head","balls","/images/padel/products/head-padel-pro-s-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-wilson-overgrip","/products/wilson-padel-overgrip-pack","published","yes","wilson","grips","/images/padel/products/wilson-padel-overgrip-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-wilson-bela-pro","/products/wilson-bela-pro-v3","published","yes","wilson","rackets","/images/padel/products/wilson-bela-pro-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-starvie-titania-kepler","/products/starvie-titania-kepler","published","yes","starvie","rackets","/images/padel/products/starvie-titania-kepler-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-adidas-metalbone-hrd","/products/adidas-metalbone-hrd-2026","published","yes","adidas-padel","rackets","/images/padel/products/adidas-metalbone-hrd-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-varlion-lw-carbon-difusor","/products/varlion-lw-carbon-difusor","published","yes","varlion","rackets","/images/padel/products/varlion-lw-carbon-difusor-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-nox-ml10-pro-cup","/products/nox-ml10-pro-cup","published","yes","nox","rackets","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-bullpadel-hack-03","/products/bullpadel-hack-03","published","yes","bullpadel","rackets","/images/padel/products/bullpadel-hack-03-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-babolat-counter-viper","/products/babolat-counter-viper","published","yes","babolat","rackets","/images/padel/products/babolat-counter-viper-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-head-extreme-pro-padel","/products/head-extreme-pro-padel","published","yes","head","rackets","/images/padel/products/head-extreme-pro-padel-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-wilson-blade-pro-padel","/products/wilson-blade-pro-v3-padel","published","yes","wilson","rackets","/images/padel/products/wilson-blade-pro-padel-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-starvie-basalto-osiris","/products/starvie-basalto-osiris","published","yes","starvie","rackets","/images/padel/products/starvie-basalto-osiris-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-bullpadel-vertex-05","/products/bullpadel-vertex-05-2026","published","yes","bullpadel","rackets","/images/padel/products/bullpadel-vertex-05-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-bullpadel-hack-04","/products/bullpadel-hack-04-2026","published","yes","bullpadel","rackets","/images/padel/products/bullpadel-hack-04-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-nox-at10-12k-2026","/products/nox-at10-genius-12k-alum-xtrem-2026","published","yes","nox","rackets","/images/padel/products/nox-at10-genius-12k-alum-xtrem-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-adidas-metalbone-3-3-2026","/products/adidas-metalbone-3-3","published","yes","adidas-padel","rackets","/images/padel/products/adidas-metalbone-3-3-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-head-extreme-motion-2026","/products/head-extreme-motion","published","yes","head","rackets","/images/padel/products/head-extreme-motion-2026-hero.png","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-tecnifibre-wall-breaker-365-2026","/products/tecnifibre-wall-breaker-365","published","yes","tecnifibre-padel","rackets","/images/padel/products/tecnifibre-wall-breaker-365-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-oxdog-sense-pro-2026","/products/oxdog-sense-pro","published","yes","oxdog","rackets","/images/padel/products/oxdog-sense-pro-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-lok-maxx-flow","/products/lok-maxx-flow","published","yes","lok","rackets","/images/padel/products/lok-maxx-flow-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-asics-gel-resolution-padel","/products/asics-gel-resolution-padel","published","yes","asics","shoes","/images/padel/products/asics-gel-resolution-padel-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-asics-gel-challenger-court","/products/asics-gel-challenger-court","published","yes","asics","shoes","/images/padel/products/asics-gel-challenger-court-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-babolat-jet-premura","/products/babolat-jet-premura","published","yes","babolat","shoes","/images/padel/products/babolat-jet-premura-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-head-revolt-pro-court","/products/head-revolt-pro-court","published","yes","head","shoes","/images/padel/products/head-revolt-pro-court-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-kuikma-ps-990","/products/kuikma-ps-990","published","yes","kuikma","shoes","/images/padel/products/kuikma-ps-990-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-nox-at10-attack-18k-2026","/products/nox-at10-genius-attack-18k-2026","published","yes","nox","rackets","/images/padel/products/nox-at10-genius-attack-18k-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-nox-equation-soft-2026","/products/nox-equation-soft-advanced-2026","published","yes","nox","rackets","/images/padel/products/nox-equation-soft-advanced-2026-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-bullpadel-vertex-05-hybrid","/products/bullpadel-vertex-05-hybrid-2026","published","yes","bullpadel","rackets","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
"prod-bullpadel-vertex-05-w","/products/bullpadel-vertex-05-w-2026","published","yes","bullpadel","rackets","/images/padel/products/bullpadel-vertex-05-w-hero.jpg","MEDIA_VERIFIED","OK","/images/padel/hero.jpg"
