"surface","slug","asset","role","used_in","duplicate_within_surface"
"pdp","nox-at10-genius-18k-2026","/images/padel/products/nox-at10-genius-18k-2026-hero.jpg","hero","gallery","no"
"pdp","bullpadel-vertex-04","/images/padel/products/bullpadel-vertex-04-hero.png","hero","gallery","no"
"pdp","bullpadel-vertex-04","/images/padel/products/bullpadel-vertex-04/gallery/bullpadel-vertex-04-angle.webp","side","gallery","no"
"pdp","bullpadel-vertex-04","/images/padel/products/bullpadel-vertex-04/gallery/bullpadel-vertex-04-profile.webp","rear","gallery","no"
"pdp","bullpadel-vertex-04","/images/padel/products/bullpadel-vertex-04/gallery/bullpadel-vertex-04-head.webp","top","gallery","no"
"pdp","bullpadel-vertex-04","/images/padel/products/bullpadel-vertex-04/gallery/bullpadel-vertex-04-texture.webp","detail","gallery","no"
"pdp","bullpadel-vertex-04","/images/padel/products/bullpadel-vertex-04/gallery/bullpadel-vertex-04-throat.webp","other","gallery","no"
"pdp","babolat-technical-viper-3-0","/images/padel/products/babolat-technical-viper-hero.png","hero","gallery","no"
"pdp","babolat-technical-viper-3-0","/images/padel/products/babolat-technical-viper/gallery/babolat-technical-viper-angle.webp","side","gallery","no"
"pdp","babolat-technical-viper-3-0","/images/padel/products/babolat-technical-viper/gallery/babolat-technical-viper-profile.webp","rear","gallery","no"
"pdp","babolat-technical-viper-3-0","/images/padel/products/babolat-technical-viper/gallery/babolat-technical-viper-head.webp","top","gallery","no"
"pdp","head-coello-pro-2026","/images/padel/products/head-coello-pro-2026-hero.png","hero","gallery","no"
"pdp","head-coello-pro-2026","/images/padel/products/head-coello-pro/gallery/head-coello-pro-angle.webp","side","gallery","no"
"pdp","head-coello-pro-2026","/images/padel/products/head-coello-pro/gallery/head-coello-pro-profile.webp","rear","gallery","no"
"pdp","head-coello-pro-2026","/images/padel/products/head-coello-pro/gallery/head-coello-pro-head.webp","top","gallery","no"
"pdp","head-coello-pro-2026","/images/padel/products/head-coello-pro/gallery/head-coello-pro-texture.webp","detail","gallery","no"
"pdp","head-coello-pro-2026","/images/padel/products/head-coello-pro/gallery/head-coello-pro-throat.webp","other","gallery","no"
"pdp","siux-diablo-pro-2026","/images/padel/products/siux-diablo-hero.png","hero","gallery","no"
"pdp","adidas-courtquick-padel","/images/padel/products/adidas-courtquick-padel-hero.jpg","hero","gallery","no"
"pdp","head-padel-pro-s-balls","/images/padel/products/head-padel-pro-s-hero.jpg","hero","gallery","no"
"pdp","wilson-padel-overgrip-pack","/images/padel/products/wilson-padel-overgrip-hero.jpg","hero","gallery","no"
"pdp","wilson-bela-pro-v3","/images/padel/products/wilson-bela-pro-hero.png","hero","gallery","no"
"pdp","wilson-bela-pro-v3","/images/padel/products/wilson-bela-pro-v3/gallery/wilson-bela-pro-v3-angle.webp","side","gallery","no"
"pdp","wilson-bela-pro-v3","/images/padel/products/wilson-bela-pro-v3/gallery/wilson-bela-pro-v3-profile.webp","rear","gallery","no"
"pdp","wilson-bela-pro-v3","/images/padel/products/wilson-bela-pro-v3/gallery/wilson-bela-pro-v3-head.webp","top","gallery","no"
"pdp","starvie-titania-kepler","/images/padel/products/starvie-titania-kepler-hero.jpg","hero","gallery","no"
"pdp","adidas-metalbone-hrd-2026","/images/padel/products/adidas-metalbone-hrd-hero.png","hero","gallery","no"
"pdp","adidas-metalbone-hrd-2026","/images/padel/products/adidas-metalbone-hrd/gallery/adidas-metalbone-hrd-angle.webp","side","gallery","no"
"pdp","adidas-metalbone-hrd-2026","/images/padel/products/adidas-metalbone-hrd/gallery/adidas-metalbone-hrd-profile.webp","rear","gallery","no"
"pdp","adidas-metalbone-hrd-2026","/images/padel/products/adidas-metalbone-hrd/gallery/adidas-metalbone-hrd-head.webp","top","gallery","no"
"pdp","varlion-lw-carbon-difusor","/images/padel/products/varlion-lw-carbon-difusor-2026-hero.jpg","hero","gallery","no"
"pdp","nox-ml10-pro-cup","/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg","hero","gallery","no"
"pdp","bullpadel-hack-03","/images/padel/products/bullpadel-hack-03-hero.jpg","hero","gallery","no"
"pdp","babolat-counter-viper","/images/padel/products/babolat-counter-viper-hero.png","hero","gallery","no"
"pdp","babolat-counter-viper","/images/padel/products/babolat-counter-viper/gallery/babolat-counter-viper-angle.webp","side","gallery","no"
"pdp","babolat-counter-viper","/images/padel/products/babolat-counter-viper/gallery/babolat-counter-viper-profile.webp","rear","gallery","no"
"pdp","babolat-counter-viper","/images/padel/products/babolat-counter-viper/gallery/babolat-counter-viper-head.webp","top","gallery","no"
"pdp","head-extreme-pro-padel","/images/padel/products/head-extreme-pro-padel-hero.png","hero","gallery","no"
"pdp","wilson-blade-pro-v3-padel","/images/padel/products/wilson-blade-pro-padel-hero.png","hero","gallery","no"
"pdp","starvie-basalto-osiris","/images/padel/products/starvie-basalto-osiris-2026-hero.jpg","hero","gallery","no"
"pdp","bullpadel-vertex-05-2026","/images/padel/products/bullpadel-vertex-05-hero.png","hero","gallery","no"
"pdp","bullpadel-vertex-05-2026","/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-angle.webp","side","gallery","no"
"pdp","bullpadel-vertex-05-2026","/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-profile.webp","rear","gallery","no"
"pdp","bullpadel-vertex-05-2026","/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-head.webp","top","gallery","no"
"pdp","bullpadel-vertex-05-2026","/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-texture.webp","detail","gallery","no"
"pdp","bullpadel-vertex-05-2026","/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-throat.webp","other","gallery","no"
"pdp","bullpadel-hack-04-2026","/images/padel/products/bullpadel-hack-04-hero.png","hero","gallery","no"
"pdp","bullpadel-hack-04-2026","/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-angle.webp","side","gallery","no"
"pdp","bullpadel-hack-04-2026","/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-profile.webp","rear","gallery","no"
"pdp","bullpadel-hack-04-2026","/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-head.webp","top","gallery","no"
"pdp","bullpadel-hack-04-2026","/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-texture.webp","detail","gallery","no"
"pdp","bullpadel-hack-04-2026","/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-throat.webp","other","gallery","no"
"pdp","nox-at10-genius-12k-alum-xtrem-2026","/images/padel/products/nox-at10-genius-12k-alum-xtrem-2026-hero.jpg","hero","gallery","no"
"pdp","nox-at10-genius-12k-alum-xtrem-2026","/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-angle.webp","side","gallery","no"
"pdp","nox-at10-genius-12k-alum-xtrem-2026","/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-profile.webp","rear","gallery","no"
"pdp","nox-at10-genius-12k-alum-xtrem-2026","/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-head.webp","top","gallery","no"
"pdp","nox-at10-genius-12k-alum-xtrem-2026","/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-texture.webp","detail","gallery","no"
"pdp","nox-at10-genius-12k-alum-xtrem-2026","/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-throat.webp","other","gallery","no"
"pdp","adidas-metalbone-3-3","/images/padel/products/adidas-metalbone-3-3-hero.jpg","hero","gallery","no"
"pdp","head-extreme-motion","/images/padel/products/head-extreme-motion-2026-hero.png","hero","gallery","no"
"pdp","tecnifibre-wall-breaker-365","/images/padel/products/tecnifibre-wall-breaker-365-hero.jpg","hero","gallery","no"
"pdp","oxdog-sense-pro","/images/padel/products/oxdog-sense-pro-hero.jpg","hero","gallery","no"
"pdp","lok-maxx-flow","/images/padel/products/lok-maxx-flow-hero.jpg","hero","gallery","no"
"pdp","asics-gel-resolution-padel","/images/padel/products/asics-gel-resolution-padel-hero.jpg","hero","gallery","no"
"pdp","asics-gel-challenger-court","/images/padel/products/asics-gel-challenger-court-hero.jpg","hero","gallery","no"
"pdp","babolat-jet-premura","/images/padel/products/babolat-jet-premura-hero.jpg","hero","gallery","no"
"pdp","joma-t-slam","/images/padel/products/joma-t-slam-hero.jpg","hero","gallery","no"
"pdp","head-revolt-pro-court","/images/padel/products/head-revolt-pro-court-hero.jpg","hero","gallery","no"
"pdp","adidas-crazyquick-boost-padel","/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg","hero","gallery","no"
"pdp","adidas-courtquick-padel-women","/images/padel/products/adidas-courtquick-padel-women-hero.jpg","hero","gallery","no"
"pdp","adidas-crazyquick-boost-padel-women","/images/padel/products/adidas-crazyquick-boost-padel-women-hero.jpg","hero","gallery","no"
"pdp","asics-gel-dedicate-8-padel","/images/padel/products/asics-gel-dedicate-8-padel-hero.jpg","hero","gallery","no"
"pdp","asics-game-ff-padel","/images/padel/products/asics-game-ff-padel-hero.jpg","hero","gallery","no"
"pdp","asics-solution-swift-ff2-padel","/images/padel/products/asics-solution-swift-ff2-padel-hero.jpg","hero","gallery","no"
"pdp","bullpadel-hybrid-fly","/images/padel/products/bullpadel-hybrid-fly-hero.jpg","hero","gallery","no"
"pdp","bullpadel-ionic-woman","/images/padel/products/bullpadel-ionic-woman-hero.jpg","hero","gallery","no"
"pdp","nox-at10-lux","/images/padel/products/nox-at10-lux-hero.jpg","hero","gallery","no"
"pdp","nox-ml10-hexa","/images/padel/products/nox-ml10-hexa-hero.jpg","hero","gallery","no"
"pdp","babolat-movea-2","/images/padel/products/babolat-movea-2-hero.jpg","hero","gallery","no"
"pdp","babolat-sensa-women","/images/padel/products/babolat-sensa-women-hero.jpg","hero","gallery","no"
