category,productId,slug,brand,heroSrc,sourceUrl,visualReview
"balls","prod-head-padel-pro-s","head-padel-pro-s-balls","head","/images/padel/products/head-padel-pro-s-hero.jpg","https://www.zonadepadel.es/head-padel/15548-bipack-head-padel-pro-s-valencia.html","PENDING_HUMAN"
"balls","prod-head-padel-pro-plus","head-padel-pro-plus","head","/images/padel/products/head-padel-pro-plus-hero.jpg","https://www.padelmq.com/en-nl/products/head-pro-tube","PENDING_HUMAN"
"balls","prod-head-padel-team","head-padel-team","head","/images/padel/products/head-padel-team-hero.jpg","https://padelmarket.com/en-eu/products/head-padel-team-3-tubes-of-3-balls","PENDING_HUMAN"
"balls","prod-head-padel-one","head-padel-one","head","/images/padel/products/head-padel-one-hero.jpg","https://padelmarket.com/en-gb/products/head-padel-one-tube-of-3-balls","PENDING_HUMAN"
"balls","prod-kuikma-pb-speed","kuikma-pb-speed","kuikma","/images/padel/products/kuikma-pb-speed-hero.jpg","https://www.decathlon.ph/p/pressurised-padel-balls-kuikma-pb-speed-pack-of-3-kuikma-8788980.html","PENDING_HUMAN"
"balls","prod-kuikma-pb-control","kuikma-pb-control","kuikma","/images/padel/products/kuikma-pb-control-hero.jpg","https://www.decathlon.in/p/8750703/pressurised-padel-balls-kuikma-pb-control-pack-of-3","PENDING_HUMAN"
"balls","prod-kuikma-pb-club","kuikma-pb-club","kuikma","/images/padel/balls/kuikma-pb-club-hero.jpg","https://padelracketkopen.nl/padel-ballen/kuikma-pb-club-18x-4st/","PENDING_HUMAN"
"balls","prod-wilson-padel-premier","wilson-padel-premier","wilson","/images/padel/products/wilson-padel-premier-hero.jpg","https://www.padelmq.com/en-nl/products/wilson-premier-tube","PENDING_HUMAN"
"balls","prod-wilson-padel-premier-speed","wilson-padel-premier-speed","wilson","/images/padel/products/wilson-padel-premier-speed-hero.jpg","https://www.padelmq.com/en-nl/products/wilson-padel-premier-speed-tube","PENDING_HUMAN"
"balls","prod-bullpadel-premium-pro","bullpadel-premium-pro","bullpadel","/images/padel/products/bullpadel-premium-pro-hero.jpg","https://www.padelmq.com/en-nl/products/premium-pro-tube","PENDING_HUMAN"
"balls","prod-adidas-speed-rx","adidas-speed-rx-padel-balls","adidas-padel","/images/padel/products/adidas-speed-rx-padel-balls-hero.jpg","https://www.padelmq.com/en-nl/products/adidas-speed-rx-bal-2023-1-tube-3-ballen","PENDING_HUMAN"
"balls","prod-babolat-court-padel-balls","babolat-court-padel-balls","babolat","/images/padel/products/babolat-court-padel-balls-hero.jpg","https://www.padelmq.com/en-nl/products/babolat-court-padel-ballen-tube","PENDING_HUMAN"
"balls","prod-dunlop-pro-padel","dunlop-pro-padel","dunlop-padel","/images/padel/products/dunlop-pro-padel-hero.jpg","https://www.zonadepadel.uk/dunlop-padel/11377-bottle-balls-dunlop-fort-padel.html","PENDING_HUMAN"
"balls","prod-tecnifibre-padel-team","tecnifibre-padel-team-balls","tecnifibre-padel","/images/padel/products/tecnifibre-padel-team-balls-hero.jpg","https://www.padelmq.com/en-nl/products/tube-van-3-tecnifibre-padel-team-ballen","PENDING_HUMAN"
"balls","prod-babolat-court","babolat-court","babolat","/images/padel/balls/babolat-court-hero.jpg","https://www.babolat.com/gb/court-x3/501098.html","PENDING_HUMAN"
