productId,category,tier,depth,editorialState,evidenceBasis,indexableCandidate,hasHero,hasOffer,hasRacketCopy,shortDescriptionLen,verdictLen,buyIfCount,skipIfCount,topicBlockCount,commerceResearch
prod-nox-at10-18k-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,132,174,2,2,0,RESEARCHED
prod-bullpadel-vertex-04,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,123,117,2,2,0,RESEARCHED
prod-babolat-technical-viper,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,119,105,2,2,0,RESEARCHED
prod-head-coello-pro,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,126,160,2,2,0,RESEARCHED
prod-siux-diablo,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,169,99,2,2,0,RESEARCHED
prod-adidas-courtstabil,shoes,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,124,167,2,2,2,RESEARCHED
prod-head-padel-pro-s,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,138,149,2,2,2,RESEARCHED
prod-wilson-overgrip,grips,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,137,118,2,2,2,RESEARCHED
prod-nox-bag-10,bags,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,182,136,2,2,2,RESEARCHED
prod-wilson-bela-pro,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,111,112,2,2,0,RESEARCHED
prod-starvie-titania-kepler,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,115,129,2,2,0,RESEARCHED
prod-adidas-metalbone-hrd,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,110,97,2,2,0,RESEARCHED
prod-kuikma-pr-soft-500,rackets,A,deep,EDITORIAL_LIGHT,manufacturer_specs,no,no,yes,yes,113,77,2,2,0,RESEARCHED
prod-drop-shot-canyon-pro,rackets,A,deep,EDITORIAL_LIGHT,manufacturer_specs,no,no,yes,yes,97,159,2,2,0,RESEARCHED
prod-varlion-lw-carbon-difusor,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,88,102,2,2,0,RESEARCHED
prod-nox-ml10-pro-cup,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,198,148,2,2,0,RESEARCHED
prod-bullpadel-hack-03,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,110,108,2,2,0,RESEARCHED
prod-babolat-counter-viper,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,104,93,2,2,0,RESEARCHED
prod-head-extreme-pro-padel,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,106,151,2,2,0,RESEARCHED
prod-wilson-blade-pro-padel,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,90,109,2,2,0,RESEARCHED
prod-starvie-basalto-osiris,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,113,104,2,2,0,RESEARCHED
prod-bullpadel-vertex-05,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,121,145,2,2,0,RESEARCHED
prod-bullpadel-hack-04,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,113,150,2,2,0,RESEARCHED
prod-nox-at10-12k-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,142,108,2,2,0,RESEARCHED
prod-adidas-metalbone-3-3-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,131,119,2,2,0,RESEARCHED
prod-head-extreme-motion-2026,rackets,A,deep,NEEDS_RESEARCH,manufacturer_specs,no,yes,yes,yes,135,130,2,2,0,RESEARCHED
prod-tecnifibre-wall-breaker-365-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,141,112,2,2,0,RESEARCHED
prod-oxdog-sense-pro-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,84,76,2,2,0,RESEARCHED
prod-royal-padel-rp-m27-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,116,78,2,2,0,RESEARCHED
prod-black-crown-special-one-soft,rackets,A,deep,NEEDS_RESEARCH,manufacturer_specs,no,no,yes,yes,107,67,2,2,0,RESEARCHED
prod-lok-maxx-flow,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,yes,yes,117,81,2,2,0,RESEARCHED
prod-asics-gel-resolution-padel,shoes,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,112,167,2,2,2,RESEARCHED
prod-asics-gel-challenger-court,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,154,138,2,2,2,RESEARCHED
prod-babolat-jet-premura,shoes,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,130,167,2,2,2,RESEARCHED
prod-joma-t-slam,shoes,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,103,167,2,2,2,RESEARCHED
prod-head-revolt-pro-court,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,104,138,2,2,2,RESEARCHED
prod-adidas-crazyquick-boost-m,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,103,167,2,2,2,RESEARCHED
prod-adidas-courtquick-w,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,85,167,2,2,2,RESEARCHED
prod-adidas-crazyquick-boost-w,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,101,167,2,2,2,RESEARCHED
prod-asics-gel-dedicate-8-padel,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,110,138,2,2,2,RESEARCHED
prod-asics-game-ff-padel,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,106,138,2,2,2,RESEARCHED
prod-asics-solution-swift-ff2-padel,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,98,167,2,2,2,RESEARCHED
prod-bullpadel-hybrid-fly,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,174,167,2,2,2,RESEARCHED
prod-bullpadel-ionic-woman,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,103,167,2,2,2,RESEARCHED
prod-nox-at10-lux,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,126,167,2,2,2,RESEARCHED
prod-nox-ml10-hexa,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,87,167,2,2,2,RESEARCHED
prod-babolat-movea-2,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,92,167,2,2,2,RESEARCHED
prod-babolat-sensa-women,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,89,167,2,2,2,RESEARCHED
prod-joma-slam-lady,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,82,167,2,2,2,RESEARCHED
