product_id,slug,path,surface,gallery_before,gallery_after,unique_before,unique_after,roles_added,source_urls,status,evidence
prod-bullpadel-frame-protector-uni,bullpadel-frame-protector-uni,/products/bullpadel-frame-protector-uni,pdp,0,1,1,2,PRODUCT_REAR,https://www.padelnuestro.com/protector-bullpadel-frame-uni-820-494320-smu | vista1 hero + vista2 back,ENRICHED,Replaced X3 hero with authentic single Frame Protector TR packshot; added reverse gallery. Kept separate from 3-pack SKU.
prod-joma-t-slam,joma-t-slam,/products/joma-t-slam,pdp,0,2,1,3,PRODUCT_SIDE;PRODUCT_PAIR,https://www.zonadepadel.es/joma/15127-zapatillas-joma-t-slam-men-2602-white-2026.html | 31820 | 31821,ENRICHED,Zona de Padel Slam Men 2602 white/royal listing exposes 3 packshots; hero retained; lateral+pair wired to PRODUCT_GALLERY_MEDIA.
prod-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,/products/kuikma-pr-comfort-soft,pdp,0,5,1,6,PRODUCT_ANGLE;PRODUCT_PROFILE;PRODUCT_DETAIL;PRODUCT_HEAD;PRODUCT_SIDE,https://en.decathlon.com.sa/products/padel-racket-pr-comfort-soft | coral IMG_8928692_* CDN pics (skipped white 8928695 colorway + lifestyle),ENRICHED,Prior MEDIA_SOURCE_LIMITED overturned — Decathlon SA now exposes multi-angle coral packshots hash-distinct from hero.
prod-adidas-arrow-hit-ctrl,adidas-arrow-hit-ctrl-2026,/products/adidas-arrow-hit-ctrl-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-courtquick-w,adidas-courtquick-padel-women,/products/adidas-courtquick-padel-women,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-courtstabil,adidas-courtstabil-padel,/products/adidas-courtstabil-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,/products/adidas-crazyquick-boost-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-crazyquick-boost-w,adidas-crazyquick-boost-padel-women,/products/adidas-crazyquick-boost-padel-women,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-metalbone-3-3-2026,adidas-metalbone-3-3,/products/adidas-metalbone-3-3,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,/products/adidas-metalbone-3-5-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
