"slug","category","unique_meaningful_media","gallery_beyond_hero","spec_present","spec_missing","has_verdict","strengths","weaknesses","nl_offers","from_price"
"nox-at10-genius-18k-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"bullpadel-vertex-04","cat-padel-rackets","6","5","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"babolat-technical-viper-3-0","cat-padel-rackets","4","3","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"head-coello-pro-2026","cat-padel-rackets","6","5","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"siux-diablo-pro-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"adidas-courtquick-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"head-padel-pro-s-balls","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|cansPerBox|officialApproval|coreMaterial|feltMaterial|intendedConditions|freshnessStatus|diameter|weight|bounceSpec|manufacturerPositioning|generation","","yes","3","1","2",""
"wilson-padel-overgrip-pack","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","3","1","1",""
"wilson-bela-pro-v3","cat-padel-rackets","4","3","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"starvie-titania-kepler","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"adidas-metalbone-hrd-2026","cat-padel-rackets","4","3","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"varlion-lw-carbon-difusor","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"nox-ml10-pro-cup","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"bullpadel-hack-03","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"babolat-counter-viper","cat-padel-rackets","4","3","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"head-extreme-pro-padel","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"wilson-blade-pro-v3-padel","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"starvie-basalto-osiris","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"bullpadel-vertex-05-2026","cat-padel-rackets","6","5","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"bullpadel-hack-04-2026","cat-padel-rackets","6","5","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"nox-at10-genius-12k-alum-xtrem-2026","cat-padel-rackets","6","5","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","1",""
"adidas-metalbone-3-3","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"head-extreme-motion","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"tecnifibre-wall-breaker-365","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"oxdog-sense-pro","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"lok-maxx-flow","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","1",""
"asics-gel-resolution-padel","cat-padel-shoes","1","0","cushioning|outsole|support|genderFit|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"asics-gel-challenger-court","cat-padel-shoes","1","0","cushioning|outsole|support|genderFit|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"babolat-jet-premura","cat-padel-shoes","1","0","cushioning|outsole|support|genderFit|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"joma-t-slam","cat-padel-shoes","1","0","cushioning|outsole|support|genderFit|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"head-revolt-pro-court","cat-padel-shoes","1","0","cushioning|outsole|support|genderFit|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
