issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status,validation,validation_note
PPL-0001,BLOCKER,http://127.0.0.1:3011/best/padel-rackets-maneuverability,/best/padel-rackets-maneuverability,best-guide,TOKEN_LEAK,spec_stamp,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Pade…,,Visible HTML contains internal or corruption tokens,OPEN,CONFIRMED,
PPL-0002,HIGH,http://127.0.0.1:3011/best/padel-shoes,/best/padel-shoes,best-guide,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Best Padel…,,Raw catalog/schema key is visible to users,OPEN,CONFIRMED,
PPL-0003,INFO,http://127.0.0.1:3011/brands/adidas-padel,/brands/adidas-padel,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0004,INFO,http://127.0.0.1:3011/brands/asics,/brands/asics,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0005,INFO,http://127.0.0.1:3011/brands/babolat,/brands/babolat,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0006,INFO,http://127.0.0.1:3011/brands/bullpadel,/brands/bullpadel,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0007,INFO,http://127.0.0.1:3011/brands/head,/brands/head,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0008,INFO,http://127.0.0.1:3011/brands/joma,/brands/joma,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0009,INFO,http://127.0.0.1:3011/brands/kuikma,/brands/kuikma,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0010,INFO,http://127.0.0.1:3011/brands/nox,/brands/nox,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0011,INFO,http://127.0.0.1:3011/brands/siux,/brands/siux,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0012,INFO,http://127.0.0.1:3011/brands/starvie,/brands/starvie,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0013,INFO,http://127.0.0.1:3011/brands/wilson,/brands/wilson,brand,HTTP,EXPECTED_INDEXABLE_NON_200,This operation was aborted,,Expected-indexable URL did not return HTTP 200,CLOSED_FALSE_POSITIVE,FALSE_POSITIVE,Timeout under 45s crawl concurrency; 200 OK on 90s retry
PPL-0014,BLOCKER,http://127.0.0.1:3011/guides/beginner-padel-gear-guide,/guides/beginner-padel-gear-guide,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare Courtquick shoes 8.4 Kitletics Score Adidas Padel Courtquick Padel Why it illustrates the category: Courtquick shoes maps to prod-adidas-courtstabil as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0015,BLOCKER,http://127.0.0.1:3011/guides/beginner-padel-gear-guide,/guides/beginner-padel-gear-guide,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Beginner Padel Gear Guide | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0016,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare Equation Soft Nox Equation Soft Advanced 2026 Why it illustrates the category: Equation Soft maps to prod-nox-equation-soft-2026 as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0017,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/carbon-vs-nylon-plate.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
