productId,slug,brand,model,family,status,listable,mediaStatus,HAS_EXACT_HERO,galleryCount,heroPath,heroSourceUrl,fileBytes,provenance,alt,identityConfidence,semanticStatus
prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,Nox,AT10 Genius 18K Alum 2026,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/nox-at10-genius-18k-2026-hero.jpg,https://noxsport.com/en/products/pala-at10-genius-18k-alum-2026-by-agustin-tapia,139238,MANUFACTURER,Nox AT10 Genius 18K Alum 2026,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-bullpadel-vertex-04,bullpadel-vertex-04,Bullpadel,Vertex 04,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/bullpadel-vertex-04-hero.png,https://padelusa.com/products/bullpadel-vertex-04-2025-juan-tello-padel-racket,1484984,MANUFACTURER,Bullpadel Vertex 04,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-babolat-technical-viper,babolat-technical-viper-3-0,Babolat,Technical Viper 3.0,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/babolat-technical-viper-hero.png,https://padelusa.com/products/babolat-technical-viper-3-0-padel-racket?variant=46771757383843&_pos=1&_sid=cf28e5b12&_ss=r,2277065,MANUFACTURER,Babolat Technical Viper 3.0,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-head-coello-pro,head-coello-pro-2026,Head,Coello Pro,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/head-coello-pro-2026-hero.png,https://www.paddlepro.com/,462399,UNKNOWN,HEAD Coello Pro 2026,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-siux-diablo,siux-diablo-pro-2026,Siux,Diablo Pro,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/siux-diablo-hero.png,https://siuxusa.com/products/diablo-pro-2026-night-blue,1575626,MANUFACTURER,Siux Diablo Pro 2026,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-adidas-courtstabil,adidas-courtquick-padel,Adidas Padel,Courtquick Padel,SHOES,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/adidas-courtquick-padel-hero.jpg,https://www.zonadepadel.es/adidas-padel/11668-zapatillas-adidas-courtquick-padel-m-ftwr-white-core-black-2025.html,105298,UNKNOWN,Adidas Courtquick Padel,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-head-padel-pro-s,head-padel-pro-s-balls,Head,Padel Pro S+,BALLS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/head-padel-pro-s-hero.jpg,https://www.zonadepadel.es/head-padel/15548-bipack-head-padel-pro-s-valencia.html,88178,UNKNOWN,HEAD Padel Pro S+,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-wilson-overgrip,wilson-padel-overgrip-pack,Wilson,Pro Padel Overgrip,GRIPS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/wilson-padel-overgrip-hero.jpg,https://www.zonadepadel.es/wilson-padel/8056-overgrip-wilson-pro-padel-3pk-blanco.html,65078,UNKNOWN,Wilson Pro Padel Overgrip 3-Pack,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-nox-bag-10,nox-thermo-bag-10,Nox,Thermo Bag 10,BAGS,draft,false,MEDIA_MISSING,false,1,,,0,PLACEHOLDER,,LOW,MEDIA_MISSING
prod-wilson-bela-pro,wilson-bela-pro-v3,Wilson,Bela Pro V3,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/wilson-bela-pro-hero.png,https://padelusa.com/products/wilson-bela-pro-v3-padel-racket?variant=45923259515043&_pos=1&_sid=2afcc8216&_ss=r,2353983,UNKNOWN,Wilson Bela Pro V3,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-starvie-titania-kepler,starvie-titania-kepler,StarVie,Titania Kepler,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/starvie-titania-kepler-hero.jpg,https://www.zonadepadel.es/star-vie/8032-star-vie-titania-kepler-pro-20.html,84111,UNKNOWN,StarVie Titania Kepler,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,Adidas Padel,Metalbone HRD+,RACKETS,published,true,MEDIA_INSUFFICIENT,true,1,/images/padel/products/adidas-metalbone-hrd-hero.png,https://padelusa.com/products/adidas-metalbone-hrd-3-4-padel-racket?variant=45436926394531&_pos=1&_sid=7ad0155cb&_ss=r,1662741,UNKNOWN,Adidas Metalbone HRD+ 2026,HIGH_FILE_EXISTS,MEDIA_INSUFFICIENT
prod-kuikma-pr-soft-500,kuikma-pr-soft-500,Kuikma,PR Soft 500,RACKETS,draft,false,MEDIA_MISSING,false,1,,,0,PLACEHOLDER,,LOW,MEDIA_MISSING
