"slug","review_type","unique_section_images","duplicate_bodies","buy_lines","skip_lines","score_keys","nl_offers"
"bullpadel-vertex-05-2026","expert-research","4","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"bullpadel-hack-04-2026","expert-research","4","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"bullpadel-vertex-05-hybrid-2026","expert-research","4","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","0"
"bullpadel-indiga-ctr-2026","expert-research","0","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","0"
"nox-at10-genius-18k-2026","expert-research","0","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"nox-at10-genius-12k-alum-xtrem-2026","expert-research","4","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"nox-ml10-pro-cup","expert-research","0","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"adidas-metalbone-3-5-2026","expert-research","0","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","0"
"head-coello-pro-2026","expert-research","4","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"head-gravity-pro","expert-research","0","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","0"
"babolat-technical-viper-3-0","expert-research","3","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","1"
"kuikma-pr-comfort-soft","expert-research","0","0","2","2","power|control|forgiveness|maneuverability|comfort|stability|spin|value","0"
"asics-gel-resolution-padel","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"adidas-crazyquick-boost-padel","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"adidas-courtquick-padel","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"joma-t-slam","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"babolat-jet-premura","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"nox-at10-lux","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"head-sprint-pro-4-padel","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"kuikma-ps-990","expert-research","0","0","3","3","stability|grip|comfort|durability|fit|cushioning|value","1"
"wilson-padel-overgrip-pack","expert-research","0","0","3","3","comfort|value","1"
"hesacore-padel-grip","expert-research","0","0","3","3","comfort|value","1"
"bullpadel-hac-overgrip","expert-research","0","0","3","3","comfort|value","0"
"head-padel-pro-s","expert-research","0","0","3","3","value|fit","2"
"nox-at10-team-bag","expert-research","0","0","3","3","value|fit","0"
"bullpadel-pascal-box-3b","expert-research","0","0","3","3","value|fit","1"
