reviewId,slug,vertical,productSlug,wordCount,sectionFileCount,resolvedSectionImages,imagesPer1000Words,onlyHeroOrLess,descriptionClass,scoreCount,buyIfCount,skipIfCount,methodologyNotePresent,readiness
review-bullpadel-vertex-05,bullpadel-vertex-05-2026,padel,bullpadel-vertex-05-2026,3728,24,18,4.83,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-bullpadel-hack-04,bullpadel-hack-04-2026,padel,bullpadel-hack-04-2026,3752,24,18,4.8,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-bullpadel-vertex-05-hybrid,bullpadel-vertex-05-hybrid-2026,padel,bullpadel-vertex-05-hybrid-2026,3755,20,18,4.79,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,padel,bullpadel-indiga-ctr-2026,3768,20,18,4.78,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-nox-at10-18k-2026,nox-at10-genius-18k-2026,padel,nox-at10-genius-18k-2026,3764,24,18,4.78,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,padel,nox-at10-genius-12k-alum-xtrem-2026,3783,24,18,4.76,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-nox-ml10-pro-cup,nox-ml10-pro-cup,padel,nox-ml10-pro-cup,3820,20,18,4.71,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,padel,adidas-metalbone-3-5-2026,3783,20,18,4.76,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-head-coello-pro,head-coello-pro-2026,padel,head-coello-pro-2026,3749,24,18,4.8,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-head-gravity-pro,head-gravity-pro,padel,head-gravity-pro,3737,20,18,4.82,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-babolat-technical-viper,babolat-technical-viper-3-0,padel,babolat-technical-viper-3-0,3735,20,18,4.82,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,padel,kuikma-pr-comfort-soft,3805,20,18,4.73,false,EXCELLENT,8,3,3,true,RUNNING_PARITY_READY
review-asics-gel-resolution-padel,asics-gel-resolution-padel,padel,asics-gel-resolution-padel,3774,22,14,3.71,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,padel,adidas-crazyquick-boost-padel,3785,22,14,3.7,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-adidas-courtquick,adidas-courtquick-padel,padel,adidas-courtquick-padel,3741,0,0,0,true,GOOD,7,3,3,true,MEDIA_BLOCKED
review-joma-t-slam,joma-t-slam,padel,joma-t-slam,3660,18,14,3.83,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-babolat-jet-premura,babolat-jet-premura,padel,babolat-jet-premura,3748,18,14,3.74,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-nox-at10-lux,nox-at10-lux,padel,nox-at10-lux,3750,22,14,3.73,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-head-sprint-pro-4-padel,head-sprint-pro-4-padel,padel,head-sprint-pro-4-padel,3781,22,14,3.7,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-kuikma-ps-990,kuikma-ps-990,padel,kuikma-ps-990,3791,22,14,3.69,false,GOOD,7,3,3,true,RUNNING_PARITY_READY
review-wilson-overgrip,wilson-padel-overgrip-pack,padel,wilson-padel-overgrip-pack,2707,13,9,3.32,false,GOOD,2,3,3,true,RUNNING_PARITY_READY
review-hesacore-padel,hesacore-padel-grip,padel,hesacore-padel-grip,2656,0,0,0,true,EXCELLENT,2,3,3,true,MEDIA_BLOCKED
review-bullpadel-hac-overgrip,bullpadel-hac-overgrip,padel,bullpadel-hac-overgrip,2796,0,0,0,true,GOOD,2,3,3,true,MEDIA_BLOCKED
review-head-padel-pro-s,head-padel-pro-s,padel,head-padel-pro-s-balls,3807,10,8,2.1,false,EXCELLENT,2,3,3,true,RUNNING_PARITY_READY
review-nox-at10-team-bag,nox-at10-team-bag,padel,nox-at10-team-paletero,3804,0,0,0,true,GOOD,2,3,3,true,MEDIA_BLOCKED
review-bullpadel-pascal-box,bullpadel-pascal-box-3b,padel,bullpadel-pascal-box-3b,3863,0,0,0,true,GOOD,2,3,3,true,MEDIA_BLOCKED
review-novablast-5-scheduled,asics-novablast-5-deep-dive,running,asics-novablast-5,3870,15,12,3.1,false,GOOD,0,3,3,false,RUNNING_PARITY_READY
review-adios-pro-4,adidas-adizero-adios-pro-4,running,adidas-adizero-adios-pro-4,1954,15,12,6.14,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-boston-12,adidas-adizero-boston-12,running,adidas-adizero-boston-12,3779,15,13,3.44,false,GOOD,6,3,3,true,RUNNING_PARITY_READY
review-adizero-boston-13,adidas-adizero-boston-13,running,adidas-adizero-boston-13,1774,15,12,6.76,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-adizero-evo-sl,adidas-adizero-evo-sl,running,adidas-adizero-evo-sl,1951,15,12,6.15,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-terrex-agravic-3,adidas-terrex-agravic-3,running,adidas-terrex-agravic-3,1475,15,12,8.14,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-ultraboost-5,adidas-ultraboost-5,running,adidas-ultraboost-5,1651,15,12,7.27,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-escalante-4,altra-escalante-4,running,altra-escalante-4,1540,15,12,7.79,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-experience-flow,altra-experience-flow,running,altra-experience-flow,1451,15,12,8.27,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-lone-peak-8,altra-lone-peak-8,running,altra-lone-peak-8,1499,15,12,8.01,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-paradigm-7,altra-paradigm-7,running,altra-paradigm-7,1616,15,12,7.43,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-torin-8,altra-torin-8,running,altra-torin-8,1648,15,12,7.28,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-cumulus-27,asics-gel-cumulus-27,running,asics-gel-cumulus-27,1651,15,12,7.27,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-nimbus-27,asics-gel-nimbus-27,running,asics-gel-nimbus-27,1738,15,12,6.9,false,EXCELLENT,3,3,3,true,RUNNING_PARITY_READY
review-trabuco-13,asics-gel-trabuco-13,running,asics-gel-trabuco-13,1850,15,12,6.49,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-gt-1000-13,asics-gt-1000-13,running,asics-gt-1000-13,1529,15,12,7.85,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-gt-2000-14,asics-gt-2000-14,running,asics-gt-2000-14,1596,15,12,7.52,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-metaspeed-sky-paris,asics-metaspeed-sky-paris,running,asics-metaspeed-sky-paris,1913,15,12,6.27,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-novablast-4,asics-novablast-4,running,asics-novablast-4,1228,15,12,9.77,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-novablast-6,asics-novablast-6,running,asics-novablast-6,544,15,12,22.06,false,GOOD,10,3,3,true,RUNNING_PARITY_READY
review-ghost-16,brooks-ghost-16,running,brooks-ghost-16,1766,15,12,6.8,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-glycerin-21,brooks-glycerin-21,running,brooks-glycerin-21,1174,15,12,10.22,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
review-hyperion-max-2,brooks-hyperion-max-2,running,brooks-hyperion-max-2,1704,15,12,7.04,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-arahi-7,hoka-arahi-7,running,hoka-arahi-7,1882,15,12,6.38,false,EXCELLENT,0,3,3,true,RUNNING_PARITY_READY
review-bondi-8,hoka-bondi-8,running,hoka-bondi-8,1154,15,12,10.4,false,GOOD,0,3,3,true,RUNNING_PARITY_READY
