review,section,media,role,HTTP,naturalWidth,rendered,fallback,duplicate,result
bullpadel-vertex-05-2026,sec-overview,/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-angle.webp,section,200,1,true,dedicated_or_gallery,false,OK
bullpadel-vertex-05-2026,sec-usecase,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-tradeoffs,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-construction,/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-head.webp,construction,200,1,true,dedicated_or_gallery,false,OK
bullpadel-vertex-05-2026,sec-shape,/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-throat.webp,section,200,1,true,dedicated_or_gallery,false,OK
bullpadel-vertex-05-2026,sec-power,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-control,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-sweetspot,/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-texture.webp,section,200,1,true,dedicated_or_gallery,false,OK
bullpadel-vertex-05-2026,sec-maneuverability,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-comfort,/images/padel/products/bullpadel-vertex-05/gallery/bullpadel-vertex-05-profile.webp,section,200,1,true,dedicated_or_gallery,false,OK
bullpadel-vertex-05-2026,sec-spin,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-defense,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-net,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-attack,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-serve,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-strengths,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-weaknesses,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-best-for,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-not-ideal,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-alternatives,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-comparisons,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-verified-specs,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-value,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-methodology,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-vertex-05-2026,sec-sources,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-hack-04-2026,sec-overview,/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-angle.webp,section,200,1,true,dedicated_or_gallery,false,OK
bullpadel-hack-04-2026,sec-usecase,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-hack-04-2026,sec-tradeoffs,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-hack-04-2026,sec-construction,/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-head.webp,construction,200,1,true,dedicated_or_gallery,false,OK
bullpadel-hack-04-2026,sec-shape,/images/padel/products/bullpadel-hack-04/gallery/bullpadel-hack-04-throat.webp,section,200,1,true,dedicated_or_gallery,false,OK
bullpadel-hack-04-2026,sec-power,,none,n/a,0,false,omit,false,OK_OMIT
bullpadel-hack-04-2026,sec-control,,none,n/a,0,false,omit,false,OK_OMIT
