review,section,visualNeeded,visualPurpose,mediaType,asset,source,productSpecific,unique,fallback
bullpadel-vertex-05-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
bullpadel-vertex-05-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
bullpadel-vertex-05-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
bullpadel-vertex-05-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
bullpadel-hack-04-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
bullpadel-hack-04-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
bullpadel-hack-04-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
bullpadel-hack-04-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
bullpadel-vertex-05-hybrid-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
bullpadel-vertex-05-hybrid-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
bullpadel-vertex-05-hybrid-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
bullpadel-vertex-05-hybrid-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
bullpadel-indiga-ctr-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
bullpadel-indiga-ctr-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
bullpadel-indiga-ctr-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
bullpadel-indiga-ctr-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
nox-at10-genius-18k-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
nox-at10-genius-18k-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
nox-at10-genius-18k-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
nox-at10-genius-18k-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
nox-at10-genius-12k-alum-xtrem-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
nox-at10-genius-12k-alum-xtrem-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
nox-at10-genius-12k-alum-xtrem-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
nox-at10-genius-12k-alum-xtrem-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
nox-ml10-pro-cup,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
nox-ml10-pro-cup,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
nox-ml10-pro-cup,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
nox-ml10-pro-cup,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
adidas-metalbone-3-5-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
adidas-metalbone-3-5-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
adidas-metalbone-3-5-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
adidas-metalbone-3-5-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
head-coello-pro-2026,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
head-coello-pro-2026,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
head-coello-pro-2026,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
head-coello-pro-2026,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
head-gravity-pro,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
head-gravity-pro,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
head-gravity-pro,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
head-gravity-pro,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
babolat-technical-viper-3-0,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
babolat-technical-viper-3-0,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
babolat-technical-viper-3-0,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
babolat-technical-viper-3-0,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
kuikma-pr-comfort-soft,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
kuikma-pr-comfort-soft,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
kuikma-pr-comfort-soft,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
kuikma-pr-comfort-soft,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
asics-gel-resolution-padel,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
asics-gel-resolution-padel,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
asics-gel-resolution-padel,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
asics-gel-resolution-padel,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
adidas-crazyquick-boost-padel,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
adidas-crazyquick-boost-padel,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
adidas-crazyquick-boost-padel,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
adidas-crazyquick-boost-padel,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
adidas-courtquick-padel,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
adidas-courtquick-padel,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
adidas-courtquick-padel,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
adidas-courtquick-padel,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
joma-t-slam,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
joma-t-slam,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
joma-t-slam,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
joma-t-slam,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
babolat-jet-premura,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
babolat-jet-premura,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
babolat-jet-premura,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
babolat-jet-premura,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
nox-at10-lux,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
nox-at10-lux,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
nox-at10-lux,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
nox-at10-lux,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
head-sprint-pro-4-padel,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
head-sprint-pro-4-padel,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
head-sprint-pro-4-padel,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
head-sprint-pro-4-padel,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
kuikma-ps-990,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
kuikma-ps-990,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
kuikma-ps-990,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
kuikma-ps-990,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
wilson-padel-overgrip-pack,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
wilson-padel-overgrip-pack,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
wilson-padel-overgrip-pack,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
wilson-padel-overgrip-pack,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
hesacore-padel-grip,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
hesacore-padel-grip,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
hesacore-padel-grip,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
hesacore-padel-grip,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
bullpadel-hac-overgrip,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
bullpadel-hac-overgrip,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
bullpadel-hac-overgrip,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
bullpadel-hac-overgrip,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
head-padel-pro-s,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
head-padel-pro-s,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
head-padel-pro-s,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
head-padel-pro-s,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
nox-at10-team-bag,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
nox-at10-team-bag,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
nox-at10-team-bag,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
nox-at10-team-bag,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
bullpadel-pascal-box-3b,Construction,yes,Show authentic face/frame,authentic-gallery,gallery,product-gallery,yes,yes,omit
bullpadel-pascal-box-3b,Shape and balance,yes,Teach mould geometry,educational-diagram,/images/padel/education/padel-racket-shapes.svg,kitletics-education,no,yes,omit
bullpadel-pascal-box-3b,Sweet spot / forgiveness,yes,Teach sweet-spot height,educational-diagram,/images/padel/education/padel-sweet-spot.svg,kitletics-education,no,yes,omit
bullpadel-pascal-box-3b,Power,yes,Teach power-control continuum,educational-diagram,/images/padel/education/padel-power-control.svg,kitletics-education,no,yes,omit
