kind,id,slug,family,contentClass,indexable
product,prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-vertex-04,bullpadel-vertex-04,Rackets,EXCELLENT,true
product,prod-babolat-technical-viper,babolat-technical-viper-3-0,Rackets,EXCELLENT,true
product,prod-head-coello-pro,head-coello-pro-2026,Rackets,EXCELLENT,true
product,prod-siux-diablo,siux-diablo-pro-2026,Rackets,EXCELLENT,true
product,prod-adidas-courtstabil,adidas-courtquick-padel,Shoes,EXCELLENT,true
product,prod-head-padel-pro-s,head-padel-pro-s-balls,Balls,EXCELLENT,true
product,prod-wilson-overgrip,wilson-padel-overgrip-pack,Grips,EXCELLENT,true
product,prod-wilson-bela-pro,wilson-bela-pro-v3,Rackets,EXCELLENT,true
product,prod-starvie-titania-kepler,starvie-titania-kepler,Rackets,EXCELLENT,true
product,prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,Rackets,EXCELLENT,true
product,prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,Rackets,EXCELLENT,true
product,prod-nox-ml10-pro-cup,nox-ml10-pro-cup,Rackets,EXCELLENT,true
product,prod-bullpadel-hack-03,bullpadel-hack-03,Rackets,EXCELLENT,true
product,prod-babolat-counter-viper,babolat-counter-viper,Rackets,EXCELLENT,true
product,prod-head-extreme-pro-padel,head-extreme-pro-padel,Rackets,EXCELLENT,true
product,prod-wilson-blade-pro-padel,wilson-blade-pro-v3-padel,Rackets,EXCELLENT,true
product,prod-starvie-basalto-osiris,starvie-basalto-osiris,Rackets,EXCELLENT,true
product,prod-bullpadel-vertex-05,bullpadel-vertex-05-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-hack-04,bullpadel-hack-04-2026,Rackets,EXCELLENT,true
product,prod-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,Rackets,EXCELLENT,true
product,prod-adidas-metalbone-3-3-2026,adidas-metalbone-3-3,Rackets,EXCELLENT,true
product,prod-head-extreme-motion-2026,head-extreme-motion,Rackets,EXCELLENT,true
product,prod-tecnifibre-wall-breaker-365-2026,tecnifibre-wall-breaker-365,Rackets,EXCELLENT,true
product,prod-oxdog-sense-pro-2026,oxdog-sense-pro,Rackets,EXCELLENT,true
product,prod-lok-maxx-flow,lok-maxx-flow,Rackets,EXCELLENT,true
product,prod-asics-gel-resolution-padel,asics-gel-resolution-padel,Shoes,EXCELLENT,true
product,prod-asics-gel-challenger-court,asics-gel-challenger-court,Shoes,EXCELLENT,true
product,prod-babolat-jet-premura,babolat-jet-premura,Shoes,EXCELLENT,true
product,prod-joma-t-slam,joma-t-slam,Shoes,EXCELLENT,true
product,prod-head-revolt-pro-court,head-revolt-pro-court,Shoes,GOOD,true
product,prod-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,Shoes,GOOD,true
product,prod-adidas-courtquick-w,adidas-courtquick-padel-women,Shoes,EXCELLENT,true
product,prod-adidas-crazyquick-boost-w,adidas-crazyquick-boost-padel-women,Shoes,GOOD,true
product,prod-asics-gel-dedicate-8-padel,asics-gel-dedicate-8-padel,Shoes,EXCELLENT,true
product,prod-asics-game-ff-padel,asics-game-ff-padel,Shoes,GOOD,true
product,prod-asics-solution-swift-ff2-padel,asics-solution-swift-ff2-padel,Shoes,GOOD,true
product,prod-bullpadel-hybrid-fly,bullpadel-hybrid-fly,Shoes,EXCELLENT,true
product,prod-bullpadel-ionic-woman,bullpadel-ionic-woman,Shoes,EXCELLENT,true
product,prod-nox-at10-lux,nox-at10-lux,Shoes,GOOD,true
product,prod-nox-ml10-hexa,nox-ml10-hexa,Shoes,GOOD,true
product,prod-babolat-movea-2,babolat-movea-2,Shoes,EXCELLENT,true
product,prod-babolat-sensa-women,babolat-sensa-women,Shoes,EXCELLENT,true
product,prod-joma-slam-lady,joma-slam-lady,Shoes,GOOD,true
product,prod-joma-spin-men,joma-spin-men,Shoes,GOOD,true
product,prod-head-sprint-pro-4-padel,head-sprint-pro-4-padel,Shoes,GOOD,true
product,prod-wilson-rush-pro-5-padel,wilson-rush-pro-5-padel,Shoes,GOOD,true
product,prod-kuikma-ps-990,kuikma-ps-990,Shoes,GOOD,true
product,prod-asics-gel-resolution-padel-w,asics-gel-resolution-padel-women,Shoes,GOOD,true
product,prod-joma-spin-lady,joma-spin-lady,Shoes,GOOD,true
product,prod-babolat-jet-premura-2-men,babolat-jet-premura-2,Shoes,EXCELLENT,true
product,prod-nox-at10-attack-18k-2026,nox-at10-genius-attack-18k-2026,Rackets,EXCELLENT,true
product,prod-nox-equation-soft-2026,nox-equation-soft-advanced-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-vertex-05-hybrid,bullpadel-vertex-05-hybrid-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-vertex-05-w,bullpadel-vertex-05-w-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-hack-04-hybrid,bullpadel-hack-04-hybrid-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-hack-04-comfort,bullpadel-hack-04-comfort-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-neuron-02,bullpadel-neuron-02-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-neuron-02-edge,bullpadel-neuron-02-edge-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-xplo,bullpadel-xplo-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-xplo-comfort,bullpadel-xplo-comfort-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-ionic-light,bullpadel-ionic-light-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,Rackets,EXCELLENT,true
product,prod-bullpadel-vertex-advance,bullpadel-vertex-advance-2026,Rackets,EXCELLENT,true
product,prod-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,Rackets,EXCELLENT,true
product,prod-adidas-metalbone-ctrl,adidas-metalbone-ctrl-2026,Rackets,EXCELLENT,true
product,prod-adidas-metalbone-team-light,adidas-metalbone-team-light-2026,Rackets,EXCELLENT,true
product,prod-adidas-cross-it-light,adidas-cross-it-light-2026,Rackets,EXCELLENT,true
product,prod-adidas-cross-it-ctrl,adidas-cross-it-ctrl-2026,Rackets,EXCELLENT,true
product,prod-adidas-arrow-hit-ctrl,adidas-arrow-hit-ctrl-2026,Rackets,EXCELLENT,true
product,prod-adidas-arrow-hit-attk,adidas-arrow-hit-2026,Rackets,EXCELLENT,true
product,prod-adidas-match-light,adidas-match-light-2026,Rackets,EXCELLENT,true
product,prod-head-coello-motion,head-coello-motion-2026,Rackets,EXCELLENT,true
product,prod-head-coello-team,head-coello-team-2026,Rackets,EXCELLENT,true
product,prod-head-gravity-pro,head-gravity-pro,Rackets,EXCELLENT,true
product,prod-head-gravity-motion,head-gravity-motion,Rackets,EXCELLENT,true
product,prod-head-speed-pro,head-speed-pro,Rackets,EXCELLENT,true
product,prod-head-one-ultralight,head-one-ultralight,Rackets,EXCELLENT,true
product,prod-babolat-air-viper,babolat-air-viper-2-6,Rackets,EXCELLENT,true
product,prod-babolat-air-veron,babolat-air-veron-2-6,Rackets,EXCELLENT,true
product,prod-siux-electra,siux-electra-pro-2026,Rackets,EXCELLENT,true
product,prod-siux-fenix,siux-fenix-pro-2026,Rackets,EXCELLENT,true
product,prod-starvie-astrum,starvie-astrum-plus-2026,Rackets,EXCELLENT,true
product,prod-kuikma-pr-hybrid-carbon,kuikma-pr-hybrid-carbon,Rackets,EXCELLENT,true
product,prod-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,Rackets,EXCELLENT,true
product,prod-head-padel-pro-plus,head-padel-pro-plus,Balls,EXCELLENT,true
product,prod-head-padel-team,head-padel-team,Balls,GOOD,true
product,prod-head-padel-one,head-padel-one,Balls,GOOD,true
product,prod-kuikma-pb-speed,kuikma-pb-speed,Balls,EXCELLENT,true
product,prod-kuikma-pb-control,kuikma-pb-control,Balls,GOOD,true
product,prod-kuikma-pb-club,kuikma-pb-club,Balls,GOOD,true
product,prod-wilson-padel-premier,wilson-padel-premier,Balls,GOOD,true
product,prod-wilson-padel-premier-speed,wilson-padel-premier-speed,Balls,EXCELLENT,true
product,prod-bullpadel-premium-pro,bullpadel-premium-pro,Balls,GOOD,true
product,prod-adidas-speed-rx,adidas-speed-rx-padel-balls,Balls,GOOD,true
product,prod-babolat-court-padel-balls,babolat-court-padel-balls,Balls,GOOD,true
product,prod-dunlop-pro-padel,dunlop-pro-padel,Balls,GOOD,true
product,prod-tecnifibre-padel-team,tecnifibre-padel-team-balls,Balls,GOOD,true
product,prod-nox-at10-team-bag,nox-at10-team-paletero,Bags,EXCELLENT,true
product,prod-babolat-rh-pro-padel,babolat-rh-pro-padel,Bags,GOOD,true
product,prod-bullpadel-vertex-backpack,bullpadel-vertex-geo-backpack,Bags,EXCELLENT,true
product,prod-tecnifibre-tour-endurance-backpack,tecnifibre-tour-endurance-padel-backpack,Bags,EXCELLENT,true
product,prod-babolat-court-backpack,babolat-court-backpack,Bags,GOOD,true
product,prod-adidas-protour-padel,adidas-protour-padel-bag,Bags,EXCELLENT,true
product,prod-head-tour-team-padel,head-tour-team-padel-bag,Bags,EXCELLENT,true
product,prod-head-elite-backpack,head-elite-padel-backpack,Bags,EXCELLENT,true
product,prod-wilson-super-tour-padel,wilson-super-tour-padel-bag,Bags,EXCELLENT,true
product,prod-nox-at10-xxl-bag,nox-at10-xxl-padel-bag,Bags,EXCELLENT,true
product,prod-bullpadel-gb1200,bullpadel-hac-overgrip,Grips,EXCELLENT,true
product,prod-nox-pro-overgrip,nox-pro-overgrip,Grips,EXCELLENT,true
product,prod-head-xtreme-soft,head-xtreme-soft-overgrip,Grips,EXCELLENT,true
product,prod-babolat-pro-response,babolat-pro-response-overgrip,Grips,EXCELLENT,true
product,prod-kuikma-overgrip,kuikma-padel-overgrip,Grips,EXCELLENT,true
product,prod-babolat-syntec-pro,babolat-syntec-pro-replacement-grip,Grips,EXCELLENT,true
product,prod-hesacore-padel,hesacore-padel-grip,Grips,EXCELLENT,true
product,prod-adidas-padel-overgrip,adidas-padel-overgrip,Grips,EXCELLENT,true
product,prod-bullpadel-frame-protector,bullpadel-frame-protector-3-pack,Accessories,GOOD,true
product,prod-nox-frame-protector,nox-transparent-frame-protector,Accessories,EXCELLENT,true
product,prod-bullpadel-pascal-box,bullpadel-pascal-box-3b,Accessories,GOOD,true
