kind,vertical,id,slug,indexable,heroPresent,meaningfulImages,sectionFiles,heroOnly,noVisuals,contentClass,parityReady,consideredCount,recommendedCount,diagrams,productExamples
review,padel,review-bullpadel-vertex-05,bullpadel-vertex-05-2026,true,true,18,24,false,false,EXCELLENT,true,,,,
review,padel,review-bullpadel-hack-04,bullpadel-hack-04-2026,true,true,18,24,false,false,EXCELLENT,true,,,,
review,padel,review-bullpadel-vertex-05-hybrid,bullpadel-vertex-05-hybrid-2026,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-nox-at10-18k-2026,nox-at10-genius-18k-2026,true,true,18,24,false,false,EXCELLENT,true,,,,
review,padel,review-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,true,true,18,24,false,false,EXCELLENT,true,,,,
review,padel,review-nox-ml10-pro-cup,nox-ml10-pro-cup,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-head-coello-pro,head-coello-pro-2026,true,true,18,24,false,false,EXCELLENT,true,,,,
review,padel,review-head-gravity-pro,head-gravity-pro,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-babolat-technical-viper,babolat-technical-viper-3-0,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,true,true,18,20,false,false,EXCELLENT,true,,,,
review,padel,review-asics-gel-resolution-padel,asics-gel-resolution-padel,true,true,14,22,false,false,EXCELLENT,true,,,,
review,padel,review-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,true,true,14,22,false,false,EXCELLENT,true,,,,
review,padel,review-adidas-courtquick,adidas-courtquick-padel,true,true,14,16,false,false,EXCELLENT,true,,,,
review,padel,review-joma-t-slam,joma-t-slam,true,true,14,18,false,false,EXCELLENT,true,,,,
review,padel,review-babolat-jet-premura,babolat-jet-premura,true,true,14,18,false,false,EXCELLENT,true,,,,
review,padel,review-nox-at10-lux,nox-at10-lux,true,true,14,22,false,false,EXCELLENT,true,,,,
review,padel,review-head-sprint-pro-4-padel,head-sprint-pro-4-padel,true,true,14,22,false,false,EXCELLENT,true,,,,
review,padel,review-kuikma-ps-990,kuikma-ps-990,true,true,14,22,false,false,EXCELLENT,true,,,,
review,padel,review-wilson-overgrip,wilson-padel-overgrip-pack,true,true,9,13,false,false,EXCELLENT,true,,,,
review,padel,review-hesacore-padel,hesacore-padel-grip,true,true,9,11,false,false,EXCELLENT,true,,,,
review,padel,review-bullpadel-hac-overgrip,bullpadel-hac-overgrip,true,true,9,11,false,false,EXCELLENT,true,,,,
review,padel,review-head-padel-pro-s,head-padel-pro-s,true,true,9,12,false,false,GOOD,true,,,,
review,padel,review-nox-at10-team-bag,nox-at10-team-bag,true,true,10,12,false,false,EXCELLENT,true,,,,
review,padel,review-bullpadel-pascal-box,bullpadel-pascal-box-3b,true,true,9,12,false,false,EXCELLENT,true,,,,
review,running,review-adios-pro-4,adidas-adizero-adios-pro-4,true,true,15,15,false,false,GOOD,true,,,,
