family,productId,slug,status,published,indexable,listable,exactHero,usefulGallery,galleryCount,mediaBlocked,placeholder,heroSrc,contentClass
Rackets,prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,published,true,true,true,true,true,1,false,false,/images/padel/products/nox-at10-genius-18k-2026-hero.jpg,EXCELLENT
Rackets,prod-bullpadel-vertex-04,bullpadel-vertex-04,published,true,true,true,true,true,1,false,false,/images/padel/products/bullpadel-vertex-04-hero.png,EXCELLENT
Rackets,prod-babolat-technical-viper,babolat-technical-viper-3-0,published,true,true,true,true,true,1,false,false,/images/padel/products/babolat-technical-viper-hero.png,EXCELLENT
Rackets,prod-head-coello-pro,head-coello-pro-2026,published,true,true,true,true,true,1,false,false,/images/padel/products/head-coello-pro-2026-hero.png,EXCELLENT
Rackets,prod-siux-diablo,siux-diablo-pro-2026,published,true,true,true,true,true,1,false,false,/images/padel/products/siux-diablo-hero.png,EXCELLENT
Shoes,prod-adidas-courtstabil,adidas-courtquick-padel,published,true,true,true,true,true,1,false,false,/images/padel/products/adidas-courtquick-padel-hero.jpg,EXCELLENT
Balls,prod-head-padel-pro-s,head-padel-pro-s-balls,published,true,true,true,true,true,1,false,false,/images/padel/products/head-padel-pro-s-hero.jpg,EXCELLENT
Grips,prod-wilson-overgrip,wilson-padel-overgrip-pack,published,true,true,true,true,true,1,false,false,/images/padel/products/wilson-padel-overgrip-hero.jpg,EXCELLENT
Bags,prod-nox-bag-10,nox-thermo-bag-10,draft,false,false,false,false,false,0,true,true,,EXCELLENT
Rackets,prod-wilson-bela-pro,wilson-bela-pro-v3,published,true,true,true,true,true,1,false,false,/images/padel/products/wilson-bela-pro-hero.png,EXCELLENT
Rackets,prod-starvie-titania-kepler,starvie-titania-kepler,published,true,true,true,true,true,1,false,false,/images/padel/products/starvie-titania-kepler-hero.jpg,EXCELLENT
Rackets,prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,published,true,true,true,true,true,1,false,false,/images/padel/products/adidas-metalbone-hrd-hero.png,EXCELLENT
Rackets,prod-kuikma-pr-soft-500,kuikma-pr-soft-500,draft,false,false,false,false,false,0,true,true,,EXCELLENT
Rackets,prod-drop-shot-canyon-pro,drop-shot-canyon-pro,draft,false,false,false,false,false,0,true,true,,EXCELLENT
Rackets,prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,published,true,true,true,true,true,1,false,false,/images/padel/products/varlion-lw-carbon-difusor-2026-hero.jpg,EXCELLENT
Rackets,prod-nox-ml10-pro-cup,nox-ml10-pro-cup,published,true,true,true,true,true,1,false,false,/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg,EXCELLENT
Rackets,prod-bullpadel-hack-03,bullpadel-hack-03,published,true,true,true,true,true,1,false,false,/images/padel/products/bullpadel-hack-03-hero.jpg,EXCELLENT
