productId,categoryId,brandId,name,lifecycleStatus,publicationStatus,completeness,requiredFilled,requiredTerminal,importantFilled,importantTerminal,optionalFilled,verifiedFieldCount,notPublishedCount,unknownCount,sourceCoveragePct,identityNotes
prod-nox-at10-18k-2026,cat-padel-rackets,brand-nox,AT10 Genius 18K Alum 2026,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-bullpadel-vertex-04,cat-padel-rackets,brand-bullpadel,Vertex 04,previous-generation,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-babolat-technical-viper,cat-padel-rackets,brand-babolat-padel,Technical Viper 3.0,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-head-coello-pro,cat-padel-rackets,brand-head-padel,Coello Pro,current,published,VERIFIED_COMPLETE,3,0,6,1,6,15,4,0,100,
prod-siux-diablo,cat-padel-rackets,brand-siux,Diablo Pro,current,published,VERIFIED_COMPLETE,3,0,6,1,6,15,4,0,100,
prod-adidas-courtstabil,cat-padel-shoes,brand-adidas-padel,Courtquick Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-head-padel-pro-s,cat-padel-balls,brand-head-padel,Padel Pro S+,current,published,VERIFIED_COMPLETE,5,0,4,0,4,13,5,0,100,
prod-wilson-overgrip,cat-padel-grips,brand-wilson-padel,Pro Padel Overgrip,current,published,VERIFIED_COMPLETE,1,0,3,2,3,7,10,0,94,
prod-nox-bag-10,cat-padel-bags,brand-nox,Thermo Bag 10,current,draft,VERIFIED_COMPLETE,1,0,3,2,0,4,16,0,100,
prod-wilson-bela-pro,cat-padel-rackets,brand-wilson-padel,Bela Pro V3,current,published,VERIFIED_COMPLETE,3,0,6,1,6,15,4,0,100,
prod-starvie-titania-kepler,cat-padel-rackets,brand-starvie,Titania Kepler,previous-generation,published,VERIFIED_COMPLETE,3,0,5,2,4,12,7,0,100,
prod-adidas-metalbone-hrd,cat-padel-rackets,brand-adidas-padel,Metalbone HRD+,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-kuikma-pr-soft-500,cat-padel-rackets,brand-kuikma,PR Soft 500,current,draft,VERIFIED_COMPLETE,3,0,5,2,3,11,8,0,100,
prod-drop-shot-canyon-pro,cat-padel-rackets,brand-drop-shot,Canyon Pro,current,draft,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-varlion-lw-carbon-difusor,cat-padel-rackets,brand-varlion,LW Carbon Difusor,current,published,VERIFIED_COMPLETE,3,0,5,2,4,12,7,0,100,
prod-nox-ml10-pro-cup,cat-padel-rackets,brand-nox,ML10 Pro Cup,current,published,VERIFIED_COMPLETE,3,0,4,3,3,10,9,0,100,
prod-bullpadel-hack-03,cat-padel-rackets,brand-bullpadel,Hack 03,previous-generation,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-babolat-counter-viper,cat-padel-rackets,brand-babolat-padel,Counter Viper,current,published,VERIFIED_COMPLETE,3,0,6,1,5,14,5,0,100,
prod-head-extreme-pro-padel,cat-padel-rackets,brand-head-padel,Extreme Pro,current,published,VERIFIED_COMPLETE,3,0,6,1,6,15,4,0,100,
prod-wilson-blade-pro-padel,cat-padel-rackets,brand-wilson-padel,Blade Pro V3,current,published,VERIFIED_COMPLETE,3,0,5,2,3,11,8,0,100,
prod-starvie-basalto-osiris,cat-padel-rackets,brand-starvie,Basalto Osiris,previous-generation,published,VERIFIED_COMPLETE,3,0,6,1,5,14,5,0,100,
prod-bullpadel-vertex-05,cat-padel-rackets,brand-bullpadel,Vertex 05,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-bullpadel-hack-04,cat-padel-rackets,brand-bullpadel,Hack 04,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-nox-at10-12k-2026,cat-padel-rackets,brand-nox,AT10 Genius 12K Alum XTREM 2026,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-adidas-metalbone-3-3-2026,cat-padel-rackets,brand-adidas-padel,Metalbone 3.3,previous-generation,published,VERIFIED_COMPLETE,3,0,5,2,4,12,7,0,100,
