category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status,discovery_action,exclude_reason
grips,overgrip,Oxdog,Gold Pro Overgrip,Gold Pro,current,unisex,3/12/60 packs — collapse packs,https://oxdogpadel.com/en-us/products/gold-pro-overgrip-x3,current,https://oxdogpadel.com/en-us/products/gold-pro-overgrip-x3|https://www.oxdog.net/,yes,yes,CURRENT,no,,Soft cushioned moisture-absorbing Oxdog overgrip; distinct from Gold Sticky tack line. Missing from ~262 soft-goods inventory.,verified,ADD,
grips,overgrip,Oxdog,Gold Sticky Overgrip,Gold Sticky,current,unisex,3/12/60 packs — collapse packs,https://oxdogpadel.com/en-us/products/gold-sticky-overgrip-x3,current,https://oxdogpadel.com/en-us/products/gold-sticky-overgrip-x3,yes,yes,CURRENT,no,,Extra-tack thin Oxdog overgrip fork; commercially distinct from Gold Pro.,verified,ADD,
accessories,protector,Oxdog,No1 Frame Protector,No1,current,unisex,transparent/logo; 372×40 mm,https://oxdogpadel.com/en-int/products/protector-transparente-372x40mm,current,https://www.oxdog.net/en/articles/2.37.111/no1-frame-protector,yes,yes,CURRENT,no,,Widest Oxdog frame skin; catalog as primary protector SKU.,verified,ADD,
accessories,protector,Oxdog,No2 Frame Protector,No2,current,unisex,transparent/logo; 372×35 mm,https://oxdogpadel.com/en-us/products/protector-transparente-372x35mm,current,https://oxdogpadel.com/,likely,yes,CURRENT,no,,Narrower sibling to No1 — keep if size/job differs for buyers; else collapse under No1.,verified,ADD_IF_DISTINCT,Collapse into No1 if retailers treat as same protector job with only width variant
accessories,protector,Oxdog,No3 Frame Protector,No3,current,unisex,transparent; ~372×35 mm class,https://www.oxdog.net/,current_retail,https://www.oxdog.net/,likely,yes,CURRENT,no,,Third Oxdog protector size/ref — confirm live PDP before catalog; likely size variant of No1/No2.,probable,NEEDS_VERIFY,Possibly size/design variant of No1/No2
bags,PADEL_RACKET_BAG,Black Crown,Plus Padel Bag 2026,Plus,2026,unisex,grey/orange / black colorways,https://blackcrownpadel.com,current_retail,https://www.padelmq.com/en/products/black-crown-plus-black-padel-bag|https://www.padelshack.com/product/black-crown-plus-padel-bag-2026-greyorange/,yes,yes,CURRENT,no,,2026 mid/high capacity bag with thermal side + shoe pocket; distinct from Thunder / Ultimate Pro 2.0 / Spartan already inventoried.,verified,ADD,
grips,overgrip,Black Crown,Smooth Overgrip,Black Crown Smooth,current,unisex,3/12/60/100 packs,https://blackcrownpadel.com,current_retail,https://www.padelboost.co.uk/,likely,yes,CURRENT,no,,Smooth fork alongside perforated already inventoried — confirm manufacturer naming/EAN.,probable,ADD_IF_DISTINCT,Collapse if same EAN as Perforated Overgrip
bags,PADEL_RACKET_BAG,Lok,Maxx Gen 2 Racket Bag,Maxx Gen 2 Paletero,2026,unisex,70 L; black/orange; thermal side pockets,https://loksports.com,current,https://www.zonadepadel.com/lok/13697-lok-maxx-gen-2-black-orange-2026-padel-bag.html|https://www.padelkiwi.com/en-gb/products/paletero-lok-maxx-gen-2-negro-gris-y-naranja,yes,yes,CURRENT,no,,Inventory lists Maxx Gen 2 as BACKPACK — retail listings are 70 L paletero/racket bag. Correct form factor and keep as CURRENT.,verified,ADD_OR_RECLASSIFY,Do not duplicate if existing Maxx Gen 2 row is updated from BACKPACK→PADEL_RACKET_BAG
bags,PADEL_RACKET_BAG,Lok,One Gen 2 Racket Bag,One Gen 2,2026,unisex,35 L compact asymmetrical,https://loksports.com,current,https://www.padelshack.com/product/lok-racket-bag-one-gen-2-blackorange-2026/,yes,yes,CURRENT,no,,Compact 2026 Lok bag distinct from Maxx / Aventure backpacks.,verified,ADD,
bags,ACCESSORY_BAG,Lok,Accessory Bag Gen 2,Accessory Bag Gen 2,2026,unisex,4 L toiletry/accessory pouch,https://loksports.com/en/padel-bags/233--accessory-bag-lok-gen-2-blackorange-8435739406694.html,current,https://padelmarket.com/en/products/lok-gen-2-black-orange-2026-toiletry-bag,yes,yes,CURRENT,no,,Compact Gen 2 pouch sold with bag line; commercially meaningful organizer SKU.,verified,ADD,
balls,competition,Sane,Nitro Balls,Nitro,current,unisex,2-ball and 3-ball tubes — collapse pack formats,https://padelsane.com/en/collections/balls,current,https://padelsane.com/en/collections/balls,likely,yes,CURRENT,no,,Official Sane competition/speed ball line; brand had zero soft-goods rows.,verified,ADD,
balls,club,Sane,Core Balls,Core,current,unisex,3-ball tube (+24-tube boxes),https://padelsane.com/en/collections/balls,current,https://www.sanestore.it/51-accessori-padel,likely,yes,CURRENT,no,,Sane club/control Core ball distinct from Nitro/Spin Premium.,verified,ADD,
balls,competition,Sane,Spin Premium Balls,Spin Premium,current,unisex,3-ball tube,https://padelsane.com/en/collections/balls,current,https://padelsane.com/en/collections/balls,likely,yes,CURRENT,no,,Premium Sane spin-oriented ball SKU on manufacturer shop.,verified,ADD,
