path,page_type,entity_id,entity_slug,launch_disposition,robots_expectation,in_sitemap_expected,notes
/best/padel-bags,best-guide,best-padel-bags,padel-bags,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-overgrips,best-guide,best-padel-overgrips,padel-overgrips,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets,best-guide,best-padel-rackets,padel-rackets,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-advanced,best-guide,best-padel-rackets-advanced,padel-rackets-advanced,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-all-round,best-guide,best-padel-rackets-all-round,padel-rackets-all-round,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-beginners,best-guide,best-padel-rackets-beginners,padel-rackets-beginners,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-comfort,best-guide,best-padel-rackets-comfort,padel-rackets-comfort,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-control,best-guide,best-padel-rackets-control,padel-rackets-control,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-intermediate,best-guide,best-padel-rackets-intermediate,padel-rackets-intermediate,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-lightweight,best-guide,best-padel-rackets-lightweight,padel-rackets-lightweight,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-maneuverability,best-guide,best-padel-rackets-maneuverability,padel-rackets-maneuverability,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-power,best-guide,best-padel-rackets-power,padel-rackets-power,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-rackets-women,best-guide,best-padel-rackets-women,padel-rackets-women,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-shoes,best-guide,best-padel-shoes,padel-shoes,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-shoes-comfort,best-guide,best-padel-shoes-comfort,padel-shoes-comfort,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-shoes-men,best-guide,best-padel-shoes-men,padel-shoes-men,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-shoes-stability,best-guide,best-padel-shoes-stability,padel-shoes-stability,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/best/padel-shoes-women,best-guide,best-padel-shoes-women,padel-shoes-women,INDEXABLE,"index,follow",yes,contextualDepth=high|editorial_ready
/brands/adidas-padel,brand,brand-adidas-padel,adidas-padel,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/asics,brand,brand-asics,asics,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/babolat,brand,brand-babolat-padel,babolat,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/black-crown,brand,brand-black-crown,black-crown,HIDDEN_404,"noindex,nofollow",no,brand_hub_no_products
/brands/bullpadel,brand,brand-bullpadel,bullpadel,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/drop-shot,brand,brand-drop-shot,drop-shot,HIDDEN_404,"noindex,nofollow",no,brand_hub_no_products
/brands/head,brand,brand-head-padel,head,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/hesacore,brand,brand-hesacore,hesacore,HIDDEN_404,"noindex,nofollow",no,brand_hub_no_products
/brands/joma,brand,brand-joma,joma,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/kuikma,brand,brand-kuikma,kuikma,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/lok,brand,brand-lok,lok,HIDDEN_404,"noindex,nofollow",no,brand_hub_insufficient_depth
/brands/nox,brand,brand-nox,nox,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/oxdog,brand,brand-oxdog,oxdog,HIDDEN_404,"noindex,nofollow",no,brand_hub_insufficient_depth
/brands/royal-padel,brand,brand-royal-padel,royal-padel,HIDDEN_404,"noindex,nofollow",no,brand_hub_insufficient_depth
/brands/siux,brand,brand-siux,siux,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/starvie,brand,brand-starvie,starvie,INDEXABLE,"index,follow",yes,brand_hub_ok
/brands/tecnifibre-padel,brand,brand-tecnifibre-padel,tecnifibre-padel,HIDDEN_404,"noindex,nofollow",no,brand_hub_insufficient_depth
/brands/varlion,brand,brand-varlion,varlion,HIDDEN_404,"noindex,nofollow",no,brand_hub_insufficient_depth
/brands/wilson,brand,brand-wilson-padel,wilson,INDEXABLE,"index,follow",yes,brand_hub_ok
/compare/babolat-technical-viper-2026-vs-wilson-bela-pro-v2-2026,comparison,cmp-babolat-wilson,babolat-technical-viper-2026-vs-wilson-bela-pro-v2-2026,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/babolat-technical-viper-vs-counter-viper,comparison,cmp-technical-vs-counter-viper,babolat-technical-viper-vs-counter-viper,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/bullpadel-hack-04-vs-adidas-metalbone-3-5,comparison,cmp-hack04-vs-metalbone35,bullpadel-hack-04-vs-adidas-metalbone-3-5,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/bullpadel-vertex-04-vs-vertex-05,comparison,cmp-vertex04-vs-vertex05,bullpadel-vertex-04-vs-vertex-05,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/bullpadel-vertex-05-vs-hack-04-2026,comparison,cmp-vertex05-vs-hack04,bullpadel-vertex-05-vs-hack-04-2026,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/bullpadel-vertex-05-vs-nox-at10-12k-2026,comparison,cmp-vertex05-vs-at10-12k,bullpadel-vertex-05-vs-nox-at10-12k-2026,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/bullpadel-vertex-05-vs-vertex-05-hybrid,comparison,cmp-vertex05-vs-hybrid,bullpadel-vertex-05-vs-vertex-05-hybrid,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/head-coello-pro-vs-babolat-technical-viper,comparison,cmp-coello-vs-technical-viper,head-coello-pro-vs-babolat-technical-viper,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/nox-at10-12k-vs-adidas-metalbone-2026,comparison,cmp-at10-12k-vs-metalbone,nox-at10-12k-vs-adidas-metalbone-2026,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/nox-at10-genius-12k-vs-at10-attack-18k-2026,comparison,cmp-at10-genius-vs-attack,nox-at10-genius-12k-vs-at10-attack-18k-2026,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/nox-at10-genius-18k-2026-vs-babolat-technical-viper-2026,comparison,cmp-nox-babolat,nox-at10-genius-18k-2026-vs-babolat-technical-viper-2026,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/compare/nox-ml10-pro-cup-vs-bullpadel-indiga-ctr,comparison,cmp-ml10-vs-indiga,nox-ml10-pro-cup-vs-bullpadel-indiga-ctr,INDEXABLE,"index,follow",yes,meaningful_decision_page|editorial_ready
/guides/beginner-padel-gear-guide,buying-guide,guide-beginner-padel-gear,beginner-padel-gear-guide,INDEXABLE,"index,follow",yes,guide_complete|editorial_ready
/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,guide-carbon-vs-fiberglass-padel,carbon-vs-fiberglass-padel-rackets,INDEXABLE,"index,follow",yes,guide_complete|editorial_ready
