issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status
PADEL-00001,HIGH,http://127.0.0.1:3012/products/bullpadel-custom-weight-grip,/products/bullpadel-custom-weight-grip,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00002,HIGH,http://127.0.0.1:3012/products/bullpadel-custom-weight-grip/alternatives,/products/bullpadel-custom-weight-grip/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00003,HIGH,http://127.0.0.1:3012/products/bullpadel-frame-protector-3-pack/alternatives,/products/bullpadel-frame-protector-3-pack/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00004,HIGH,http://127.0.0.1:3012/products/bullpadel-protector-custom-weight,/products/bullpadel-protector-custom-weight,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00005,HIGH,http://127.0.0.1:3012/products/bullpadel-protector-custom-weight/alternatives,/products/bullpadel-protector-custom-weight/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00006,HIGH,http://127.0.0.1:3012/products/nox-transparent-frame-protector/alternatives,/products/nox-transparent-frame-protector/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00007,HIGH,http://127.0.0.1:3012/products/nox-weight-balancer-2-4g,/products/nox-weight-balancer-2-4g,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00008,HIGH,http://127.0.0.1:3012/products/nox-weight-balancer-2-4g/alternatives,/products/nox-weight-balancer-2-4g/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00009,HIGH,http://127.0.0.1:3012/products/shockout-gravity,/products/shockout-gravity,product,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00010,HIGH,http://127.0.0.1:3012/products/shockout-gravity/alternatives,/products/shockout-gravity/alternatives,alternatives,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Padel Acce…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00011,HIGH,http://127.0.0.1:3012/reviews/adidas-courtquick-padel,/reviews/adidas-courtquick-padel,review,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Reviews Pa…,,Raw catalog/schema key is visible to users,OPEN
PADEL-00012,HIGH,http://127.0.0.1:3012/reviews/asics-gel-resolution-padel,/reviews/asics-gel-resolution-padel,review,RAW_SCHEMA_KEY,raw_public_spec_key,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear Tools Sports Gear Tools Compare Brands KITLETICS Home Reviews Pa…,,Raw catalog/schema key is visible to users,OPEN
