url,pageType,sport,publicationStatus,qualityStatus,launchEligibility,robots,canonical,inSitemap,inboundLinks,reason
/,Home,,published,N/A,INDEXABLE,"index,follow",/,yes,,static_home
/gear,Static,gear,published,N/A,INDEXABLE,"index,follow",/gear,yes,,static_trust_or_hub
/brands,Static,,published,N/A,INDEXABLE,"index,follow",/brands,yes,,static_trust_or_hub
/best,Static,,published,N/A,INDEXABLE,"index,follow",/best,yes,,static_trust_or_hub
/compare,Static,,published,N/A,INDEXABLE,"index,follow",/compare,yes,,static_trust_or_hub
/reviews,Static,,published,N/A,INDEXABLE,"index,follow",/reviews,yes,,static_trust_or_hub
/guides,Static,,published,N/A,INDEXABLE,"index,follow",/guides,yes,,static_trust_or_hub
/tools,Static,,published,N/A,INDEXABLE,"index,follow",/tools,yes,,static_trust_or_hub
/setups,Static,,published,N/A,INDEXABLE,"index,follow",/setups,yes,,static_trust_or_hub
/about,Static,,published,N/A,INDEXABLE,"index,follow",/about,yes,,static_trust_or_hub
/methodology,Static,,published,N/A,INDEXABLE,"index,follow",/methodology,yes,,static_trust_or_hub
/how-we-review,Static,,published,N/A,INDEXABLE,"index,follow",/how-we-review,yes,,static_trust_or_hub
/editorial-policy,Static,,published,N/A,INDEXABLE,"index,follow",/editorial-policy,yes,,static_trust_or_hub
/evidence-policy,Static,,published,N/A,INDEXABLE,"index,follow",/evidence-policy,yes,,static_trust_or_hub
/scoring-methodology,Static,,published,N/A,INDEXABLE,"index,follow",/scoring-methodology,yes,,static_trust_or_hub
/authors,Static,,published,N/A,INDEXABLE,"index,follow",/authors,yes,,static_trust_or_hub
/affiliate-disclosure,Static,,published,N/A,INDEXABLE,"index,follow",/affiliate-disclosure,yes,,static_trust_or_hub
/contact,Static,,published,N/A,INDEXABLE,"index,follow",/contact,yes,,static_trust_or_hub
/privacy,Static,,published,N/A,INDEXABLE,"index,follow",/privacy,yes,,static_trust_or_hub
/terms,Static,,published,N/A,INDEXABLE,"index,follow",/terms,yes,,static_trust_or_hub
/running,Sport,running,published,N/A,INDEXABLE,"index,follow",/running,yes,,vertical_enabled:running
/running/road,SportDiscipline,running,published,N/A,INDEXABLE,"index,follow",/running/road,yes,,discipline_under_indexable_sport_hub
/running/trail,SportDiscipline,running,published,N/A,INDEXABLE,"index,follow",/running/trail,yes,,discipline_under_indexable_sport_hub
/running/track,SportDiscipline,running,published,N/A,INDEXABLE,"index,follow",/running/track,yes,,discipline_under_indexable_sport_hub
/running/treadmill,SportDiscipline,running,published,N/A,INDEXABLE,"index,follow",/running/treadmill,yes,,discipline_under_indexable_sport_hub
/running/racing,SportDiscipline,running,published,N/A,INDEXABLE,"index,follow",/running/racing,yes,,discipline_under_indexable_sport_hub
/running/ultra,SportDiscipline,running,published,N/A,INDEXABLE,"index,follow",/running/ultra,yes,,discipline_under_indexable_sport_hub
/running/shoes,Category,running,published,N/A,INDEXABLE,"index,follow",/running/shoes,yes,,category_under_indexable_sport
/running/watches,Category,running,published,N/A,INDEXABLE,"index,follow",/running/watches,yes,,category_under_indexable_sport
/running/heart-rate-monitors,Category,running,published,N/A,INDEXABLE,"index,follow",/running/heart-rate-monitors,yes,,category_under_indexable_sport
/running/socks,Category,running,published,N/A,INDEXABLE,"index,follow",/running/socks,yes,,category_under_indexable_sport
