slug,group,vertical,categoryId,quality,clusterClass,maxPeerSimilarity,nearestPeer,editorialReady,eligReasons
adidas-adipower-weightlifting-2,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.588,ua-reign-lifter,true,vertical_hold
adidas-adipower-weightlifting-3,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.562,salming-rebel,true,vertical_hold
adidas-barricade-13,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.629,asics-gel-dedicate-8,true,vertical_hold
adidas-courtjam-control-3,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.548,babolat-jet-mach-3,true,vertical_hold
adidas-courtquick-padel-women,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.622,kuikma-ps-990,true,vertical_hold
adidas-courtstabil-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.595,joma-slam-lady,true,vertical_hold
adidas-crazyquick-boost-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.574,bullpadel-hybrid-fly,true,vertical_hold
adidas-crazyquick-boost-padel-women,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.585,bullpadel-ionic-woman,true,vertical_hold
adidas-dropset-2,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.593,nike-romaleos-4,true,vertical_hold
adidas-dropset-3,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.607,inov8-fastlift-360,true,vertical_hold
adidas-metalbone-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,GENUINELY_UNIQUE,0.397,nox-at10-genius-18k-2026,true,vertical_hold
adidas-metalbone-hrd-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.575,starvie-basalto-osiris-2026,true,vertical_hold
adidas-powerlift-5,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.583,ua-reign-lifter,true,vertical_hold
adidas-rapidmove-adv,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.603,salming-rebel,true,vertical_hold
adidas-solematch-control-2,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.603,asics-solution-speed-ff-3,true,vertical_hold
adidas-the-total,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.568,adidas-powerlift-5,true,vertical_hold
