slug,group,vertical,categoryId,quality,clusterClass,maxPeerSimilarity,nearestPeer,editorialReady,eligReasons
adidas-adipower-weightlifting-2,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.858,adidas-dropset-3,false,vertical_hold
adidas-adipower-weightlifting-3,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.836,nike-metcon-9,false,vertical_hold
adidas-adizero-adios-pro-4,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.855,mizuno-wave-rebellion-pro-3,false,content_uniqueness_hold|decisionScore=100|words=3601|quality_not_launch_ready
adidas-adizero-boston-12,DUPLICATIVE,HYROX,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.799,saucony-guide-18,false,content_uniqueness_hold|decisionScore=100|words=3539|quality_not_launch_ready
adidas-adizero-boston-13,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.804,new-balance-fuelcell-supercomp-elite-v4,false,content_uniqueness_hold|decisionScore=100|words=3656|quality_not_launch_ready
adidas-adizero-evo-sl,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.844,saucony-triumph-22,false,content_uniqueness_hold|decisionScore=100|words=3593|quality_not_launch_ready
adidas-barricade-13,DUPLICATIVE,Padel,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.831,asics-gel-resolution-9,false,vertical_hold
adidas-courtjam-control-3,DUPLICATIVE,Padel,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.817,babolat-jet-mach-3,false,vertical_hold
adidas-courtquick-padel-women,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.848,kuikma-ps-990,false,vertical_hold
adidas-courtstabil-padel,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.851,nox-ml10-hexa,false,vertical_hold
adidas-crazyquick-boost-padel,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.849,joma-t-slam,false,vertical_hold
adidas-crazyquick-boost-padel-women,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.817,bullpadel-ionic-woman,false,vertical_hold
adidas-dropset-2,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.843,nike-romaleos-4,false,vertical_hold
adidas-dropset-3,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.858,adidas-adipower-weightlifting-2,false,vertical_hold
adidas-metalbone-2026,DUPLICATIVE,Padel,cat-padel-rackets,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.815,adidas-metalbone-hrd-2026,false,vertical_hold
adidas-metalbone-hrd-2026,DUPLICATIVE,Padel,cat-padel-rackets,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.866,starvie-basalto-osiris-2026,false,vertical_hold
adidas-own-the-run-short-men,DUPLICATIVE,Running,cat-running-clothing,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.835,adidas-own-the-run-tee-men,false,content_uniqueness_hold|decisionScore=100|words=2982|quality_not_launch_ready
adidas-own-the-run-tee-men,DUPLICATIVE,Running,cat-running-clothing,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.835,adidas-own-the-run-short-men,false,content_uniqueness_hold|decisionScore=100|words=3022|quality_not_launch_ready
adidas-powerlift-5,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.842,puma-fuse-3,false,vertical_hold
adidas-rapidmove-adv,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.857,nike-metcon-9,false,vertical_hold
adidas-solematch-control-2,DUPLICATIVE,Padel,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.843,asics-solution-speed-ff-3,false,vertical_hold
adidas-terrex-agravic-3,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.789,nike-react-infinity-run-4,false,content_uniqueness_hold|decisionScore=100|words=3665|quality_not_launch_ready
adidas-the-total,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.818,inov8-fastlift-360,false,vertical_hold
adidas-ultraboost-5,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.852,altra-torin-8,false,content_uniqueness_hold|decisionScore=100|words=3523|quality_not_launch_ready
altra-escalante-4,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.810,mizuno-wave-rider-28,false,content_uniqueness_hold|decisionScore=100|words=3512|quality_not_launch_ready
altra-experience-flow,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.869,altra-torin-8,false,content_uniqueness_hold|decisionScore=100|words=3616|quality_not_launch_ready
altra-lone-peak-8,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.823,salomon-genesis,false,content_uniqueness_hold|decisionScore=100|words=3572|quality_not_launch_ready
altra-paradigm-7,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.830,new-balance-fuelcell-supercomp-elite-v4,false,content_uniqueness_hold|decisionScore=100|words=3610|quality_not_launch_ready
altra-torin-8,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.869,altra-experience-flow,false,content_uniqueness_hold|decisionScore=100|words=3547|quality_not_launch_ready
apple-watch-ultra-2,DUPLICATIVE,Fitness,cat-gps-watches,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.844,garmin-forerunner-570,false,content_uniqueness_hold|decisionScore=100|words=2699|quality_not_launch_ready
asics-core-split-short,DUPLICATIVE,Running,cat-running-clothing,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.834,smartwool-thermal-merino-glove,false,content_uniqueness_hold|decisionScore=100|words=2871|quality_not_launch_ready
asics-game-ff-padel,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.788,adidas-courtstabil-padel,false,vertical_hold
asics-gel-challenger-15,DUPLICATIVE,Padel,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.887,asics-gel-resolution-9,false,vertical_hold
asics-gel-challenger-court,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.865,asics-gel-dedicate-8-padel,false,vertical_hold
asics-gel-cumulus-27,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.815,asics-gel-nimbus-27,false,content_uniqueness_hold|decisionScore=100|words=3539|quality_not_launch_ready
asics-gel-dedicate-8,DUPLICATIVE,Padel,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.838,babolat-jet-mach-3,false,vertical_hold
asics-gel-dedicate-8-padel,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.874,asics-gel-resolution-padel,false,vertical_hold
asics-gel-nimbus-27,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.865,new-balance-fresh-foam-x-1080-v14,false,content_uniqueness_hold|decisionScore=100|words=3595|quality_not_launch_ready
asics-gel-quantum-360-8,DUPLICATIVE,Fitness,cat-training-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.860,reebok-nano-x3,false,vertical_hold
asics-gel-resolution-9,DUPLICATIVE,Tennis,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.887,asics-gel-challenger-15,false,vertical_hold
asics-gel-resolution-9-clay,DUPLICATIVE,Padel,cat-tennis-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.835,adidas-solematch-control-2,false,vertical_hold
asics-gel-resolution-padel,DUPLICATIVE,Padel,cat-padel-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.874,asics-gel-dedicate-8-padel,false,vertical_hold
asics-gel-trabuco-13,DUPLICATIVE,Running,cat-running-shoes,DUPLICATIVE,NEEDS_DIFFERENTIATION,0.816,inov8-trailfly-ultra-g-300-max,false,content_uniqueness_hold|decisionScore=100|words=3545|quality_not_launch_ready
