url,type,sport,quality,indexable,ready,robots,publicationState,reasons,in_sitemap
/,home,running,N/A,yes,yes,"index,follow",published,,yes
/about,sitemap,,,yes,no,"index,follow",published,,yes
/affiliate-disclosure,sitemap,,,yes,no,"index,follow",published,,yes
/authors,sitemap,,,yes,no,"index,follow",published,,yes
/authors/kitletics-editorial,sitemap,,,yes,no,"index,follow",published,,yes
/best,sitemap,,,yes,no,"index,follow",published,,yes
/best/carbon-plated-running-shoes,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/daily-trainers,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/handheld-running-bottles,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/heart-rate-monitors-chest-straps,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/heart-rate-monitors-intervals,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/heart-rate-monitors-running,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/hydration-marathon-training,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/hydration-vests-trail,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/hydration-vests-ultra,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/marathon-shoes,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/max-cushion-running-shoes,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/race-shoes,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-belts,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-clothing-hot-weather,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-gear-winter,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-headlamps,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-headphones,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-hydration-vests,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-jackets,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
/best/running-packs,best,,LAUNCH_READY,yes,yes,"index,follow",published,contextualDepth=high|editorial_ready,yes
