url,type,sport,quality,indexable,ready,publicationState,primaryReason,holdBucket
/best/carbon-plated-running-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/daily-trainers,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/handheld-running-bottles,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/heart-rate-monitors-chest-straps,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/heart-rate-monitors-intervals,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/heart-rate-monitors-running,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/hydration-marathon-training,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/hydration-vests-trail,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/hydration-vests-ultra,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/marathon-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/max-cushion-running-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/race-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-anti-chafe,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-belts,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-clothing-hot-weather,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-gear-winter,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-headlamps,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-headphones,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-hydration-vests,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-jackets,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-packs,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-race-fuel,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-rain-jackets,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-recovery-gear,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-safety-visibility,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-shoes-beginners,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-shoes-heavy-runners,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-shoes-long-runs,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-shoes-wide-feet,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-shorts,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-socks,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-sunglasses,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-tights,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-beginners,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-budget,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-marathon,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-music,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-small-wrists,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-trail,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/running-watches-ultra,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/stability-running-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/tempo-running-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/best/trail-running-shoes,best,,LAUNCH_READY,yes,yes,published,contextualDepth=high,LAUNCH_READY
/brands/adidas,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/adidas-padel,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/altra,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/amphipod,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/apple,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/asics,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/asics-racket,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/assault-fitness,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/babolat,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/black-diamond,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/blackroll,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/brooks,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/buff,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/bullpadel,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/camelbak,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/cep,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/concept2,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/coros,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/craft,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/eleiko,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/garmin,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/gornation,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/gravity-fitness,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/gu-energy,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/head,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/hoka,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/hydrapak,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/hyperice,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/inov-8,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/janji,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/joma,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/julbo,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/maurten,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/mirafit,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/mizuno,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/nathan,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/new-balance,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/nike,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/nobull,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/nox,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/oakley,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/on,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/osprey,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/patagonia,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/petzl,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/polar,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/powerblock,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/precision-fuel-hydration,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/pullup-and-dip,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/puma,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/reebok,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/rep-fitness,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/rogue,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/salomon,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/saucony,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/science-in-sport,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/shokz,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/suunto,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/tecnifibre,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/therabody,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/topo-athletic,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/tracksmith,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/tyr,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/ultimate-direction,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/ultraspire,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/under-armour,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/wahoo,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/wilson,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/brands/yonex,brand,,READY,yes,yes,published,brand_hub_ok,brand_hub_ok
/compare,tool,,available,yes,yes,published,tool_available,tool_available
/compare/apple-watch-ultra-3-vs-apple-watch-ultra-2,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-gel-kayano-32-vs-brooks-adrenaline-gts-25,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-4-vs-asics-novablast-5,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-5-vs-asics-gel-nimbus-27,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-5-vs-brooks-ghost-16,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-6-vs-asics-gel-nimbus-27,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-6-vs-asics-novablast-5,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-6-vs-brooks-ghost-18,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/asics-novablast-6-vs-hoka-clifton-10,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/black-diamond-distance-22-vs-ultimate-direction-fastpack-20,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/black-diamond-spot-400-r-vs-petzl-actik-core,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/brooks-ghost-18-vs-nike-pegasus-42,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/camelbak-zephyr-pro-vs-camelbak-apex-pro,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/clif-bloks-vs-gu-chews,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/coros-apex-4-vs-garmin-fenix-8,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/coros-hrm-vs-polar-verity-sense,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/coros-pace-4-vs-garmin-forerunner-165,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/coros-pace-pro-vs-coros-pace-4,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/feetures-elite-vs-darn-tough-run,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/flipbelt-classic-vs-naked-running-band,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-fenix-8-vs-garmin-forerunner-970,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-forerunner-970-vs-coros-pace-pro,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-forerunner-970-vs-garmin-forerunner-965,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-hrm-600-vs-hrm-pro-plus,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-hrm-600-vs-polar-h10,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-hrm-pro-plus-vs-polar-h10,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/garmin-vivoactive-6-vs-garmin-forerunner-165,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/hoka-speedgoat-6-vs-saucony-peregrine-15,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/hydrapak-softflask-speed-500-vs-hydrapak-skyflask-speed-500,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/julbo-ultimate-vs-smith-shift-mag,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/maurten-drink-mix-320-vs-tailwind-endurance,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/maurten-gel-100-vs-precision-pf30-gel,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
/compare/maurten-gel-100-vs-sis-go-isotonic-gel,comparison,,MEANINGFUL,yes,yes,published,meaningful_decision_page,MEANINGFUL
