URL,type,sport,quality,indexable,canonical,inbound_links,publication_state,launch_disposition,reason
/,Home,,N/A,yes,/,1,published,INDEXABLE,static_home
/gear,Static,,N/A,yes,/gear,2,published,INDEXABLE,static_trust_or_hub
/brands,Static,,N/A,yes,/brands,2,published,INDEXABLE,static_trust_or_hub
/best,Static,,N/A,yes,/best,2,published,INDEXABLE,static_trust_or_hub
/compare,Static,,N/A,yes,/compare,3,published,INDEXABLE,static_trust_or_hub
/reviews,Static,,N/A,yes,/reviews,2,published,INDEXABLE,static_trust_or_hub
/guides,Static,,N/A,yes,/guides,2,published,INDEXABLE,static_trust_or_hub
/tools,Static,,N/A,yes,/tools,2,published,INDEXABLE,static_trust_or_hub
/setups,Static,,N/A,yes,/setups,1,published,INDEXABLE,static_trust_or_hub
/about,Static,,N/A,yes,/about,0,published,INDEXABLE,static_trust_or_hub
/methodology,Static,,N/A,yes,/methodology,0,published,INDEXABLE,static_trust_or_hub
/how-we-review,Static,,N/A,yes,/how-we-review,0,published,INDEXABLE,static_trust_or_hub
/editorial-policy,Static,,N/A,yes,/editorial-policy,0,published,INDEXABLE,static_trust_or_hub
/evidence-policy,Static,,N/A,yes,/evidence-policy,0,published,INDEXABLE,static_trust_or_hub
/scoring-methodology,Static,,N/A,yes,/scoring-methodology,0,published,INDEXABLE,static_trust_or_hub
/authors,Static,,N/A,yes,/authors,0,published,INDEXABLE,static_trust_or_hub
/affiliate-disclosure,Static,,N/A,yes,/affiliate-disclosure,0,published,INDEXABLE,static_trust_or_hub
/contact,Static,,N/A,yes,/contact,0,published,INDEXABLE,static_trust_or_hub
/privacy,Static,,N/A,yes,/privacy,0,published,INDEXABLE,static_trust_or_hub
/terms,Static,,N/A,yes,/terms,0,published,INDEXABLE,static_trust_or_hub
/running,Sport,running,N/A,yes,/running,5,published,INDEXABLE,vertical_enabled:running
/running/road,SportDiscipline,running,N/A,yes,/running/road,0,published,INDEXABLE,discipline_under_indexable_sport
/running/trail,SportDiscipline,running,N/A,yes,/running/trail,0,published,INDEXABLE,discipline_under_indexable_sport
/running/track,SportDiscipline,running,N/A,yes,/running/track,0,published,INDEXABLE,discipline_under_indexable_sport
/running/treadmill,SportDiscipline,running,N/A,yes,/running/treadmill,0,published,INDEXABLE,discipline_under_indexable_sport
/running/racing,SportDiscipline,running,N/A,yes,/running/racing,0,published,INDEXABLE,discipline_under_indexable_sport
/running/ultra,SportDiscipline,running,N/A,yes,/running/ultra,0,published,INDEXABLE,discipline_under_indexable_sport
/running/shoes,Category,running,N/A,yes,/running/shoes,0,published,INDEXABLE,category_under_indexable_sport
/running/watches,Category,running,N/A,yes,/running/watches,0,published,INDEXABLE,category_under_indexable_sport
/running/heart-rate-monitors,Category,running,N/A,yes,/running/heart-rate-monitors,0,published,INDEXABLE,category_under_indexable_sport
/running/socks,Category,running,N/A,yes,/running/socks,0,published,INDEXABLE,category_under_indexable_sport
/running/hydration,Category,running,N/A,yes,/running/hydration,0,published,INDEXABLE,category_under_indexable_sport
/running/packs,Category,running,N/A,yes,/running/packs,0,published,INDEXABLE,category_under_indexable_sport
/running/headphones,Category,running,N/A,yes,/running/headphones,0,published,INDEXABLE,category_under_indexable_sport
/running/lights,Category,running,N/A,yes,/running/lights,0,published,INDEXABLE,category_under_indexable_sport
/running/safety,Category,running,N/A,yes,/running/safety,0,published,INDEXABLE,category_under_indexable_sport
/running/belts,Category,running,N/A,yes,/running/belts,0,published,INDEXABLE,category_under_indexable_sport
/running/recovery,Category,running,N/A,yes,/running/recovery,0,published,INDEXABLE,category_under_indexable_sport
/running/shoes/daily-trainers,Subcategory,running,N/A,yes,/running/shoes/daily-trainers,0,published,INDEXABLE,use_case_listing
/running/shoes/race,Subcategory,running,N/A,yes,/running/shoes/race,0,published,INDEXABLE,use_case_listing
/running/shoes/stability,Subcategory,running,N/A,yes,/running/shoes/stability,0,published,INDEXABLE,use_case_listing
/running/shoes/trail,Subcategory,running,N/A,yes,/running/shoes/trail,0,published,INDEXABLE,use_case_listing
/running/shoes/heavy-runners,Subcategory,running,N/A,yes,/running/shoes/heavy-runners,0,published,INDEXABLE,use_case_listing
/products/asics-novablast-5,Product,running,LAUNCH_READY,yes,/products/asics-novablast-5,5,published,INDEXABLE,decisionScore=100
/products/asics-novablast-5/alternatives,Alternatives,running,N/A,yes,/products/asics-novablast-5/alternatives,0,published,INDEXABLE,alternatives_ok
/products/asics-novablast-4,Product,running,LAUNCH_READY,yes,/products/asics-novablast-4,2,published,INDEXABLE,decisionScore=100
/products/asics-gel-nimbus-27,Product,running,LAUNCH_READY,yes,/products/asics-gel-nimbus-27,7,published,INDEXABLE,decisionScore=100
/products/asics-gel-nimbus-27/alternatives,Alternatives,running,N/A,yes,/products/asics-gel-nimbus-27/alternatives,0,published,INDEXABLE,alternatives_ok
/products/nike-pegasus-41,Product,running,LAUNCH_READY,yes,/products/nike-pegasus-41,1,published,INDEXABLE,decisionScore=100
/products/brooks-ghost-16,Product,running,LAUNCH_READY,yes,/products/brooks-ghost-16,2,published,INDEXABLE,decisionScore=100
/products/brooks-ghost-16/alternatives,Alternatives,running,N/A,yes,/products/brooks-ghost-16/alternatives,0,published,INDEXABLE,alternatives_ok
/products/hoka-clifton-9,Product,running,LAUNCH_READY,yes,/products/hoka-clifton-9,1,published,INDEXABLE,decisionScore=100
/products/saucony-endorphin-speed-4,Product,running,LAUNCH_READY,yes,/products/saucony-endorphin-speed-4,1,published,INDEXABLE,decisionScore=100
/products/saucony-endorphin-speed-4/alternatives,Alternatives,running,N/A,yes,/products/saucony-endorphin-speed-4/alternatives,0,published,INDEXABLE,alternatives_ok
/products/adidas-adizero-boston-12,Product,running|hyrox,LAUNCH_READY,yes,/products/adidas-adizero-boston-12,3,published,INDEXABLE,decisionScore=100
/products/adidas-adizero-boston-12/alternatives,Alternatives,running|hyrox,N/A,yes,/products/adidas-adizero-boston-12/alternatives,0,published,INDEXABLE,alternatives_ok
/products/garmin-forerunner-965,Product,running|cycling|swimming,LAUNCH_READY,yes,/products/garmin-forerunner-965,2,published,INDEXABLE,decisionScore=100
/products/garmin-forerunner-965/alternatives,Alternatives,running|cycling|swimming,N/A,yes,/products/garmin-forerunner-965/alternatives,0,published,INDEXABLE,alternatives_ok
/products/garmin-forerunner-255,Product,running,LAUNCH_READY,yes,/products/garmin-forerunner-255,1,published,INDEXABLE,decisionScore=100
