url,type,sport,quality,indexable,ready,robots,publicationState,reasons,in_sitemap
/fitness,sport,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/hyrox,sport,hyrox,BLOCKED,no,no,"noindex,nofollow",published,hyrox_alias_redirect_only,no
/calisthenics,sport,calisthenics,N/A,no,no,"noindex,follow",published,vertical_hub_hold:calisthenics:disabled,no
/combat,sport,combat,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/racket,sport,racket,N/A,no,no,"noindex,follow",published,vertical_hub_hold:racket:disabled,no
/padel,sport,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/tennis,sport,tennis,N/A,no,no,"noindex,follow",published,vertical_hub_hold:tennis:disabled,no
/pickleball,sport,pickleball,N/A,no,no,"noindex,follow",published,vertical_hub_hold:sport-pickleball:disabled,no
/badminton,sport,badminton,N/A,no,no,"noindex,follow",published,vertical_hub_hold:sport-badminton:disabled,no
/squash,sport,squash,N/A,no,no,"noindex,follow",published,vertical_hub_hold:sport-squash:disabled,no
/cycling,sport,cycling,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/swimming,sport,swimming,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/watersports,sport,watersports,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/diving,sport,diving,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/fishing,sport,fishing,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/target,sport,target,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/indoor,sport,indoor,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/winter,sport,winter,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/recovery,sport,recovery,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/recreation,sport,recreation,BLOCKED,no,no,"noindex,nofollow",published,sport_not_live:coming-soon,no
/padel/rackets,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/tennis/rackets,category,tennis,N/A,no,no,"noindex,follow",published,vertical_hub_hold:tennis:disabled,no
/fitness/training-shoes,category,fitness|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/padel/shoes,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/tennis/shoes,category,tennis,N/A,no,no,"noindex,follow",published,vertical_hub_hold:tennis:disabled,no
/fitness/adjustable-dumbbells,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/padel/bags,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/tennis/strings,category,tennis,N/A,no,no,"noindex,follow",published,vertical_hub_hold:tennis:disabled,no
/fitness/power-racks,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/padel/balls,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/pickleball/paddles,category,pickleball,N/A,no,no,"noindex,follow",published,vertical_hub_hold:sport-pickleball:disabled,no
/fitness/weight-benches,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/padel/grips,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/badminton/rackets,category,badminton,N/A,no,no,"noindex,follow",published,vertical_hub_hold:sport-badminton:disabled,no
/fitness/barbells,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/padel/accessories,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/squash/rackets,category,squash,N/A,no,no,"noindex,follow",published,vertical_hub_hold:sport-squash:disabled,no
/fitness/weight-plates,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/padel/clothing,category,padel,N/A,no,no,"noindex,follow",published,vertical_hub_hold:padel:disabled,no
/fitness/kettlebells,category,fitness|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/rowing-machines,category,fitness|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/air-bikes,category,fitness|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/treadmills,category,fitness|running|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/ski-ergs,category,fitness|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/pull-up-bars,category,fitness|calisthenics,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/parallettes,category,fitness|calisthenics,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/running/accessories,category,running|fitness|hyrox,N/A,no,no,"index,follow",published,vertical_enabled:running,no
/fitness/gymnastic-rings,category,fitness|calisthenics,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/weighted-vests,category,fitness|calisthenics|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/functional-fitness,category,fitness|hyrox,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/gym-flooring,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/gym-storage,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
/fitness/lifting-accessories,category,fitness,N/A,no,no,"noindex,follow",published,vertical_hub_hold:fitness:selective,no
