url,type,sport,quality,indexable,ready,publicationState,primaryReason,holdBucket
/badminton/rackets,category,sport-badminton,no_config,no,no,published,vertical_hub_hold:sport-badminton:disabled,vertical_hold
/best/adjustable-benches,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/adjustable-dumbbells,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/air-bikes,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/heart-rate-monitors-hyrox,best,,LAUNCH_READY,no,yes,published,vertical_hold:hyrox:disabled,vertical_hold
/best/home-gym-equipment,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/hyrox-shoes,best,,LAUNCH_READY,no,yes,published,vertical_hold:hyrox:disabled,vertical_hold
/best/padel-rackets,best,,LAUNCH_READY,no,yes,published,vertical_hold:padel:disabled,vertical_hold
/best/power-racks,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/pull-up-bars,best,,LAUNCH_READY,no,yes,published,vertical_hold:calisthenics:disabled,vertical_hold
/best/rowing-machines,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/tennis-rackets,best,,LAUNCH_READY,no,yes,published,vertical_hold:tennis:disabled,vertical_hold
/best/training-shoes,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/treadmills-for-home,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/best/weight-plates,best,,LAUNCH_READY,no,yes,published,vertical_hold:fitness:selective,vertical_hold
/brands/100-percent,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/226ers,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/2toms,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/2xu,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/amazfit,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/atx,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/balega,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/bear-komplex,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/beats,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/biolite,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/black-crown,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/body-glide,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/bombas,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/bose,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/bowflex,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/brazyn,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/ciele,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/clif-bar,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/compressport,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/darn-tough,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/decathlon,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/dirty-girl,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/do-win,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/domyos,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/drop-shot,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/drymax,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/dunlop,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/enervit,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/feetures,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/fenix,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/fitletic,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/flipbelt,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/goodr,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/high5,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/hilly,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/honey-stinger,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/horizon-fitness,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/huawei,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/huma,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/hydrow,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/injinji,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/jabra,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/joola,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/k-swiss,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/knog,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/kuikma,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/ledlenser,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/leki,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/li-ning,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/lok,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/lululemon,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/luxilon,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/naak,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/naked,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/neversecond,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/night-runner,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/nite-ize,brand,,HOLD_NO_PRODUCTS,no,no,published,brand_hub_no_products,HOLD_NO_PRODUCTS
/brands/nitecore,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/nnormal,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/nuobell,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
/brands/nuun,brand,,HOLD_INSUFFICIENT_DEPTH,no,no,published,brand_hub_insufficient_depth,HOLD_INSUFFICIENT_DEPTH
