URL,type,sport,quality,disposition,publication_state,hold_class,reason
/fitness,Sport,fitness,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:fitness:selective
/hyrox,Sport,hyrox,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,hyrox_alias_redirect_only
/calisthenics,Sport,calisthenics,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:calisthenics:disabled
/combat,Sport,combat,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/racket,Sport,racket,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:racket:disabled
/padel,Sport,padel,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:padel:disabled
/tennis,Sport,tennis,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:tennis:disabled
/pickleball,Sport,pickleball,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:sport-pickleball:disabled
/badminton,Sport,badminton,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:sport-badminton:disabled
/squash,Sport,squash,N/A,PUBLIC_NOINDEX,published,vertical_or_sport_hold,vertical_hub_hold:sport-squash:disabled
/cycling,Sport,cycling,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/swimming,Sport,swimming,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/watersports,Sport,watersports,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/diving,Sport,diving,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/fishing,Sport,fishing,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/target,Sport,target,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/indoor,Sport,indoor,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/winter,Sport,winter,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/recovery,Sport,recovery,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/recreation,Sport,recreation,BLOCKED,HIDDEN_404,published,vertical_or_sport_hold,sport_not_live:coming-soon
/products/new-balance-fuelcell-rebel-v4,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,decisionScore=90|missing:whatIsThis|minor_work_held
/products/oakley-radar-ev-path,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/oakley-sutro-lite,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/oakley-kato,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/oakley-flak-2-0-xl,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/smith-shift-mag,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/smith-attack-mag,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/julbo-ultimate,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/julbo-rush,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/rudy-project-cutline,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/100-percent-s3,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/roka-phantom-air,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/tifosi-rail,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/tifosi-vogel,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/goodr-circle-gs,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:sunglasses
/products/maurten-gel-100,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/maurten-gel-100-caf-100,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/maurten-gel-160,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/sis-go-isotonic-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/sis-beta-fuel-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/gu-energy-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/gu-roctane-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/precision-pf30-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/neversecond-c30-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/spring-energy-awesome-sauce,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/huma-gel-original,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/honey-stinger-organic-energy-gel,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/clif-bloks-energy-chews,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/gu-energy-chews,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/skratch-sport-energy-chews,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/veloforte-energy-chews,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/saltstick-fastchews,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/clif-bar-original,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/naak-ultra-energy-bar,Product,running,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
/products/powerbar-energize,Product,running|cycling,NEEDS_MINOR_WORK,PUBLIC_NOINDEX,published,public_noindex,soft_gated_category:nutrition-fuel
