issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status
RQ-00001,BLOCKER,http://127.0.0.1:3020/brands/adidas-padel,/brands/adidas-padel,brand,IMAGE_SEMANTIC,WRONG_SPORT,"Adidas Padel Products, Reviews & Buying Guides · Kitletics",running_shoe_cross_sport:/images/home/guide-running-shoes.jpg,WRONG_SPORT:running_shoe_cross_sport:/images/home/guide-running-shoes.jpg,OPEN
RQ-00002,BLOCKER,http://127.0.0.1:3020/brands/bullpadel,/brands/bullpadel,brand,IMAGE_SEMANTIC,WRONG_SPORT,"Bullpadel Products, Reviews & Buying Guides · Kitletics",running_shoe_cross_sport:/images/home/guide-running-shoes.jpg,WRONG_SPORT:running_shoe_cross_sport:/images/home/guide-running-shoes.jpg,OPEN
RQ-00003,BLOCKER,http://127.0.0.1:3020/brands/nox,/brands/nox,brand,IMAGE_SEMANTIC,WRONG_SPORT,Rendered HTML includes /images/home/guide-running-shoes.jpg on a non-running brand hub,/images/home/guide-running-shoes.jpg,Padel/fitness brand hub still associates a running-shoe guide photograph,OPEN
RQ-00004,BLOCKER,http://127.0.0.1:3020/brands/tyr,/brands/tyr,brand,IMAGE_SEMANTIC,WRONG_SPORT,Rendered HTML includes /images/home/guide-running-shoes.jpg on a non-running brand hub,/images/home/guide-running-shoes.jpg,Padel/fitness brand hub still associates a running-shoe guide photograph,OPEN
RQ-00005,BLOCKER,http://127.0.0.1:3020/products/asics-novablast-6,/products/asics-novablast-6,product,DECISION_COPY,BROKEN,I'd pause if not a stability shoe shows up often in your week.,,Rendered decision copy classified BROKEN,OPEN
RQ-00006,BLOCKER,http://127.0.0.1:3020/products/brooks-canopy-jacket-men,/products/brooks-canopy-jacket-men,product,DECISION_COPY,BROKEN,Look elsewhere if not a fully waterproof race shell.,,Rendered decision copy classified BROKEN,OPEN
RQ-00007,BLOCKER,http://127.0.0.1:3020/products/brooks-method-tight-women,/products/brooks-method-tight-women,product,DECISION_COPY,BROKEN,Look elsewhere if Not a race-day half-tight aesthetic.,,Rendered decision copy classified BROKEN,OPEN
RQ-00008,BLOCKER,http://127.0.0.1:3020/products/high5-zero,/products/high5-zero,product,DECISION_COPY,BROKEN,Look elsewhere if not a carbohydrate fuel.,,Rendered decision copy classified BROKEN,OPEN
RQ-00009,BLOCKER,http://127.0.0.1:3020/products/mirafit-folding-treadmill,/products/mirafit-folding-treadmill,product,DECISION_COPY,BROKEN,Look elsewhere if not a commercial curved sprint deck.,,Rendered decision copy classified BROKEN,OPEN
RQ-00010,BLOCKER,http://127.0.0.1:3020/products/nuun-sport,/products/nuun-sport,product,DECISION_COPY,BROKEN,Look elsewhere if not a primary carbohydrate source.,,Rendered decision copy classified BROKEN,OPEN
