category_slug,products_total,products_LR,reviews_total,reviews_LR,reviews_indexable,best_total,best_LR,best_indexable,guides_complete,guides_indexable,comparisons_total,comparisons_indexable,finders_tools,media_coverage_note,offer_coverage_note,indexable_urls_approx,status
running-shoes,83,82,83,17,17,13,13,13,12,12,12,12,3,83/83 primary media (100%),83/83 with offers (100%),140,READY_WITH_MINOR_ISSUES
gps-watches,33,33,33,20,20,8,8,8,5,5,10,10,1,33/33 primary media (100%),33/33 with offers (100%),78,READY
heart-rate-monitors,15,15,15,4,4,3,3,3,2,2,6,6,1,15/15 primary media (100%),15/15 with offers (100%),32,READY
running-clothing,57,53,57,0,0,6,6,6,3,0,8,1,1,57/57 primary media (100%),57/57 with offers (100%),8,HOLD
running-socks,10,10,10,1,1,1,1,1,1,1,1,1,1,10/10 primary media (100%),10/10 with offers (100%),16,READY
hydration,17,17,17,0,0,1,1,1,4,4,1,1,1,17/17 primary media (100%),17/17 with offers (100%),25,READY
running-packs-vests,35,35,35,0,0,5,5,5,2,2,11,11,1,35/35 primary media (100%),35/35 with offers (100%),55,READY
headphones,11,11,11,0,0,1,1,1,1,1,3,2,1,11/11 primary media (100%),11/11 with offers (100%),17,READY
sunglasses,17,17,17,0,0,1,1,1,0,0,2,0,1,17/17 primary media (100%),17/17 with offers (100%),2,HOLD
running-lights,9,9,9,0,0,1,1,1,1,1,3,3,1,9/9 primary media (100%),9/9 with offers (100%),16,READY
treadmills,3,3,3,0,0,0,0,0,0,0,1,0,1,3/3 primary media (100%),3/3 with offers (100%),5,READY
safety-gear,6,6,6,1,1,1,1,1,0,0,2,1,1,6/6 primary media (100%),6/6 with offers (100%),11,READY
running-belts,14,14,14,0,0,1,1,1,1,1,2,2,1,14/14 primary media (100%),14/14 with offers (100%),20,READY
recovery,16,16,16,0,0,1,1,1,5,5,6,5,1,16/16 primary media (100%),16/16 with offers (100%),29,READY
accessories,3,3,3,0,0,0,0,0,0,0,0,0,1,3/3 primary media (100%),3/3 with offers (100%),1,HOLD
nutrition-fuel,38,38,38,0,0,1,1,1,4,0,6,0,1,38/38 primary media (100%),38/38 with offers (100%),2,HOLD
