URL,page_type,sport,publication_status,quality_status,launch_eligibility,robots,canonical,HTTP_status,in_sitemap,inbound_internal_links,reason
/,Home,,published,N/A,INDEXABLE,"index,follow",/,200,yes,1,static_home
/about,Static,,published,N/A,INDEXABLE,"index,follow",/about,200,yes,0,static_trust_or_hub
/affiliate-disclosure,Static,,published,N/A,INDEXABLE,"index,follow",/affiliate-disclosure,200,yes,0,static_trust_or_hub
/authors,Static,,published,N/A,INDEXABLE,"index,follow",/authors,200,yes,0,static_trust_or_hub
/authors/kitletics-editorial,Author,,published,N/A,INDEXABLE,"index,follow",/authors/kitletics-editorial,200,yes,0,author_ok
/badminton,Sport,badminton,published,N/A,PUBLIC_NOINDEX,"noindex,follow",/badminton,,no,0,vertical_hub_hold:sport-badminton:disabled
/best,Static,,published,N/A,INDEXABLE,"index,follow",/best,200,yes,2,static_trust_or_hub
/best/adjustable-benches,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/adjustable-benches,,no,1,vertical_hold:fitness:selective
/best/adjustable-dumbbells,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/adjustable-dumbbells,,no,1,vertical_hold:fitness:selective
/best/air-bikes,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/air-bikes,,no,1,vertical_hold:fitness:selective
/best/carbon-plated-running-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/carbon-plated-running-shoes,200,yes,1,contextualDepth=high
/best/daily-trainers,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/daily-trainers,200,yes,1,contextualDepth=high
/best/handheld-running-bottles,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/handheld-running-bottles,200,yes,1,contextualDepth=high
/best/heart-rate-monitors-chest-straps,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/heart-rate-monitors-chest-straps,200,yes,1,contextualDepth=high
/best/heart-rate-monitors-hyrox,Best,hyrox,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/heart-rate-monitors-hyrox,,no,1,vertical_hold:hyrox:disabled
/best/heart-rate-monitors-intervals,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/heart-rate-monitors-intervals,200,yes,1,contextualDepth=high
/best/heart-rate-monitors-running,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/heart-rate-monitors-running,200,yes,1,contextualDepth=high
/best/home-gym-equipment,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/home-gym-equipment,,no,1,vertical_hold:fitness:selective
/best/hydration-marathon-training,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/hydration-marathon-training,200,yes,1,contextualDepth=high
/best/hydration-vests-trail,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/hydration-vests-trail,200,yes,1,contextualDepth=high
/best/hydration-vests-ultra,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/hydration-vests-ultra,200,yes,1,contextualDepth=high
/best/hyrox-shoes,Best,hyrox,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/hyrox-shoes,,no,1,vertical_hold:hyrox:disabled
/best/marathon-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/marathon-shoes,200,yes,1,contextualDepth=high
/best/max-cushion-running-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/max-cushion-running-shoes,200,yes,1,contextualDepth=high
/best/padel-rackets,Best,padel,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/padel-rackets,,no,1,vertical_hold:padel:disabled
/best/power-racks,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/power-racks,,no,1,vertical_hold:fitness:selective
/best/pull-up-bars,Best,calisthenics,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/pull-up-bars,,no,1,vertical_hold:calisthenics:disabled
/best/race-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/race-shoes,200,yes,1,contextualDepth=high
/best/rowing-machines,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/rowing-machines,,no,1,vertical_hold:fitness:selective
/best/running-belts,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-belts,200,yes,1,contextualDepth=high
/best/running-clothing-hot-weather,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-clothing-hot-weather,200,yes,1,contextualDepth=high
/best/running-gear-winter,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-gear-winter,200,yes,1,contextualDepth=high
/best/running-headlamps,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-headlamps,200,yes,1,contextualDepth=high
/best/running-headphones,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-headphones,200,yes,1,contextualDepth=high
/best/running-hydration-vests,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-hydration-vests,200,yes,1,contextualDepth=high
/best/running-jackets,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-jackets,200,yes,1,contextualDepth=high
/best/running-packs,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-packs,200,yes,1,contextualDepth=high
/best/running-race-fuel,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-race-fuel,200,yes,1,contextualDepth=high
/best/running-rain-jackets,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-rain-jackets,200,yes,1,contextualDepth=high
/best/running-recovery-gear,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-recovery-gear,200,yes,1,contextualDepth=high
/best/running-safety-visibility,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-safety-visibility,200,yes,1,contextualDepth=high
/best/running-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-shoes,200,yes,1,contextualDepth=high
/best/running-shoes-beginners,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-shoes-beginners,200,yes,1,contextualDepth=high
/best/running-shoes-heavy-runners,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-shoes-heavy-runners,200,yes,1,contextualDepth=high
/best/running-shoes-long-runs,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-shoes-long-runs,200,yes,1,contextualDepth=high
/best/running-shoes-wide-feet,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-shoes-wide-feet,200,yes,1,contextualDepth=high
/best/running-shorts,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-shorts,200,yes,1,contextualDepth=high
/best/running-socks,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-socks,200,yes,1,contextualDepth=high
/best/running-sunglasses,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-sunglasses,200,yes,1,contextualDepth=high
/best/running-tights,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-tights,200,yes,1,contextualDepth=high
/best/running-watches,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches,200,yes,1,contextualDepth=high
/best/running-watches-beginners,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-beginners,200,yes,1,contextualDepth=high
/best/running-watches-budget,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-budget,200,yes,1,contextualDepth=high
/best/running-watches-marathon,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-marathon,200,yes,1,contextualDepth=high
/best/running-watches-music,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-music,200,yes,1,contextualDepth=high
/best/running-watches-small-wrists,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-small-wrists,200,yes,1,contextualDepth=high
/best/running-watches-trail,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-trail,200,yes,1,contextualDepth=high
/best/running-watches-ultra,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/running-watches-ultra,200,yes,1,contextualDepth=high
/best/stability-running-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/stability-running-shoes,200,yes,1,contextualDepth=high
/best/tempo-running-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/tempo-running-shoes,200,yes,1,contextualDepth=high
/best/tennis-rackets,Best,tennis,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/tennis-rackets,,no,1,vertical_hold:tennis:disabled
/best/trail-running-shoes,Best,running,published,LAUNCH_READY,INDEXABLE,"index,follow",/best/trail-running-shoes,200,yes,1,contextualDepth=high
/best/training-shoes,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/training-shoes,,no,1,vertical_hold:fitness:selective
/best/treadmills-for-home,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/treadmills-for-home,,no,1,vertical_hold:fitness:selective
/best/weight-plates,Best,fitness,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/best/weight-plates,,no,1,vertical_hold:fitness:selective
/brands,Static,,published,N/A,INDEXABLE,"index,follow",/brands,200,yes,2,static_trust_or_hub
/brands/100-percent,Brand,,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/brands/100-percent,,no,0,brand_hub_not_indexable
/brands/226ers,Brand,,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/brands/226ers,,no,0,brand_hub_not_indexable
/brands/2toms,Brand,,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/brands/2toms,,no,0,brand_hub_not_indexable
/brands/2xu,Brand,,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/brands/2xu,,no,0,brand_hub_not_indexable
/brands/adidas,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/adidas,200,yes,0,brand_hub_ok
/brands/adidas-padel,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/adidas-padel,200,yes,0,brand_hub_ok
/brands/altra,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/altra,200,yes,0,brand_hub_ok
/brands/amazfit,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/amazfit,200,yes,0,brand_hub_ok
/brands/amphipod,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/amphipod,200,yes,0,brand_hub_ok
/brands/apple,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/apple,200,yes,0,brand_hub_ok
/brands/asics,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/asics,200,yes,0,brand_hub_ok
/brands/asics-racket,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/asics-racket,200,yes,0,brand_hub_ok
/brands/assault-fitness,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/assault-fitness,200,yes,0,brand_hub_ok
/brands/atx,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/atx,200,yes,0,brand_hub_ok
/brands/babolat,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/babolat,200,yes,0,brand_hub_ok
/brands/balega,Brand,,published,N/A,INDEXABLE,"index,follow",/brands/balega,200,yes,0,brand_hub_ok
/brands/bear-komplex,Brand,,published,BLOCKED,HIDDEN_404,"noindex,nofollow",/brands/bear-komplex,,no,0,brand_hub_not_indexable
