issue_id,severity,url,page_type,entity_slug,section,issue_class,issue_subclass,rendered_excerpt,image_path,related_entity,root_cause,source_file,source_field,transform,component,detector_that_should_have_caught_it,why_detector_missed,recommended_fix_class,confidence,status
RQ-00001,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,verdict,TOKEN_LEAK,skuslug|skuid|value_field_slug|slug_field_value,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadios…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,verdict,enrichReviewForPage preserves overlay,ReviewPage/verdict,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00002,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,verdict,TOKEN_LEAK,skuslug|skuid|value_field_slug|slug_field_value,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadios…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,verdict,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/verdict,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00003,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,final_verdict,TOKEN_LEAK,skuslug|skuid|value_field_slug|slug_field_value,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadios…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,final_verdict,enrichReviewForPage preserves overlay,ReviewPage/bottomLine,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00004,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,final_verdict,TOKEN_LEAK,skuslug|skuid|value_field_slug|slug_field_value,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadios…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,final_verdict,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/bottomLine,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00005,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,summary,TOKEN_LEAK,skuslug|skuid|value_field_slug|slug_field_value,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadios…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,summary,enrichReviewForPage preserves overlay,ReviewPage/summary,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00006,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,summary,TOKEN_LEAK,skuslug|skuid|value_field_slug|slug_field_value,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadios…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,summary,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/summary,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00007,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,how_we_assessed,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value|strengths_on_file|limits_on_file,Kitletics Expert Research Review. How we assessed it: Adidas Adizero Adios Pro 4 as a carbon race shoe. skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 3…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,how_we_assessed,enrichReviewForPage preserves overlay,ReviewPage/testingContext,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00008,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,how_we_assessed,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value|strengths_on_file|limits_on_file,Kitletics Expert Research Review. How we assessed it: Adidas Adizero Adios Pro 4 as a carbon race shoe. skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 3…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,how_we_assessed,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/testingContext,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00009,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,section:sec-cushioning,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Cushioning 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeeladidasadizeroadiospro4 adidasadizeroadiospro4stabilityneutral neutralstabilityadidasadizeroadiospro4 adidasad…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-cushioning,enrichReviewForPage preserves overlay,ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00010,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,section:sec-cushioning,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Cushioning 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeeladidasadizeroadiospro4 adidasadizeroadiospro4stabilityneutral neutralstabilityadidasadizeroadiospro4 adidasad…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-cushioning,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
