issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status
RQ-00001,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/packs/products/kiprun-900-race-5-hero.jpg:pack is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/packs/products/kiprun-900-race-5-hero.jpg:pack is authentic but the wrong content type for unknown,OPEN
RQ-00002,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/packs/products/kiprun-proteam-10-hero.jpg:pack is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/packs/products/kiprun-proteam-10-hero.jpg:pack is authentic but the wrong content type for unknown,OPEN
RQ-00003,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/adios-pro-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/adios-pro-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00004,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/boston-12-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/boston-12-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00005,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/adidas-adizero-boston-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/adidas-adizero-boston-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00006,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/adizero-evo-sl-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/adizero-evo-sl-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00007,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/adidas-terrex-agravic-3-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/adidas-terrex-agravic-3-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00008,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/adidas-ultraboost-5-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/adidas-ultraboost-5-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00009,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/escalante-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/escalante-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00010,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/altra-experience-flow-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/altra-experience-flow-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00011,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/lone-peak-8-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/lone-peak-8-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00012,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/altra-paradigm-7-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/altra-paradigm-7-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00013,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/torin-8-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/torin-8-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00014,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/cumulus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/cumulus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00015,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/nimbus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/nimbus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00016,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/asics-gel-trabuco-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/asics-gel-trabuco-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
RQ-00017,BLOCKER,http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,IMAGE_SEMANTIC,WRONG_CONTENT_TYPE,Kitletics Editorial · Kitletics,/images/running/products/asics-gt-1000-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown,WRONG_CONTENT_TYPE:/images/running/products/asics-gt-1000-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown,OPEN
