
> kitletics@0.1.0 offers:validate-urls
> tsx --tsconfig tsconfig.json scripts/tmp/prelaunch-22-validate-offers.ts

Validating 80 offers (active pool 1293, materialize 1293)…
… [1/80] offer-nb5-nl VALID 200
… [2/80] offer-nb5-uk LIKELY_VALID 202
… [3/80] offer-nb5-us VALID 200
… [4/80] offer-nb4-nl LIKELY_VALID 403
… [5/80] offer-nimbus-nl VALID 200
… [6/80] offer-nimbus-uk LIKELY_VALID 202
… [7/80] offer-pegasus41-nl LIKELY_VALID 202
… [8/80] offer-ghost16-nl LIKELY_VALID 202
… [9/80] offer-clifton9-nl LIKELY_VALID 202
… [10/80] offer-speed4-nl LIKELY_VALID 202
… [11/80] offer-boston-nl LIKELY_VALID 202
… [12/80] offer-boston-uk LIKELY_VALID 202
… [13/80] offer-boston-de LIKELY_VALID 200
… [14/80] offer-fr965-nl VALID 200
… [15/80] offer-fr255-nl VALID 200
… [16/80] offer-pace3-nl LIKELY_VALID 202
… [17/80] offer-hrm-nl VALID 200
… [18/80] offer-hrm-uk LIKELY_VALID 202
… [19/80] offer-advskin-nl LIKELY_VALID 202
… [20/80] offer-nb6-nl-asics VALID 200
… [21/80] offer-nb6-nl-a4r VALID 200
… [22/80] offer-nb6-nl-amz LIKELY_VALID 202
… [23/80] offer-nb6-de LIKELY_VALID 200
… [24/80] offer-nb6-uk LIKELY_VALID 202
… [25/80] offer-nb6-us VALID 200
… [26/80] offer-ghost18-nl VALID 200
… [27/80] offer-ghost18-nl-a4r VALID 200
… [28/80] offer-ghost18-nl-amz LIKELY_VALID 202
… [29/80] offer-ghost18-uk LIKELY_VALID 202
… [30/80] offer-ghost18-us VALID 200
… [31/80] offer-peg42-nl LIKELY_VALID 202
… [32/80] offer-peg42-nl-a4r VALID 200
… [33/80] offer-clifton10-nl UNKNOWN dns_or_network
… [34/80] offer-clifton10-nl-a4r VALID 200
… [35/80] offer-bondi9-nl UNKNOWN dns_or_network
… [36/80] offer-speed5-nl VALID 200
… [37/80] offer-speed5-nl-amz LIKELY_VALID 202
… [38/80] offer-vf4-nl LIKELY_VALID 202
… [39/80] offer-vf4-nl-a4r VALID 200
… [40/80] offer-alphafly3-nl LIKELY_VALID 202
… [41/80] offer-kayano-nl VALID 200
… [42/80] offer-adrenaline-nl VALID 200
… [43/80] offer-speedgoat-nl UNKNOWN dns_or_network
… [44/80] offer-fr970-nl VALID 200
… [45/80] offer-fr970-nl-amz LIKELY_VALID 202
… [46/80] offer-fr570-nl VALID 200
… [47/80] offer-pacepro-nl LIKELY_VALID 202
… [48/80] offer-fr165-nl VALID 200
… [49/80] offer-h10-nl LIKELY_VALID 202
… [50/80] offer-vaporair-nl UNKNOWN dns_or_network
… [51/80] offer-nb6-nl-rws UNKNOWN dns_or_network
… [52/80] offer-nox-at10-nl LIKELY_VALID 202
… [53/80] offer-nox-at10-nl-2 LIKELY_VALID 403
… [54/80] offer-vertex-nl LIKELY_VALID 202
… [55/80] offer-viper-nl LIKELY_VALID 202
… [56/80] offer-coello-nl LIKELY_VALID 403
… [57/80] offer-diablo-nl LIKELY_VALID 202
… [58/80] offer-shoes-nl LIKELY_VALID 202
… [59/80] offer-balls-nl LIKELY_VALID 403
… [60/80] offer-grips-nl LIKELY_VALID 202
… [61/80] offer-bag-nl LIKELY_VALID 202
… [62/80] offer-bela-nl LIKELY_VALID 202
… [63/80] offer-starvie-titania-kepler-2026-nl LIKELY_VALID 202
… [64/80] offer-starvie-titania-kepler-2026-de LIKELY_VALID 202
… [65/80] offer-starvie-titania-kepler-2026-uk LIKELY_VALID 202
… [66/80] offer-adidas-metalbone-hrd-2026-nl LIKELY_VALID 202
… [67/80] offer-adidas-metalbone-hrd-2026-de LIKELY_VALID 202
… [68/80] offer-adidas-metalbone-hrd-2026-uk LIKELY_VALID 202
… [69/80] offer-kuikma-pr-soft-500-nl LIKELY_VALID 202
… [70/80] offer-kuikma-pr-soft-500-de LIKELY_VALID 202
… [71/80] offer-kuikma-pr-soft-500-uk LIKELY_VALID 202
… [72/80] offer-drop-shot-canyon-pro-2026-nl LIKELY_VALID 202
… [73/80] offer-drop-shot-canyon-pro-2026-de LIKELY_VALID 202
… [74/80] offer-drop-shot-canyon-pro-2026-uk LIKELY_VALID 202
… [75/80] offer-varlion-lw-carbon-difusor-2026-nl LIKELY_VALID 202
… [76/80] offer-varlion-lw-carbon-difusor-2026-de LIKELY_VALID 202
… [77/80] offer-varlion-lw-carbon-difusor-2026-uk LIKELY_VALID 202
… [78/80] offer-nox-ml10-pro-cup-2026-nl LIKELY_VALID 202
… [79/80] offer-nox-ml10-pro-cup-2026-de LIKELY_VALID 202
… [80/80] offer-nox-ml10-pro-cup-2026-uk LIKELY_VALID 202

Summary { VALID: 21, LIKELY_VALID: 54, UNKNOWN: 5 }
Reasons { method_not_allowed: 50, bot_blocked: 4, dns_or_network: 5 }
Wrote overlay (80) + data/staging/22-offer-url-validation.json
