priority,workState,type,sport,slug,route,status,qualityClassification,uniquenessClassification,indexability,reasonHeld,evidenceCoverage,internalLinks,productRelationships,workStateReasons,title
P0,NEEDS_UNIQUE_REWRITE,review,running,100-percent-s3,/reviews/100-percent-s3,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3923|quality_not_launch_ready,thin (1),alts:3,product:100-percent-s3,uniqueness_duplicative,100% S3 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,226ers-high-energy-gel,/reviews/226ers-high-energy-gel,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4023|quality_not_launch_ready,moderate (2),alts:3,product:226ers-high-energy-gel,uniqueness_duplicative,226ERS High Energy Gel Review
P0,NEEDS_UNIQUE_REWRITE,review,running,2toms-sportshield,/reviews/2toms-sportshield,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4015|quality_not_launch_ready,thin (1),alts:2,product:2toms-sportshield,uniqueness_duplicative,2Toms SportShield Anti-Chafe Roll-On Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-adizero-adios-pro-4,/reviews/adidas-adizero-adios-pro-4,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3927|quality_not_launch_ready,moderate (2),alts:4,product:adidas-adizero-adios-pro-4,uniqueness_duplicative,Adidas Adizero Adios Pro 4 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-adizero-boston-13,/reviews/adidas-adizero-boston-13,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3964|quality_not_launch_ready,moderate (2),alts:4,product:adidas-adizero-boston-13,uniqueness_duplicative,Adidas Adizero Boston 13 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-adizero-evo-sl,/reviews/adidas-adizero-evo-sl,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3924|quality_not_launch_ready,moderate (2),alts:3,product:adidas-adizero-evo-sl,uniqueness_duplicative,Adidas Adizero Evo SL Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-own-the-run-short-men,/reviews/adidas-own-the-run-short-men,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3986|quality_not_launch_ready,moderate (2),alts:3,product:adidas-own-the-run-short-men,uniqueness_duplicative,adidas Own the Run Short (Men) Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-own-the-run-tee-men,/reviews/adidas-own-the-run-tee-men,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3920|quality_not_launch_ready,moderate (2),alts:3,product:adidas-own-the-run-tee-men,uniqueness_duplicative,adidas Own the Run Tee (Men) Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-terrex-agravic-3,/reviews/adidas-terrex-agravic-3,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4004|quality_not_launch_ready,moderate (2),alts:4,product:adidas-terrex-agravic-3,uniqueness_duplicative,Adidas Terrex Agravic 3 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,adidas-ultraboost-5,/reviews/adidas-ultraboost-5,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3922|quality_not_launch_ready,moderate (2),alts:4,product:adidas-ultraboost-5,uniqueness_duplicative,Adidas Ultraboost 5 Review
